sample_idx,condition,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,spaced1s,129340372314291,129340372322500,8209,20916,6917,1014750,1042583
1,spaced1s,129341379579916,129341379591416,11500,68458,21500,550750,640708
2,spaced1s,129342385526875,129342385538208,11333,97000,25250,603125,725375
3,spaced1s,129343388801708,129343388813375,11667,54042,17000,611417,682459
4,spaced1s,129344394402625,129344394417375,14750,82542,22042,745583,850167
5,spaced1s,129345400637458,129345400651708,14250,109042,26750,833875,969667
6,spaced1s,129346406505041,129346406521250,16209,110792,34292,351416,496500
7,spaced1s,129347412556333,129347412571500,15167,101250,23042,714458,838750
8,spaced1s,129348418656166,129348418670208,14042,85334,20250,733750,839334
9,spaced1s,129349424402666,129349424417000,14334,90125,19584,371208,480917
10,spaced1s,129350426626583,129350426642208,15625,97000,27333,734834,859167
11,spaced1s,129351432769500,129351432784166,14666,106458,32584,742250,881292
12,spaced1s,129352438519541,129352438533250,13709,100542,25625,321167,447334
13,spaced1s,129353444642250,129353444656333,14083,118459,19125,787416,925000
14,spaced1s,129354447238666,129354447254583,15917,97042,21291,711292,829625
15,spaced1s,129355448823750,129355448838583,14833,101750,21125,760333,883208
16,spaced1s,129356454983416,129356454998541,15125,104292,22750,829625,956667
17,spaced1s,129357460583666,129357460595916,12250,45875,10042,260167,316084
18,spaced1s,129358466271375,129358466285000,13625,51542,12958,599083,663583
19,spaced1s,129359471746958,129359471758958,12000,85750,15209,288791,389750
20,spaced1s,129360475678791,129360475690500,11709,44625,11833,494000,550458
21,spaced1s,129361478173416,129361478187875,14459,107917,27666,804917,940500
22,spaced1s,129362483957375,129362483972875,15500,84292,18292,385125,487709
23,spaced1s,129363487761833,129363487776583,14750,101125,22708,910292,1034125
24,spaced1s,129364493922958,129364493939791,16833,96333,21917,747167,865417
25,spaced1s,129365499356000,129365499370291,14291,96417,20917,707041,824375
26,spaced1s,129366503580958,129366503596166,15208,99375,22583,749917,871875
27,spaced1s,129367505144875,129367505158083,13208,99291,24959,688333,812583
28,spaced1s,129368507816041,129368507830500,14459,88500,29459,802750,920709
29,spaced1s,129369513628041,129369513643166,15125,105500,24667,420875,551042
30,spaced1s,129370519697250,129370519713416,16166,92792,21625,766208,880625
31,spaced1s,129371525707708,129371525723083,15375,98375,19458,599708,717541
32,spaced1s,129372529376875,129372529392333,15458,99750,22875,775250,897875
33,spaced1s,129373535573291,129373535588208,14917,98083,23792,824000,945875
34,spaced1s,129374541683791,129374541700666,16875,98083,23834,695541,817458
35,spaced1s,129375547817250,129375547832208,14958,116209,21083,823667,960959
36,spaced1s,129376554024625,129376554039583,14958,96125,20917,808458,925500
37,spaced1s,129377560458416,129377560470750,12334,116709,30125,965041,1111875
38,spaced1s,129378566145958,129378566161083,15125,93541,24000,727917,845458
39,spaced1s,129379572541666,129379572830375,288709,125791,18709,1319041,1463541
40,spaced1s,129380575943750,129380575958500,14750,78083,20167,669041,767291
41,spaced1s,129381580074916,129381580088416,13500,70583,17083,695792,783458
42,spaced1s,129382586031083,129382586044833,13750,70375,18084,714250,802709
43,spaced1s,129383590743750,129383590755125,11375,58541,15375,279167,353083
44,spaced1s,129384596762541,129384596777250,14709,96791,23459,694583,814833
45,spaced1s,129385602924291,129385602938583,14292,97125,27583,796500,921208
46,spaced1s,129386608875500,129386608890916,15416,72292,15375,694958,782625
47,spaced1s,129387615005041,129387615020416,15375,110250,21750,751833,883833
48,spaced1s,129388621298750,129388621314041,15291,104541,24209,878000,1006750
49,spaced1s,129389627486375,129389627501250,14875,91791,21584,754458,867833
50,spaced1s,129390628628708,129390628644583,15875,96625,21417,743542,861584
51,spaced1s,129391634835458,129391634849791,14333,121083,19958,748542,889583
52,spaced1s,129392640635375,129392640650958,15583,105750,22459,412750,540959
53,spaced1s,129393645545916,129393645558041,12125,89041,49375,334792,473208
54,spaced1s,129394651431541,129394651451500,19959,97958,17125,578167,693250
55,spaced1s,129395655297208,129395655566833,269625,100333,24084,1111416,1235833
56,spaced1s,129396661641291,129396661657666,16375,103375,23500,729375,856250
57,spaced1s,129397667792916,129397667807416,14500,109500,21917,725625,857042
58,spaced1s,129398669988333,129398670000333,12000,51417,12667,606416,670500
59,spaced1s,129399675491250,129399675505541,14291,47125,11208,288750,347083
60,spaced1s,129400681571708,129400681588333,16625,109292,23125,789000,921417
61,spaced1s,129401687389250,129401687400708,11458,43000,10209,551125,604334
62,spaced1s,129402693228166,129402693372583,144417,83125,16917,708750,808792
63,spaced1s,129403699300833,129403699314750,13917,68750,16375,735209,820334
64,spaced1s,129404701309125,129404701324000,14875,110792,25041,806000,941833
65,spaced1s,129405707177916,129405707191500,13584,63958,14834,654291,733083
66,spaced1s,129406713287166,129406713304041,16875,106458,27000,718417,851875
67,spaced1s,129407719458791,129407719473083,14292,112916,26125,793542,932583
68,spaced1s,129408725120250,129408725132916,12666,64083,16375,333500,413958
69,spaced1s,129409727459333,129409727473750,14417,103708,22500,435334,561542
70,spaced1s,129410733740750,129410733756708,15958,116583,26375,868292,1011250
71,spaced1s,129411736957291,129411736972750,15459,103791,36709,800291,940791
72,spaced1s,129412739796875,129412739810250,13375,99958,25250,243500,368708
73,spaced1s,129413745748875,129413745763208,14333,90958,31750,698834,821542
74,spaced1s,129414751927458,129414751942750,15292,90875,24500,797750,913125
75,spaced1s,129415755396916,129415755411458,14542,87833,42000,418500,548333
76,spaced1s,129416761452708,129416761469333,16625,99667,19625,720042,839334
77,spaced1s,129417767633666,129417767647708,14042,118625,27292,750875,896792
