sample_idx,condition,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,backtoback,3812319922458,3812319930375,7917,346625,24041,3574792,3945458
1,backtoback,3812320384666,3812320392750,8084,20709,6708,308667,336084
2,backtoback,3812320537083,3812320543791,6708,9709,3666,112875,126250
3,backtoback,3812320668041,3812320674500,6459,6875,2875,106000,115750
4,backtoback,3812320798125,3812320804541,6416,9792,2667,107333,119792
5,backtoback,3812320922250,3812320928458,6208,5917,2458,108208,116583
6,backtoback,3812321046750,3812321053291,6541,5625,2333,106208,114166
7,backtoback,3812321168500,3812321175125,6625,5708,2125,104750,112583
8,backtoback,3812321295166,3812321301541,6375,7542,2667,109875,120084
9,backtoback,3812321418458,3812321424625,6167,5958,2292,103708,111958
10,backtoback,3812321538375,3812321544875,6500,5875,2333,103875,112083
11,backtoback,3812321664833,3812321671333,6500,6417,2416,105459,114292
12,backtoback,3812321784791,3812321791291,6500,5583,2042,103541,111166
13,backtoback,3812321905333,3812321911458,6125,6083,2167,103083,111333
14,backtoback,3812322025541,3812322032041,6500,6000,2042,105542,113584
15,backtoback,3812322146958,3812322153333,6375,6125,2042,103875,112042
16,backtoback,3812322267916,3812322274291,6375,6125,2000,106459,114584
17,backtoback,3812322397291,3812322403416,6125,6958,2125,118959,128042
18,backtoback,3812322531500,3812322537916,6416,5500,2208,109459,117167
19,backtoback,3812322651000,3812322657333,6333,5458,2167,116750,124375
20,backtoback,3812322808291,3812322814833,6542,14417,4833,107459,126709
21,backtoback,3812322941750,3812322948083,6333,8083,3500,108625,120208
22,backtoback,3812323071166,3812323077500,6334,6916,2542,108875,118333
23,backtoback,3812323194958,3812323201583,6625,5958,2708,112167,120833
24,backtoback,3812323321416,3812323327666,6250,5875,2208,110209,118292
25,backtoback,3812323446666,3812323452875,6209,5833,2125,111834,119792
26,backtoback,3812323578041,3812323584541,6500,6125,2208,108958,117291
27,backtoback,3812323703875,3812323710375,6500,6041,2042,109125,117208
28,backtoback,3812323827708,3812323833916,6208,5625,2083,111208,118916
29,backtoback,3812323953291,3812323959625,6334,5834,2041,111084,118959
30,backtoback,3812324100625,3812324107208,6583,5791,2125,132209,140125
31,backtoback,3812324455833,3812324463958,8125,13750,5291,315709,334750
32,backtoback,3812324615625,3812324622125,6500,7584,3166,129875,140625
33,backtoback,3812324971833,3812324979833,8000,6583,2458,345667,354708
34,backtoback,3812325128500,3812325135041,6541,6666,2542,127208,136416
35,backtoback,3812325486541,3812325494583,8042,6084,2208,356917,365209
36,backtoback,3812325643791,3812325650208,6417,6459,2416,133750,142625
37,backtoback,3812325996708,3812326004750,8042,7209,2333,338458,348000
38,backtoback,3812326155458,3812326161875,6417,5792,2417,133875,142084
39,backtoback,3812326513375,3812326521458,8083,5667,2416,350667,358750
40,backtoback,3812326670208,3812326676625,6417,5625,2334,133666,141625
41,backtoback,3812327026500,3812327034333,7833,5750,2041,349084,356875
42,backtoback,3812327183583,3812327190125,6542,8083,2458,131334,141875
43,backtoback,3812327543541,3812327551666,8125,5625,2250,354959,362834
44,backtoback,3812327701041,3812327707416,6375,5833,2209,132458,140500
45,backtoback,3812328055125,3812328063208,8083,5542,2375,349625,357542
46,backtoback,3812328256541,3812328263125,6584,6125,2667,174041,182833
47,backtoback,3812328611416,3812328619375,7959,5709,2791,350334,358834
48,backtoback,3812328769875,3812328776166,6291,5583,2375,131292,139250
49,backtoback,3812328893125,3812328899250,6125,5583,2000,111000,118583
50,backtoback,3812329017958,3812329024666,6708,5584,2083,111583,119250
51,backtoback,3812329144000,3812329150541,6541,5583,2000,108959,116542
52,backtoback,3812329267458,3812329273625,6167,5458,2042,110208,117708
53,backtoback,3812329391291,3812329397458,6167,5417,1833,111042,118292
54,backtoback,3812329517166,3812329523666,6500,5333,2000,115959,123292
55,backtoback,3812329656208,3812329662625,6417,6583,2625,119167,128375
56,backtoback,3812329797708,3812329804083,6375,9666,3167,113417,126250
57,backtoback,3812329927416,3812329933708,6292,5625,2084,114750,122459
58,backtoback,3812330089916,3812330096416,6500,15042,5125,117000,137167
59,backtoback,3812330224208,3812330230750,6542,7208,2667,114708,124583
60,backtoback,3812330352291,3812330358500,6209,5083,2250,113125,120458
61,backtoback,3812330490458,3812330496666,6208,7250,2625,113500,123375
62,backtoback,3812330619458,3812330625916,6458,5084,2166,112959,120209
63,backtoback,3812330750583,3812330756833,6250,6792,2458,116792,126042
64,backtoback,3812330897458,3812330903666,6208,9250,3792,112292,125334
65,backtoback,3812331031625,3812331037916,6291,7917,3041,113084,124042
66,backtoback,3812331160875,3812331167125,6250,5375,2209,112958,120542
67,backtoback,3812331292208,3812331298500,6292,7042,2667,111500,121209
68,backtoback,3812331422875,3812331429208,6333,7041,1959,115333,124333
69,backtoback,3812331554416,3812331560541,6125,7292,2666,110125,120083
70,backtoback,3812331683666,3812331690041,6375,6709,2041,111542,120292
71,backtoback,3812331812625,3812331819166,6541,5000,2000,113625,120625
72,backtoback,3812331945458,3812331951666,6208,7250,2500,115000,124750
73,backtoback,3812332077666,3812332083916,6250,6750,2500,110125,119375
74,backtoback,3812332205208,3812332211583,6375,6500,2125,111958,120583
75,backtoback,3812332340791,3812332347208,6417,6583,2083,118334,127000
76,backtoback,3812332471625,3812332477875,6250,5416,2250,108167,115833
77,backtoback,3812332596916,3812332603083,6167,5625,2000,108000,115625
78,backtoback,3812332722333,3812332728750,6417,6000,1959,107666,115625
79,backtoback,3812332850083,3812332856500,6417,6791,2667,109208,118666
80,backtoback,3812332977416,3812332983625,6209,5500,1833,107792,115125
81,backtoback,3812333104083,3812333110208,6125,5833,1958,109834,117625
82,backtoback,3812333229916,3812333236375,6459,5458,1958,111959,119375
83,backtoback,3812333363666,3812333370125,6459,6458,2125,110333,118916
84,backtoback,3812333509666,3812333515916,6250,6917,2083,126792,135792
85,backtoback,3812333876166,3812333897166,21000,6917,2583,362708,372208
86,backtoback,3812334015166,3812334039833,24667,5000,1875,125959,132834
87,backtoback,3812334156458,3812334166875,10417,5250,2000,111167,118417
88,backtoback,3812334285458,3812334298041,12583,6625,2375,113000,122000
89,backtoback,3812334458875,3812334465250,6375,5917,2667,141250,149834
90,backtoback,3812334816291,3812334824416,8125,5958,2042,349792,357792
91,backtoback,3812334976208,3812334982750,6542,6333,2042,123416,131791
92,backtoback,3812335355375,3812335363208,7833,4875,1958,377667,384500
93,backtoback,3812335508291,3812335514625,6334,5209,1958,127208,134375
94,backtoback,3812335866166,3812335874416,8250,5458,1834,351708,359000
95,backtoback,3812336023250,3812336029666,6416,4833,2209,130083,137125
96,backtoback,3812336377833,3812336385833,8000,5000,1791,354000,360791
97,backtoback,3812336579291,3812336585500,6209,7625,2417,168917,178959
98,backtoback,3812336730458,3812336737166,6708,9208,2750,114500,126458
99,backtoback,3812336863583,3812336870291,6708,7459,2666,112792,122917
