sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,0.0,130161509726500,130161510609208,130161510620416,11208,545042,27500,425666,998208
1,0.0,130161511008416,130161511164916,130161511173166,8250,40750,12500,198959,252209
2,0.0,130161511313625,130161511413125,130161511421125,8000,20916,5084,149708,175708
3,0.0,130161511505791,130161511595791,130161511603791,8000,10250,3958,157917,172125
4,0.0,130161511694041,130161511786708,130161511794750,8042,14542,3708,159167,177417
5,0.0,130161511883250,130161511985416,130161511993541,8125,8209,4375,230375,242959
6,0.0,130161512144625,130161512245166,130161512253291,8125,8459,3416,165000,176875
7,0.0,130161512335000,130161512430958,130161512439041,8083,8250,3292,171333,182875
8,0.0,130161512539541,130161512649125,130161512657208,8083,16166,6167,215667,238000
9,0.0,130161512796791,130161512900500,130161512908625,8125,10000,4292,213666,227958
10,0.0,130161513036708,130161513137583,130161513145791,8208,8416,3625,220959,233000
11,0.0,130161513284166,130161513386791,130161513394750,7959,8750,3625,165458,177833
12,0.0,130161513482333,130161513580166,130161513588291,8125,9917,3708,170417,184042
13,0.0,130161513682208,130161513779750,130161513787875,8125,10000,3959,160041,174000
14,0.0,130161513870375,130161513970458,130161513978541,8083,8333,3625,207542,219500
15,0.0,130161514101625,130161514187541,130161514195583,8042,8292,3750,149000,161042
16,0.0,130161514275333,130161514365166,130161514373208,8042,11208,3292,151083,165583
17,0.0,130161514455125,130161514547916,130161514555958,8042,14875,3291,154500,172666
18,0.0,130161514637750,130161514722625,130161514730666,8041,7875,3250,164583,175708
19,0.0,130161514841416,130161514950166,130161514958291,8125,15916,5167,165333,186416
20,0.0,130161515041750,130161515143458,130161515151541,8083,8584,3500,172250,184334
21,0.0,130161515236125,130161515334833,130161515342958,8125,8000,3333,154417,165750
22,0.0,130161515416083,130161515502500,130161515510541,8041,8000,3417,150417,161834
23,0.0,130161515588166,130161515673541,130161515681541,8000,7666,3500,153334,164500
24,0.0,130161515762541,130161515842541,130161515850625,8084,7625,3291,156292,167208
25,0.0,130161515948833,130161516052250,130161516060375,8125,11666,4417,163083,179166
26,0.0,130161516139458,130161516239833,130161516247958,8125,8375,3583,176500,188458
27,0.0,130161516341625,130161516427708,130161516435791,8083,7792,3583,147458,158833
28,0.0,130161516515833,130161516604625,130161516612583,7958,10041,3834,154375,168250
29,0.0,130161516695875,130161516780708,130161516788750,8042,7792,3333,160250,171375
30,0.0,130161516878458,130161516973416,130161516981500,8084,9041,3459,170375,182875
31,0.0,130161517077666,130161517174250,130161517182375,8125,10333,3875,215542,229750
32,0.0,130161517320708,130161517421083,130161517429208,8125,8417,3250,228125,239792
33,0.0,130161517576500,130161517670625,130161517678708,8083,7875,3167,170166,181208
34,0.0,130161517770791,130161517865750,130161517873875,8125,8625,3167,170833,182625
35,0.0,130161517966791,130161518064166,130161518072333,8167,8625,3125,183667,195417
36,0.0,130161518175375,130161518258166,130161518266250,8084,8125,3083,146042,157250
37,0.0,130161518345250,130161518429541,130161518437541,8000,9750,3167,151083,164000
38,0.0,130161518518416,130161518602750,130161518610791,8041,7500,5583,205542,218625
39,0.0,130161518746291,130161518842333,130161518850458,8125,7375,3000,176209,186584
40,0.0,130161518941916,130161519033750,130161519041916,8166,7292,3083,166333,176708
41,0.0,130161519130625,130161519221666,130161519229833,8167,7167,3250,161042,171459
