sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,0.1,130164446664625,130164446841125,130164446853458,12333,25250,10292,254333,289875
1,0.1,130164548283583,130164549123791,130164549533625,409834,93709,18375,1361666,1473750
2,0.1,130164653590333,130164654373458,130164654388541,15083,101166,23792,876417,1001375
3,0.1,130164759870750,130164760828458,130164760839750,11292,106500,37041,1031584,1175125
4,0.1,130164863750041,130164864544291,130164864559875,15584,108209,27416,879500,1015125
5,0.1,130164970006416,130164970791291,130164970805333,14042,111083,30000,854458,995541
6,0.1,130165076172125,130165076360666,130165076371500,10834,39417,29666,248084,317167
7,0.1,130165178515875,130165178954375,130165178965291,10916,39250,16209,522458,577917
8,0.1,130165279536833,130165280007666,130165280018958,11292,47708,14625,574500,636833
9,0.1,130165385353375,130165386685583,130165386696916,11333,90209,42375,1337041,1469625
10,0.1,130165487476291,130165488284583,130165488299666,15083,92875,25625,927291,1045791
11,0.1,130165593742916,130165594433583,130165594448250,14667,94958,21833,786667,903458
12,0.1,130165699883166,130165700737083,130165700751583,14500,115375,29292,942708,1087375
13,0.1,130165805954125,130165806479958,130165806491625,11667,49208,16292,629875,695375
14,0.1,130165910473041,130165910861833,130165910876583,14750,35208,9750,491334,536292
15,0.1,130166014899708,130166015346625,130166015357916,11291,45208,12834,537375,595417
16,0.1,130166120594500,130166121003500,130166121014458,10958,36334,12083,516667,565084
17,0.1,130166226385000,130166227704375,130166227715708,11333,89625,27583,1348542,1465750
18,0.1,130166333065083,130166333640250,130166333651166,10916,87000,278500,373125,738625
19,0.1,130166433994541,130166434459833,130166434471208,11375,41375,17916,564667,623958
20,0.1,130166537752666,130166538241416,130166538252416,11000,46625,17792,573542,637959
21,0.1,130166642967166,130166643495166,130166643509083,13917,45625,80083,541542,667250
22,0.1,130166748749791,130166749189041,130166749200125,11084,51459,13375,571250,636084
23,0.1,130166854597416,130166856295291,130166856310458,15167,104292,39542,1753458,1897292
24,0.1,130166961759458,130166962686916,130166962701333,14417,115792,34083,1047708,1197583
25,0.1,130167068193958,130167068755041,130167068766208,11167,88208,30542,635292,754042
26,0.1,130167177056458,130167177841083,130167177852166,11083,154875,38250,760000,953125
27,0.1,130167280184416,130167280818500,130167280829750,11250,168333,30834,578583,777750
28,0.1,130167384829541,130167385329291,130167385340166,10875,82625,22875,526792,632292
29,0.1,130167489815041,130167490553375,130167490568083,14708,99834,26833,807458,934125
30,0.1,130167592034916,130167592298166,130167592334083,35917,81416,19125,405250,505791
31,0.1,130167697763333,130167698071625,130167698085583,13958,63792,14875,409666,488333
32,0.1,130167801340458,130167801637791,130167801650833,13042,95375,18125,386417,499917
33,0.1,130167907050500,130167907739625,130167907754666,15041,87459,19833,819708,927000
34,0.1,130168012896416,130168013472041,130168013483000,10959,52458,17917,670791,741166
35,0.1,130168118778875,130168119218833,130168119230041,11208,41917,15125,542250,599292
36,0.1,130168224548125,130168225214750,130168225225583,10833,85416,51834,732625,869875
37,0.1,130168329944958,130168330485041,130168330496208,11167,84375,41875,551750,678000
38,0.1,130168431386541,130168432772708,130168432784041,11333,105459,27916,1389917,1523292
39,0.1,130168538168000,130168538881041,130168538895666,14625,110750,25167,771375,907292
