sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,1.0,4292612425291,4292612970916,4292612980375,9459,33834,13791,615000,662625
1,1.0,4293618290125,4293618939333,4293618948916,9583,118375,27250,654542,800167
2,1.0,4294624323791,4294624835791,4294624844208,8417,120250,21875,466625,608750
3,1.0,4295625423208,4295626111833,4295626121375,9542,137958,34042,641750,813750
4,1.0,4296628556333,4296629180166,4296629189083,8917,70542,19000,687667,777209
5,1.0,4297630900666,4297631195708,4297631203375,7667,113500,36833,216125,366458
6,1.0,4298632858583,4298633480416,4298633489000,8584,99292,17708,616250,733250
7,1.0,4299638829333,4299639472833,4299639481833,9000,74125,19833,687584,781542
8,1.0,4300641590916,4300642129625,4300642138416,8791,71000,18500,587166,676666
9,1.0,4301647096541,4301647601708,4301647609833,8125,60500,14958,545250,620708
10,1.0,4302652935250,4302653596708,4302653605375,8667,126709,24500,637333,788542
11,1.0,4303655379250,4303655965541,4303655990583,25042,141084,77791,555917,774792
12,1.0,4304660216583,4304660336708,4304660344541,7833,38833,8958,163625,211416
13,1.0,4305665665333,4305666123000,4305666147875,24875,212000,27166,429250,668416
14,1.0,4306671588500,4306672401291,4306672409916,8625,129917,35750,1232125,1397792
15,1.0,4307676796750,4307677362916,4307677372541,9625,72958,19000,618084,710042
16,1.0,4308682827250,4308683458291,4308683467083,8792,130375,30541,586125,747041
17,1.0,4309688525041,4309689328250,4309689353500,25250,136916,33584,836916,1007416
18,1.0,4310693027625,4310693713250,4310693722125,8875,142084,32875,626500,801459
19,1.0,4311699024791,4311699265416,4311699274291,8875,52792,16083,274542,343417
20,1.0,4312704101458,4312704715708,4312704725083,9375,68333,18042,669625,756000
21,1.0,4313710113833,4313710764625,4313710774291,9666,127000,26167,610791,763958
22,1.0,4314716126583,4314716363125,4314716372916,9791,77084,19125,283166,379375
23,1.0,4315720890083,4315721624583,4315721633916,9333,145834,30125,673416,849375
24,1.0,4316725606791,4316726243666,4316726252541,8875,129667,29708,632958,792333
25,1.0,4317728597333,4317729335416,4317729344166,8750,152000,33458,685083,870541
26,1.0,4318731311500,4318732169291,4318732194458,25167,154125,38625,858166,1050916
27,1.0,4319735758083,4319736238541,4319736246541,8000,87125,24750,485584,597459
28,1.0,4320741138708,4320741345875,4320741353708,7833,69083,19417,204750,293250
29,1.0,4321746549416,4321746993666,4321747001416,7750,36833,9959,501416,548208
30,1.0,4322752254958,4322752794916,4322752803875,8959,59792,16750,594833,671375
31,1.0,4323755953666,4323756768916,4323756793708,24792,149416,33292,830250,1012958
32,1.0,4324761984416,4324762752041,4324762760541,8500,190959,26500,668083,885542
33,1.0,4325767648250,4325768282125,4325768290750,8625,117417,33000,599583,750000
34,1.0,4326772265625,4326773023833,4326773053041,29208,131000,36291,778000,945291
35,1.0,4327778227458,4327778898958,4327778908208,9250,123583,26625,644708,794916
36,1.0,4328783902083,4328784462833,4328784472291,9458,72792,19167,616791,708750
37,1.0,4329787467458,4329788073125,4329788082166,9041,76542,19166,647125,742833
38,1.0,4330791423291,4330791754625,4330791764208,9583,119083,33167,278333,430583
39,1.0,4331795790541,4331796406875,4331796416250,9375,78166,17584,651958,747708
40,1.0,4332801803375,4332802490875,4332802499875,9000,142833,33458,658084,834375
41,1.0,4333807888916,4333808445541,4333808454875,9334,71709,17625,595125,684459
42,1.0,4334813817208,4334814612291,4334814621500,9209,156041,31000,765209,952250
43,1.0,4335816882375,4335817453166,4335817462666,9500,82334,20916,588209,691459
44,1.0,4336821001708,4336821813083,4336821821708,8625,129416,34750,870667,1034833
45,1.0,4337824618000,4337825361541,4337825371208,9667,148333,36917,719416,904666
46,1.0,4338830782875,4338831710250,4338831732750,22500,200708,83875,896125,1180708
47,1.0,4339835196708,4339835903791,4339835913541,9750,149041,34584,675666,859291
48,1.0,4340839351750,4340839816208,4340839837166,20958,148292,66750,442541,657583
49,1.0,4341843510458,4341844086791,4341844096750,9959,72500,18708,614375,705583
50,1.0,4342848002541,4342848227125,4342848236083,8958,99000,20541,207584,327125
51,1.0,4343849564750,4343849808625,4343849817833,9208,85917,20958,235500,342375
52,1.0,4344855148291,4344862510666,4344862520458,9792,57583,15125,7416167,7488875
53,1.0,4345865832458,4345866251208,4345866276250,25042,79833,19667,541625,641125
54,1.0,4346876322833,4346876885708,4346876894791,9083,84084,19500,612958,716542
55,1.0,4347882247708,4347882768875,4347882777041,8166,56958,15834,573375,646167
56,1.0,4348888085625,4348888713166,4348888722125,8959,75583,18583,683459,777625
57,1.0,4349894002375,4349894417333,4349894425333,8000,52500,16208,436417,505125
58,1.0,4350899516875,4350900154625,4350900163708,9083,141125,34208,591750,767083
59,1.0,4351901164958,4351901809000,4351901818291,9291,129416,29792,603417,762625
60,1.0,4352903662583,4352904257625,4352904266250,8625,74875,19416,637042,731333
61,1.0,4353909648791,4353910306458,4353910316541,10083,75791,30792,719292,825875
62,1.0,4354915675583,4354916338041,4354916360916,22875,71000,19375,806000,896375
63,1.0,4355920684791,4355921306291,4355921315375,9084,71750,17583,660959,750292
64,1.0,4356923051916,4356923885125,4356923906541,21416,129208,33208,895125,1057541
65,1.0,4357928036208,4357928755416,4357928763583,8167,120875,28459,663791,813125
66,1.0,4358931533625,4358932185083,4358932193875,8792,76833,18417,674625,769875
67,1.0,4359937574666,4359938361208,4359938370291,9083,166625,36000,687083,889708
68,1.0,4360943668666,4360944206708,4360944215291,8583,78542,17917,580041,676500
69,1.0,4361949538166,4361950093583,4361950102125,8542,87833,19792,573333,680958
70,1.0,4362951321666,4362951907000,4362951916333,9333,89833,20709,603041,713583
71,1.0,4363955615250,4363956263083,4363956272333,9250,72708,18750,685167,776625
72,1.0,4364961603958,4364962214000,4364962222625,8625,69166,21542,636042,726750
