warmup_kind,K,sleep_s,probe_idx_within_burst,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
same,0,0.0,0,132224842701166,132224844589250,132224844597125,7875,674416,50084,1307333,2031833
same,0,0.0,1,132224844905125,132224845154708,132224845160041,5333,29208,8584,321166,358958
same,0,0.0,2,132224845294500,132224845411250,132224845417208,5958,13542,4125,212917,230584
same,0,0.0,3,132224845543541,132224845651958,132224845657916,5958,12083,3958,187042,203083
same,0,0.0,4,132224845761500,132224845864750,132224845870750,6000,9375,3333,190959,203667
same,0,0.0,5,132224845979208,132224846082333,132224846088250,5917,8708,3167,195958,207833
same,0,0.0,6,132224846200541,132224846301625,132224846307541,5916,8458,3042,194458,205958
same,0,0.0,7,132224846419625,132224846521125,132224846527041,5916,8417,3083,192750,204250
same,0,0.0,8,132224846639875,132224846741791,132224846747541,5750,8542,3250,194250,206042
same,0,0.0,9,132224846861208,132224846958583,132224846964500,5917,8375,3416,189209,201000
same,1,0.0,0,132225856929916,132225858315916,132225858327458,11542,47917,16541,1482417,1546875
same,1,0.0,1,132225858515875,132225858614041,132225858622083,8042,12083,4917,205125,222125
same,1,0.0,2,132225858753666,132225858843291,132225858851416,8125,8917,3791,189709,202417
same,1,0.0,3,132225858969666,132225859068583,132225859076791,8208,8583,3417,205292,217292
same,1,0.0,4,132225859200375,132225859286250,132225859294375,8125,8334,3583,196417,208334
same,1,0.0,5,132225859421500,132225859509875,132225859518000,8125,8292,3541,191417,203250
same,1,0.0,6,132225859637166,132225859724166,132225859732250,8084,8250,3041,193875,205166
same,1,0.0,7,132225859856125,132225859943208,132225859951333,8125,8583,3375,193542,205500
same,1,0.0,8,132225860083791,132225860170791,132225860178916,8125,8792,3416,184125,196333
same,1,0.0,9,132225860292666,132225860383750,132225860391875,8125,8042,3583,189459,201084
same,5,0.0,0,132226884322000,132226886244208,132226886262333,18125,260416,65709,1866916,2193041
same,5,0.0,1,132226886720250,132226887022666,132226887032666,10000,57417,21583,387750,466750
same,5,0.0,2,132226887300958,132226887614000,132226887624125,10125,81709,22166,364709,468584
same,5,0.0,3,132226888008458,132226888336375,132226888345291,8916,78500,21000,529167,628667
same,5,0.0,4,132226888704083,132226889115125,132226889124333,9208,155833,18750,367459,542042
same,5,0.0,5,132226889291125,132226889458250,132226889467166,8916,29333,11209,236333,276875
same,5,0.0,6,132226889617375,132226889889166,132226889899208,10042,34292,12250,291125,337667
same,5,0.0,7,132226890051375,132226890204583,132226890213958,9375,28208,10250,231292,269750
same,5,0.0,8,132226890360416,132226890540125,132226890549791,9666,27125,10333,337959,375417
same,5,0.0,9,132226890859208,132226891203500,132226891213666,10166,76125,22750,401500,500375
same,20,0.0,0,132227974802916,132227975312833,132227975326291,13458,102750,25667,616375,744792
same,20,0.0,1,132227975640750,132227975802500,132227975811666,9166,29708,13625,226209,269542
same,20,0.0,2,132227975959541,132227976089500,132227976097916,8416,13583,17875,244125,275583
same,20,0.0,3,132227976252833,132227976410625,132227976420083,9458,11041,4167,282083,297291
same,20,0.0,4,132227976574166,132227976698166,132227976707083,8917,15125,5709,214041,234875
same,20,0.0,5,132227976823666,132227976936625,132227976945625,9000,9334,3375,213416,226125
same,20,0.0,6,132227977063375,132227977178583,132227977187541,8958,8959,6041,216000,231000
same,20,0.0,7,132227977312708,132227977486916,132227977496875,9959,10875,5375,295500,311750
same,20,0.0,8,132227977638916,132227977767916,132227977777000,9084,9583,3625,259000,272208
same,20,0.0,9,132227977948916,132227978099791,132227978108791,9000,23833,8375,284042,316250
same,0,0.001,0,132229247032125,132229249247000,132229249268458,21458,307750,60334,2102083,2470167
same,0,0.001,1,132229249711458,132229249997208,132229250007208,10000,57167,20958,366083,444208
same,0,0.001,2,132229250268083,132229250567291,132229250577166,9875,69292,22125,329666,421083
same,0,0.001,3,132229250830041,132229251030541,132229251040166,9625,25750,9333,280667,315750
same,0,0.001,4,132229251184583,132229251334458,132229251343750,9292,22750,11083,227250,261083
same,0,0.001,5,132229251479166,132229251687166,132229251696791,9625,22625,8333,297334,328292
same,0,0.001,6,132229251910208,132229252164125,132229252173958,9833,46417,17625,390750,454792
same,0,0.001,7,132229252438041,132229252671375,132229252681375,10000,47125,20750,316708,384583
same,0,0.001,8,132229252906750,132229253179500,132229253189416,9916,54667,19791,343375,417833
same,0,0.001,9,132229253407958,132229253692541,132229253702541,10000,58542,21125,329667,409334
same,1,0.001,0,132230329396375,132230331601583,132230331616375,14792,251708,81959,2129416,2463083
same,1,0.001,1,132230332043791,132230332356541,132230332366083,9542,69833,23625,380417,473875
same,1,0.001,2,132230332608041,132230332847458,132230332857166,9708,54542,22166,319334,396042
same,1,0.001,3,132230333091833,132230333381208,132230333391125,9917,52958,20500,376333,449791
same,1,0.001,4,132230333619833,132230333839333,132230333851916,12583,48833,18833,309792,377458
same,1,0.001,5,132230334072375,132230334299916,132230334309583,9667,48625,18334,313916,380875
same,1,0.001,6,132230334523000,132230334738250,132230334748166,9916,45625,18250,307500,371375
same,1,0.001,7,132230334961375,132230335130750,132230335139458,8708,40334,10416,233042,283792
same,1,0.001,8,132230335286291,132230335470916,132230335480125,9209,27208,10833,249625,287666
same,1,0.001,9,132230335612375,132230335748416,132230335757083,8667,24667,9833,192542,227042
same,5,0.001,0,132231429595583,132231431843750,132231431863875,20125,260625,78167,2187208,2526000
same,5,0.001,1,132231432332250,132231432615583,132231432625500,9917,62916,22959,355666,441541
same,5,0.001,2,132231432864166,132231433112500,132231433122500,10000,54750,21708,308667,385125
same,5,0.001,3,132231433367625,132231433601250,132231433611000,9750,50167,18833,312875,381875
same,5,0.001,4,132231433819875,132231434075791,132231434085750,9959,46084,19000,345625,410709
same,5,0.001,5,132231434312416,132231434568666,132231434578458,9792,51750,19458,333417,404625
same,5,0.001,6,132231434789875,132231435015750,132231435025500,9750,47292,19750,306208,373250
same,5,0.001,7,132231435230041,132231435438416,132231435448041,9625,44792,21208,290875,356875
same,5,0.001,8,132231435653083,132231435849625,132231435861333,11708,44667,17583,291542,353792
same,5,0.001,9,132231436073583,132231436439833,132231436449583,9750,46792,33667,409958,490417
same,20,0.001,0,132232582405125,132232584475958,132232584497625,21667,268167,74875,1986125,2329167
same,20,0.001,1,132232584914458,132232585219666,132232585229625,9959,56333,23542,384958,464833
same,20,0.001,2,132232585479250,132232585829291,132232585839208,9917,61667,21875,439375,522917
same,20,0.001,3,132232586141500,132232586451875,132232586461791,9916,52458,18375,386584,457417
