warmup_kind,K,sleep_s,trial_idx_within_combo,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
same,0,0.0,0,132224847104541,132224847205791,132224847211708,5917,8208,3250,193833,205291
same,0,0.0,1,132224847325958,132224847428083,132224847434041,5958,8667,3292,193250,205209
same,0,0.0,2,132224847547416,132224847643458,132224847649416,5958,8458,3250,197875,209583
same,0,0.0,3,132224847772416,132224847869958,132224847875875,5917,9125,3167,184708,197000
same,0,0.0,4,132224847986041,132224848079458,132224848085375,5917,8833,3167,185833,197833
same,0,0.0,5,132224848200250,132224848295000,132224848300916,5916,8750,3042,185542,197334
same,0,0.0,6,132224848414000,132224848515375,132224848521291,5916,10625,2917,190083,203625
same,0,0.0,7,132224848630041,132224848722916,132224848728833,5917,8083,2917,182291,193291
same,0,0.0,8,132224848835458,132224848916875,132224848922791,5916,7959,2916,160209,171084
same,0,0.0,9,132224849019041,132224849103750,132224849109625,5875,11083,2958,164667,178708
same,0,0.0,10,132224849210375,132224849294125,132224849300000,5875,8334,3083,170167,181584
same,0,0.0,11,132224849404625,132224849489291,132224849495208,5917,8084,2958,174958,186000
same,0,0.0,12,132224849602916,132224849694958,132224849700916,5958,7958,2917,193083,203958
same,0,0.0,13,132224849828416,132224849981125,132224849986333,5208,12375,6625,242750,261750
same,0,0.0,14,132224850103583,132224850205958,132224850211333,5375,9209,3041,193084,205334
same,0,0.0,15,132224850321500,132224850421375,132224850426750,5375,8375,2959,190500,201834
same,0,0.0,16,132224850536583,132224850636000,132224850641375,5375,8541,3000,190959,202500
same,0,0.0,17,132224850760000,132224850859666,132224850865041,5375,8417,3250,190667,202334
same,0,0.0,18,132224850975250,132224851074750,132224851080125,5375,8500,2875,188917,200292
same,0,0.0,19,132224851188750,132224851284083,132224851289416,5333,8125,2834,185875,196834
same,0,0.0,20,132224851401166,132224851495875,132224851501250,5375,8458,2875,189542,200875
same,0,0.0,21,132224851617500,132224851711166,132224851716541,5375,8084,2958,183792,194834
same,0,0.0,22,132224851828500,132224851932083,132224851937458,5375,9000,2875,202209,214084
same,0,0.0,23,132224852062791,132224852166625,132224852172000,5375,9042,3041,199667,211750
same,0,0.0,24,132224852288875,132224852390500,132224852395833,5333,8500,2958,196042,207500
same,0,0.0,25,132224852512291,132224852611875,132224852617208,5333,8166,2959,196000,207125
same,0,0.0,26,132224852734041,132224852835583,132224852840916,5333,11833,3042,191208,206083
same,0,0.0,27,132224852952375,132224853054000,132224853059333,5333,7875,2917,195708,206500
same,0,0.0,28,132224853171000,132224853260375,132224853265458,5083,8000,2917,172917,183834
same,0,0.0,29,132224853366958,132224853455750,132224853461000,5250,8000,2875,173791,184666
same,0,0.0,30,132224853563625,132224853649041,132224853654333,5292,7875,3042,172125,183042
same,0,0.0,31,132224853758708,132224853847875,132224853853166,5291,7916,3125,179584,190625
same,0,0.0,32,132224853961458,132224854048458,132224854053833,5375,8209,2916,182834,193959
same,0,0.0,33,132224854168041,132224854269958,132224854275333,5375,7875,3000,199667,210542
same,0,0.0,34,132224854390791,132224854489375,132224854494750,5375,8083,2834,190208,201125
same,0,0.0,35,132224854623166,132224854740250,132224854745625,5375,15042,6500,202792,224334
same,0,0.0,36,132224854865083,132224854965083,132224854970416,5333,10375,49667,164542,224584
same,0,0.0,37,132224855105958,132224855216791,132224855222166,5375,12000,3875,201833,217708
same,0,0.0,38,132224855352541,132224855473250,132224855478625,5375,17584,5916,197959,221459
same,0,0.0,39,132224855590625,132224855690833,132224855696083,5250,12500,4250,181125,197875
same,1,0.0,0,132225860761041,132225860846833,132225860854958,8125,8667,3000,188250,199917
same,1,0.0,1,132225861191750,132225861276416,132225861284541,8125,8625,3333,185000,196958
same,1,0.0,2,132225861620375,132225861762541,132225861770625,8084,8333,4750,251875,264958
same,1,0.0,3,132225862112833,132225862203500,132225862211583,8083,8459,3791,193709,205959
same,1,0.0,4,132225862542291,132225862633208,132225862641333,8125,8500,3000,199875,211375
same,1,0.0,5,132225862979583,132225863068625,132225863076750,8125,8208,5417,198916,212541
same,1,0.0,6,132225863438000,132225863543916,132225863552083,8167,8417,4166,192417,205000
same,1,0.0,7,132225863882166,132225863985833,132225863994000,8167,8375,3625,210334,222334
same,1,0.0,8,132225864342583,132225864438583,132225864446750,8167,8417,3625,202625,214667
same,1,0.0,9,132225864818166,132225864911000,132225864919125,8125,11792,3583,201167,216542
same,1,0.0,10,132225865284791,132225865372875,132225865380958,8083,8792,3166,198542,210500
same,1,0.0,11,132225865729125,132225865821375,132225865829333,7958,8542,3000,198666,210208
