attempt_idx,phase,idx_within_phase,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,calibration,0,135211182085041,135211185597500,135211185609750,12250,1502625,47417,2104458,3654500
0,calibration,1,135211185963041,135211186146791,135211186155166,8375,44417,13958,250292,308667
0,calibration,2,135211186372791,135211186527791,135211186536250,8459,48125,15375,214292,277792
0,calibration,3,135211186682000,135211186809333,135211186817625,8292,19166,6125,210625,235916
0,calibration,4,135211186949375,135211187077041,135211187085458,8417,18083,10208,209250,237541
0,calibration,5,135211187222541,135211187363041,135211187371125,8084,21084,7333,239167,267584
0,calibration,6,135211187523916,135211187654000,135211187662250,8250,19000,6834,225833,251667
0,calibration,7,135211187796791,135211187911083,135211187919250,8167,13333,4792,205000,223125
0,calibration,8,135211188039833,135211188167416,135211188175375,7959,12750,7542,214333,234625
0,calibration,9,135211188299208,135211188411416,135211188419541,8125,12709,5375,216041,234125
0,measured,0,135211188561833,135211188678291,135211188686416,8125,11291,7000,219125,237416
0,measured,1,135211188826125,135211188928791,135211188936833,8042,12917,4583,174625,192125
0,measured,2,135211189037291,135211189134583,135211189142625,8042,12125,4417,167458,184000
0,measured,3,135211189242500,135211189341958,135211189350000,8042,14833,4459,178416,197708
0,measured,4,135211189461750,135211189572916,135211189580958,8042,11708,4833,186667,203208
0,measured,5,135211189684083,135211189780375,135211189788458,8083,10958,4542,191875,207375
0,measured,6,135211189910166,135211190017125,135211190025250,8125,11208,4292,186375,201875
0,measured,7,135211190138416,135211190252791,135211190260916,8125,11167,4916,200375,216458
0,measured,8,135211190372916,135211190467208,135211190475250,8042,10417,4250,175958,190625
0,measured,9,135211190581583,135211190684083,135211190692250,8167,10291,4250,186667,201208
0,measured,10,135211190800916,135211190916166,135211190924333,8167,18208,4250,182042,204500
0,measured,11,135211191020875,135211191137916,135211191146041,8125,10833,7375,184167,202375
0,measured,12,135211191241125,135211191391083,135211191399250,8167,10375,4500,243250,258125
0,measured,13,135211191515916,135211191625875,135211191634500,8625,11166,6167,211250,228583
0,measured,14,135211191759333,135211191867333,135211191875583,8250,9958,6875,218167,235000
0,measured,15,135211192008916,135211192115750,135211192124041,8291,9750,6958,210542,227250
0,measured,16,135211192253541,135211192363833,135211192372083,8250,10250,6708,221667,238625
0,measured,17,135211192512083,135211192615291,135211192623583,8292,10334,6750,210958,228042
0,measured,18,135211192755000,135211192861208,135211192869541,8333,9917,6958,224542,241417
0,measured,19,135211193010875,135211193119375,135211193127500,8125,9667,7167,230166,247000
0,measured,20,135211193272916,135211193386666,135211193394833,8167,10041,7334,218666,236041
0,measured,21,135211193530375,135211193645625,135211193653750,8125,11125,5042,215625,231792
0,measured,22,135211193781708,135211193896291,135211193904375,8084,11834,6875,223458,242167
0,measured,23,135211194039333,135211194149500,135211194157791,8291,10250,6291,211500,228041
0,measured,24,135211194282041,135211194389458,135211194398083,8625,9708,6792,213208,229708
0,measured,25,135211194526625,135211194633041,135211194641375,8334,9958,6250,213500,229708
0,measured,26,135211194773625,135211194879125,135211194887625,8500,10250,6750,215458,232458
0,measured,27,135211195020416,135211195120208,135211195128375,8167,9708,7250,207584,224542
0,measured,28,135211195259416,135211195377875,135211195386375,8500,9625,3833,247834,261292
0,measured,29,135211195535166,135211195648083,135211195656458,8375,9792,7000,228416,245208
0,measured,30,135211195796916,135211195904666,135211195913208,8542,9458,4042,223000,236500
0,measured,31,135211196049291,135211196170125,135211196178250,8125,10083,5375,232334,247792
0,measured,32,135211196314625,135211196411750,135211196419791,8041,11584,4708,250500,266792
0,measured,33,135211196596375,135211196698958,135211196707041,8083,10083,4209,194625,208917
0,measured,34,135211196820333,135211196916458,135211196924500,8042,10083,6583,207375,224041
0,measured,35,135211197065416,135211197158916,135211197167000,8084,10791,5750,193875,210416
0,measured,36,135211197292083,135211197397750,135211197405875,8125,10708,4083,202167,216958
0,measured,37,135211197528375,135211197626250,135211197634375,8125,10959,4416,196209,211584
0,measured,38,135211197758166,135211197874041,135211197882208,8167,10917,6375,203708,221000
0,measured,39,135211197995750,135211198102208,135211198110375,8167,10250,6250,195208,211708
1,calibration,0,135216203416250,135216205251000,135216205263500,12500,72458,14792,1923291,2010541
1,calibration,1,135216205506500,135216205728875,135216205737208,8333,36000,14458,312000,362458
1,calibration,2,135216205914250,135216206089125,135216206097458,8333,28792,8292,255083,292167
1,calibration,3,135216206234500,135216206371291,135216206379333,8042,26208,9167,225375,260750
1,calibration,4,135216206519125,135216206648708,135216206657000,8292,15042,6250,223250,244542
1,calibration,5,135216206786583,135216206911750,135216206920083,8333,14375,6167,219208,239750
1,calibration,6,135216207048250,135216207182541,135216207190875,8334,14666,6334,222375,243375
1,calibration,7,135216207315333,135216207447083,135216207455500,8417,14583,8500,227625,250708
1,calibration,8,135216207589250,135216207721083,135216207729333,8250,14000,7542,232875,254417
1,calibration,9,135216207866916,135216207998875,135216208007208,8333,15041,7542,225875,248458
1,measured,0,135216208139166,135216208281750,135216208290125,8375,14250,5500,239958,259708
1,measured,1,135216208436166,135216208588458,135216208598708,10250,14000,7583,262042,283625
1,measured,2,135216208741833,135216208875291,135216208883666,8375,14417,7708,234250,256375
1,measured,3,135216209027375,135216209146208,135216209154541,8333,14542,5500,223250,243292
1,measured,4,135216209306666,135216209466500,135216209474916,8416,18875,7750,250125,276750
1,measured,5,135216209611166,135216209734375,135216209742708,8333,17125,8875,221125,247125
1,measured,6,135216209882208,135216210000416,135216210008666,8250,15334,8416,219125,242875
1,measured,7,135216210147458,135216210270125,135216210278416,8291,14208,8500,216958,239666
1,measured,8,135216210409291,135216210545208,135216210553625,8417,14708,8292,230000,253000
1,measured,9,135216210684333,135216210817541,135216210825833,8292,14416,8125,227709,250250
1,measured,10,135216210957500,135216211065125,135216211073375,8250,12666,5209,206208,224083
1,measured,11,135216211201625,135216211311500,135216211319750,8250,13167,7500,204666,225333
1,measured,12,135216211446166,135216211555125,135216211563375,8250,12208,7417,208875,228500
1,measured,13,135216211694416,135216211804791,135216211813000,8209,12167,7416,210667,230250
1,measured,14,135216211944333,135216212064458,135216212072666,8208,21500,7416,214792,243708
1,measured,15,135216212207875,135216212325750,135216212334000,8250,12958,5417,210917,229292
1,measured,16,135216212456750,135216212585500,135216212593833,8333,19709,5541,219125,244375
1,measured,17,135216212721416,135216212848250,135216212856666,8416,19333,7459,206208,233000
1,measured,18,135216212975000,135216213085750,135216213094000,8250,12083,4834,276958,293875
1,measured,19,135216213288958,135216213397875,135216213406208,8333,12209,4875,225250,242334
1,measured,20,135216213559041,135216213666791,135216213675166,8375,16875,6792,210958,234625
1,measured,21,135216213819750,135216213944041,135216213952375,8334,14167,5333,230042,249542
1,measured,22,135216214089916,135216214213416,135216214222125,8709,13334,5041,229584,247959
1,measured,23,135216214367666,135216214478750,135216214487083,8333,14125,5000,214916,234041
1,measured,24,135216214623291,135216214734958,135216214743250,8292,13083,4667,229500,247250
1,measured,25,135216214891500,135216215001291,135216215009541,8250,13208,5125,223792,242125
1,measured,26,135216215159541,135216215286208,135216215294500,8292,21000,4958,227917,253875
1,measured,27,135216215452916,135216215600625,135216215608958,8333,22917,9416,232417,264750
1,measured,28,135216215736625,135216215848666,135216215856916,8250,12375,4791,219000,236166
1,measured,29,135216215991208,135216216098916,135216216107166,8250,12541,4709,215250,232500
1,measured,30,135216216244208,135216216352500,135216216360750,8250,12291,4709,220000,237000
1,measured,31,135216216499583,135216216602666,135216216610916,8250,12084,4750,217458,234292
1,measured,32,135216216751625,135216216867166,135216216875541,8375,12375,4708,217917,235000
1,measured,33,135216217011875,135216217150416,135216217158750,8334,15541,6625,238750,260916
1,measured,34,135216217303708,135216218109833,135216218185000,75167,19167,7917,998250,1025334
1,measured,35,135216218352291,135216218462250,135216218476166,13916,14042,8042,222791,244875
1,measured,36,135216218618916,135216218728708,135216218737000,8292,14792,5833,221833,242458
1,measured,37,135216218880166,135216218968916,135216218988416,19500,12417,5333,223750,241500
1,measured,38,135216219140541,135216219256875,135216219329041,72166,12208,7792,349292,369292
1,measured,39,135216219545083,135216219677041,135216219685375,8334,15291,6625,222959,244875
2,calibration,0,135221225058875,135221227310041,135221227325750,15709,112000,19500,2279375,2410875
2,calibration,1,135221227557333,135221227741000,135221227749166,8166,37875,11917,279125,328917
2,calibration,2,135221227972833,135221228194958,135221228203166,8208,53791,19709,288208,361708
2,calibration,3,135221228407250,135221228765208,135221228773500,8292,202708,19459,274750,496917
2,calibration,4,135221229000125,135221229218250,135221229226458,8208,51875,20333,236708,308916
2,calibration,5,135221229344458,135221229491333,135221229499500,8167,23666,9750,227000,260416
2,calibration,6,135221229640916,135221229778791,135221229787000,8209,23333,9458,281584,314375
2,calibration,7,135221229988458,135221230215333,135221230278208,62875,22166,8625,736834,767625
2,calibration,8,135221230796625,135221230950500,135221230958750,8250,26792,9958,260000,296750
