axis,complexity_level,sweep_idx,probe_idx_within_burst,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
write_tid_threadcount,32,0,0,5589797379416,5589807304666,5589807314333,9667,188500,39125,9893167,10120792
write_tid_threadcount,32,0,1,5589807627708,5589807822000,5589807828708,6708,53833,13625,227500,294958
write_tid_threadcount,32,0,2,5589807984458,5589808095750,5589808114000,18250,25291,8459,171541,205291
write_tid_threadcount,32,0,3,5589808215125,5589808307208,5589808321625,14417,16083,5583,156792,178458
write_tid_threadcount,32,0,4,5589808421208,5589808529208,5589808535625,6417,15458,5917,155167,176542
write_tid_threadcount,32,0,5,5589808640375,5589808742333,5589808748583,6250,24042,8292,138958,171292
write_tid_threadcount,32,0,6,5589808838916,5589808931541,5589808938041,6500,14625,5041,140834,160500
write_tid_threadcount,32,0,7,5589809024291,5589809114250,5589809120958,6708,15542,5625,166708,187875
write_tid_threadcount,32,0,8,5589809231208,5589809353708,5589809360208,6500,13084,5333,209625,228042
write_tid_threadcount,32,0,9,5589809501583,5589809636208,5589809642875,6667,24250,8375,208625,241250
write_tid_threadcount,64,0,0,5591911511125,5591918381375,5591918390125,8750,119542,20375,6913250,7053167
write_tid_threadcount,64,0,1,5591918653250,5591918779250,5591918785375,6125,36417,7583,150209,194209
write_tid_threadcount,64,0,2,5591918870625,5591918988625,5591918995708,7083,13000,4792,194458,212250
write_tid_threadcount,64,0,3,5591919101375,5591919223791,5591919230375,6584,11709,4791,205792,222292
write_tid_threadcount,64,0,4,5591919364833,5591919496750,5591919503416,6666,23750,7750,196125,227625
write_tid_threadcount,64,0,5,5591919609291,5591919722750,5591919728958,6208,11209,4958,187833,204000
write_tid_threadcount,64,0,6,5591919828833,5591919942041,5591919949041,7000,10542,4333,189458,204333
write_tid_threadcount,64,0,7,5591920048416,5591920179583,5591920223708,44125,10916,4250,243334,258500
write_tid_threadcount,64,0,8,5591920322583,5591920391375,5591920400708,9333,9792,3708,126708,140208
write_tid_threadcount,64,0,9,5591920479333,5591920561916,5591920568208,6292,10250,3833,123125,137208
write_tid_threadcount,96,0,0,5594015038208,5594021356916,5594021364916,8000,110792,20416,6287459,6418667
write_tid_threadcount,96,0,1,5594021547875,5594022016208,5594022024750,8542,33666,9292,539167,582125
write_tid_threadcount,96,0,2,5594022157416,5594022557916,5594022567000,9084,15917,9125,481250,506292
write_tid_threadcount,96,0,3,5594022684541,5594022811791,5594022818458,6667,13792,5375,225500,244667
write_tid_threadcount,96,0,4,5594022972541,5594023109333,5594023116083,6750,25375,9042,206916,241333
write_tid_threadcount,96,0,5,5594023257041,5594023373125,5594023379291,6166,24500,8000,163500,196000
write_tid_threadcount,96,0,6,5594023478833,5594023577916,5594023585125,7209,15833,5833,193667,215333
write_tid_threadcount,96,0,7,5594023722916,5594023847083,5594023853583,6500,15875,6250,187917,210042
write_tid_threadcount,96,0,8,5594023952916,5594024060041,5594024066875,6834,13709,5166,205167,224042
write_tid_threadcount,96,0,9,5594024196416,5594024319458,5594024326083,6625,12959,5208,204375,222542
write_tid_threadcount,128,0,0,5596123392625,5596131581125,5596131591500,10375,177167,36083,8164875,8378125
write_tid_threadcount,128,0,1,5596131895000,5596132022208,5596132028541,6333,39791,10500,160334,210625
write_tid_threadcount,128,0,2,5596132132708,5596132270541,5596132277500,6959,17500,6125,219375,243000
write_tid_threadcount,128,0,3,5596132400875,5596132528541,5596132535750,7209,13584,5083,235833,254500
write_tid_threadcount,128,0,4,5596132674166,5596132796250,5596132802666,6416,13500,5250,171459,190209
write_tid_threadcount,128,0,5,5596132882208,5596132970041,5596132976083,6042,13083,4459,150250,167792
write_tid_threadcount,128,0,6,5596133093541,5596133222708,5596133229541,6833,25208,8500,177000,210708
write_tid_threadcount,128,0,7,5596133328666,5596133416041,5596133422291,6250,15709,5541,138792,160042
write_tid_threadcount,128,0,8,5596133507916,5596133602958,5596133609583,6625,13709,5083,182875,201667
write_tid_threadcount,128,0,9,5596133752625,5596133889291,5596133895625,6334,25125,8542,202333,236000
write_tid_threadcount,192,0,0,5598225183125,5598231825500,5598231836125,10625,108708,19083,6667375,6795166
write_tid_threadcount,192,0,1,5598232063416,5598232218166,5598232225458,7292,28209,7000,223125,258334
write_tid_threadcount,192,0,2,5598232348875,5598232453333,5598232460125,6792,14958,5458,161209,181625
write_tid_threadcount,192,0,3,5598232550333,5598232650166,5598232656583,6417,13208,4750,183417,201375
write_tid_threadcount,192,0,4,5598232796125,5598232937208,5598232943791,6583,25167,9000,187167,221334
write_tid_threadcount,192,0,5,5598233042958,5598233151333,5598233157875,6542,16250,5834,189083,211167
write_tid_threadcount,192,0,6,5598233276875,5598233393083,5598233400000,6917,14000,5750,207500,227250
write_tid_threadcount,192,0,7,5598233523791,5598233648958,5598233655666,6708,13250,5291,213542,232083
write_tid_threadcount,192,0,8,5598233778250,5598234147666,5598234157875,10209,16083,5792,469708,491583
write_tid_threadcount,192,0,9,5598234320250,5598234684125,5598234693125,9000,27708,9125,433375,470208
write_tid_threadcount,256,0,0,5600337970750,5600343754916,5600343764541,9625,105542,18250,5843708,5967500
write_tid_threadcount,256,0,1,5600344014791,5600344497708,5600344505958,8250,29292,8708,554584,592584
write_tid_threadcount,256,0,2,5600344636666,5600345036125,5600345045291,9166,17084,6000,492125,515209
write_tid_threadcount,256,0,3,5600345179541,5600345503541,5600345511791,8250,15000,5125,420916,441041
write_tid_threadcount,256,0,4,5600345640000,5600346065958,5600346075000,9042,12875,5500,526208,544583
