axis,complexity_level,sweep_idx,trial_idx_within_combo,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
write_tid_threadcount,32,0,0,5589810016125,5589810107708,5589810114208,6500,14959,5041,138459,158459
write_tid_threadcount,32,0,1,5589810426708,5589810548375,5589810555000,6625,13209,5000,205333,223542
write_tid_threadcount,32,0,2,5589810874916,5589810962458,5589810968875,6417,12667,4625,135000,152292
write_tid_threadcount,32,0,3,5589811293791,5589811415458,5589811422083,6625,12500,4792,221916,239208
write_tid_threadcount,32,0,4,5589811785416,5589811908958,5589811915666,6708,11792,4333,207292,223417
write_tid_threadcount,32,0,5,5589812256833,5589812373583,5589812379833,6250,19083,4584,172500,196167
write_tid_threadcount,32,0,6,5589812762000,5589812849458,5589812855875,6417,12375,4125,135834,152334
write_tid_threadcount,32,0,7,5589813093500,5589813178791,5589813185000,6209,12250,3875,154541,170666
write_tid_threadcount,32,0,8,5589813505958,5589813625125,5589813631916,6791,12417,4375,197500,214292
write_tid_threadcount,32,0,9,5589813961041,5589814079916,5589814086583,6667,12291,4334,196458,213083
write_tid_threadcount,32,0,10,5589814415041,5589814533208,5589814539916,6708,12042,4833,196750,213625
write_tid_threadcount,32,0,11,5589814863583,5589814982041,5589814988500,6459,12625,4416,199459,216500
write_tid_threadcount,32,0,12,5589815319541,5589815438208,5589815444958,6750,12792,4416,201917,219125
write_tid_threadcount,32,0,13,5589815756250,5589815838541,5589815914791,76250,14250,5334,209375,228959
write_tid_threadcount,32,0,14,5589816148083,5589816228583,5589816235000,6417,11208,3625,128084,142917
write_tid_threadcount,32,0,15,5589816472458,5589816587875,5589816594541,6666,12250,3708,185417,201375
write_tid_threadcount,32,0,16,5589816890875,5589817003458,5589817010208,6750,11375,3625,192291,207291
write_tid_threadcount,32,0,17,5589817326333,5589817428208,5589817434458,6250,11458,3500,157500,172458
write_tid_threadcount,32,0,18,5589817665500,5589817745833,5589817752458,6625,10708,3292,172750,186750
write_tid_threadcount,32,0,19,5589818080583,5589818194125,5589818200708,6583,11208,3584,187208,202000
write_tid_threadcount,32,0,20,5589818508791,5589818622416,5589818629250,6834,11542,3542,200833,215917
write_tid_threadcount,32,0,21,5589818957958,5589819071250,5589819078000,6750,11375,3625,193167,208167
write_tid_threadcount,32,0,22,5589819387500,5589819502333,5589819508958,6625,11375,3750,192125,207250
write_tid_threadcount,32,0,23,5589819791500,5589819873250,5589819879458,6208,12333,3583,126417,142333
write_tid_threadcount,32,0,24,5589820122458,5589820237250,5589820244125,6875,11875,3542,198458,213875
write_tid_threadcount,32,0,25,5589820572500,5589820685583,5589820692250,6667,11500,3500,199375,214375
write_tid_threadcount,32,0,26,5589821188333,5589821279375,5589821285958,6583,13167,4291,137917,155375
write_tid_threadcount,32,0,27,5589821513833,5589821593833,5589821599958,6125,10584,3333,149750,163667
write_tid_threadcount,32,0,28,5589821906916,5589822028166,5589822034916,6750,19209,3625,195750,218584
write_tid_threadcount,32,0,29,5589822353375,5589822466541,5589822473041,6500,11750,4375,195916,212041
write_tid_threadcount,32,0,30,5589822791791,5589822886166,5589822892625,6459,10416,3667,149375,163458
write_tid_threadcount,32,0,31,5589823133208,5589823218041,5589823224875,6834,11125,3292,170333,184750
write_tid_threadcount,32,0,32,5589823547333,5589823665875,5589823672666,6791,11834,3541,196667,212042
write_tid_threadcount,32,0,33,5589824000500,5589824115625,5589824122208,6583,12167,3500,197416,213083
write_tid_threadcount,32,0,34,5589824445625,5589824559666,5589824566458,6792,11791,3625,196542,211958
write_tid_threadcount,32,0,35,5589824890500,5589825000125,5589825006916,6791,10125,3250,194208,207583
write_tid_threadcount,32,0,36,5589825341000,5589825477000,5589825483708,6708,23583,8333,185084,217000
write_tid_threadcount,32,0,37,5589825790833,5589825906625,5589825912750,6125,12917,4500,178833,196250
write_tid_threadcount,32,0,38,5589826190708,5589826299708,5589826306125,6417,11000,3333,172500,186833
write_tid_threadcount,32,0,39,5589826565791,5589826641083,5589826647333,6250,11292,3708,117875,132875
write_tid_threadcount,32,0,40,5589826950250,5589827065416,5589827071833,6417,34708,17250,169625,221583
write_tid_threadcount,32,0,41,5589827421125,5589827532750,5589827539291,6541,9917,3333,202083,215333
write_tid_threadcount,32,0,42,5589827864541,5589827976916,5589827983708,6792,10542,3208,187334,201084
write_tid_threadcount,32,0,43,5589828299625,5589828412291,5589828418916,6625,9708,2792,198125,210625
write_tid_threadcount,32,0,44,5589828727125,5589828839875,5589828846500,6625,10583,3167,195542,209292
write_tid_threadcount,32,0,45,5589829176958,5589829405416,5589829411666,6250,9042,3167,277791,290000
write_tid_threadcount,32,0,46,5589829682458,5589829792791,5589829799666,6875,9500,3125,191417,204042
