condition,sweep_idx,trial_idx_within_combo,wall_clock_ns,ref_t_start_raw,ref_t_end_raw,ref_delta_raw,trial_t_start_raw,trial_t_end_raw,trial_delta_raw,gap_ns,ratio,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
T1_paired,0,0,141347728427083,141347729742916,141347729850041,107125,141347729894125,141347729952333,58208,44084,0.5433652275379229,563334,25208,1161958,1750500
T1_paired,0,1,141347731022083,141347731362458,141347731470083,107625,141347731499333,141347731556875,57542,29250,0.5346527293844368,101000,19208,540750,660958
T1_paired,0,2,141347732525625,141347732846666,141347732953958,107292,141347733002666,141347733061041,58375,48708,0.5440759795697722,92375,17291,565500,675166
T1_paired,0,3,141347733854375,141347734177208,141347734284500,107292,141347734327291,141347734385666,58375,42791,0.5440759795697722,88375,17417,591291,697083
T1_paired,0,4,141347735174250,141347735487750,141347735595000,107250,141347735622833,141347735684083,61250,27833,0.5710955710955711,87542,20166,541500,649208
T1_paired,0,5,141347736436875,141347736723666,141347736831208,107542,141347736875375,141347736936625,61250,44167,0.569544921983969,86250,17750,533916,637916
T1_paired,0,6,141347737663583,141347738349291,141347738456875,107584,141347738500875,141347738561791,60916,44000,0.5662180249851279,474250,20875,549208,1044333
T1_paired,0,7,141347739394750,141347739729166,141347739836500,107334,141347739876750,141347739934500,57750,40250,0.5380401363966684,92709,20333,629875,742917
T1_paired,0,8,141347740789166,141347741083458,141347741191041,107583,141347741234500,141347741292583,58083,43459,0.5398901313404534,90042,16750,529292,636084
T1_paired,0,9,141347742038916,141347742320750,141347742427791,107041,141347742455791,141347742513375,57584,28000,0.5379620892928878,86333,17209,507625,611167
T1_paired,0,10,141347743285041,141347743562500,141347743672583,110083,141347743715083,141347743775791,60708,42500,0.551474796290072,87625,17292,519916,624833
T1_paired,0,11,141347744494041,141347744781791,141347744889416,107625,141347744920833,141347744978375,57542,31417,0.5346527293844368,87666,17417,509292,614375
T1_paired,0,12,141347745788541,141347746092083,141347746199291,107208,141347746242250,141347746299958,57708,42959,0.5382807253190061,88708,18750,534208,641666
T1_paired,0,13,141347747187125,141347747485000,141347747592541,107541,141347747634666,141347747692250,57584,42125,0.5354608939846198,89875,17375,526459,633709
T1_paired,0,14,141347748499083,141347748801000,141347748908458,107458,141347748951500,141347749012875,61375,43042,0.5711533808557762,95792,17958,553959,667709
T1_paired,0,15,141347749781250,141347750066583,141347750173916,107333,141347750201041,141347750258625,57584,27125,0.5364985605545359,87333,17209,510458,615000
T1_paired,0,16,141347750999041,141347751280166,141347751387750,107584,141347751429083,141347751490333,61250,41333,0.5693225758477097,86458,17084,522875,626417
T1_paired,0,17,141347752213791,141347752483833,141347752591458,107625,141347752633041,141347752690791,57750,41583,0.5365853658536586,85334,16625,504083,606042
T1_paired,0,18,141347753364416,141347753650333,141347753757416,107083,141347753799375,141347753856916,57541,41959,0.537349532605549,88667,17000,634416,740083
T1_paired,0,19,141347755001041,141347755340750,141347755448083,107333,141347755490125,141347755548291,58166,42042,0.5419209376426635,130500,23083,620875,774458
T1_paired,0,20,141347756451291,141347756738208,141347756845833,107625,141347756890458,141347756952541,62083,44625,0.5768455284552846,90333,16833,549875,657041
T1_paired,0,21,141347757749083,141347758033000,141347758140208,107208,141347758168833,141347758226375,57542,28625,0.5367323334079547,87708,17542,508250,613500
T1_paired,0,22,141347759039916,141347759323041,141347759430375,107334,141347759473250,141347759533208,59958,42875,0.5586114371960422,90625,17292,518042,625959
T1_paired,0,23,141347760221291,141347760502250,141347760609875,107625,141347760642375,141347760699958,57583,32500,0.5350336817653891,86042,18250,509958,614250
T1_paired,0,24,141347761411416,141347761729458,141347761837000,107542,141347761881125,141347761942791,61666,44125,0.5734131781071581,123083,17167,690458,830708
T1_paired,0,25,141347762876041,141347763163000,141347763270458,107458,141347763312625,141347763370375,57750,42167,0.5374192707848647,90041,18375,518167,626583
T1_paired,0,26,141347764098208,141347764533250,141347764644333,111083,141347764691875,141347764749583,57708,47542,0.5195034343688953,232416,22084,526291,780791
T1_paired,0,27,141347765422166,141347765706791,141347765814375,107584,141347765852250,141347765909500,57250,37875,0.5321423259964307,86166,17042,511333,614541
T1_paired,0,28,141347766588208,141347766875250,141347766982541,107291,141347767008375,141347767065875,57500,25834,0.5359256601206066,85458,16500,530209,632167
T1_paired,0,29,141347767803375,141347768080000,141347768187500,107500,141347768229250,141347768287333,58083,41750,0.540306976744186,85084,17916,534042,637042
T1_paired,0,30,141347768990416,141347769272000,141347769382208,110208,141347769425125,141347769482833,57708,42917,0.5236280487804879,84917,18333,550792,654042
T1_paired,0,31,141347770274041,141347770556375,141347770663583,107208,141347770688458,141347770746000,57542,24875,0.5367323334079547,87125,16250,505959,609334
T1_paired,0,32,141347771673833,141347772006208,141347772113250,107042,141347772154833,141347772212833,58000,41583,0.5418433885764466,92833,42042,671625,806500
T1_paired,0,33,141347773158833,141347773455708,141347773563333,107625,141347773597583,141347773655166,57583,34250,0.5350336817653891,88625,18166,523959,630750
T1_paired,0,34,141347774403500,141347774683833,141347774791500,107667,141347774834333,141347774896000,61667,42833,0.5727567406912053,86417,18375,587958,692750
T1_paired,0,35,141347775721125,141347776000916,141347776108250,107334,141347776135500,141347776193125,57625,27250,0.5368755473568487,84958,17750,507208,609916
T1_paired,0,36,141347776919583,141347777199000,141347777306583,107583,141347777349333,141347777407666,58333,42750,0.5422139185559057,85166,17334,530041,632541
T1_paired,0,37,141347778107000,141347778385208,141347778492750,107542,141347778535541,141347778593583,58042,42791,0.5397147161109148,85375,17166,550334,652875
T1_paired,0,38,141347779373666,141347779658541,141347779768375,109834,141347779793833,141347779851208,57375,25458,0.522379226833221,92709,17375,503416,613500
T1_paired,0,39,141347780588625,141347780876416,141347780983916,107500,141347781026041,141347781084125,58084,42125,0.5403162790697674,85584,18750,527166,631500
T1_paired,0,40,141347781795666,141347782057000,141347782164333,107333,141347782210333,141347782268416,58083,46000,0.5411476433156625,84417,17000,500333,601750
T1_paired,0,41,141347782940541,141347783225208,141347783335500,110292,141347783373333,141347783430916,57583,37833,0.5220958909077721,93583,17042,508500,619125
T1_paired,0,42,141347784105041,141347784379791,141347784487208,107417,141347784517458,141347784574791,57333,30250,0.5337423312883436,84334,17333,490167,591834
T1_paired,0,43,141347785238083,141347785518875,141347785628625,109750,141347785660000,141347785717541,57541,31375,0.5242915717539863,86000,17417,503000,606417
T1_paired,0,44,141347786418458,141347786691666,141347786798833,107167,141347786824791,141347786882375,57584,25958,0.537329588399414,85083,17584,506666,609333
T1_paired,0,45,141347787816916,141347788104458,141347788211750,107292,141347788255791,141347788314125,58334,44041,0.5436938448346568,91208,16958,570875,679041
