# IOReport telemetry  interval=1000ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/008-ioreport-vs-powermetrics-power/raw/20260428T170422-ioreport.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  17:04:24    109 mW    803 mW      0 mW    379 mW    574 mW    452 mW      9 mW    316 mW      2 mW      3 mW      0 mW
  17:04:25     99 mW   1509 mW      0 mW    484 mW    665 mW    689 mW      8 mW    323 mW      3 mW      2 mW      0 mW
  17:04:27     98 mW   1011 mW      0 mW    345 mW    605 mW    472 mW      8 mW    321 mW      2 mW      2 mW      0 mW
  17:04:28    109 mW    855 mW      0 mW    301 mW    539 mW    424 mW      9 mW    323 mW      2 mW      3 mW      0 mW
  17:04:29    110 mW    794 mW      0 mW    291 mW    536 mW    381 mW      9 mW    325 mW      3 mW      2 mW      0 mW
  17:04:30    108 mW    812 mW      0 mW    293 mW    520 mW    433 mW      9 mW    322 mW      2 mW      2 mW      0 mW
  17:04:31    105 mW    786 mW      0 mW    297 mW    520 mW    438 mW      8 mW    318 mW      2 mW      3 mW      0 mW
  17:04:33    112 mW    752 mW      0 mW    269 mW    503 mW    399 mW      8 mW    328 mW      3 mW      2 mW      0 mW
  17:04:34    103 mW    731 mW      0 mW    263 mW    501 mW    388 mW      8 mW    324 mW      2 mW      2 mW      0 mW
  17:04:35    110 mW    717 mW      0 mW    276 mW    531 mW    447 mW      9 mW    323 mW      3 mW      3 mW      0 mW
  17:04:36    110 mW    812 mW      0 mW    271 mW    516 mW    361 mW      9 mW    325 mW      2 mW      2 mW      0 mW
  17:04:37    103 mW    915 mW      0 mW    314 mW    561 mW    452 mW      8 mW    320 mW      2 mW      3 mW      0 mW
  17:04:38    103 mW    835 mW      0 mW    297 mW    557 mW    415 mW      8 mW    324 mW      3 mW      2 mW      0 mW
  17:04:40    109 mW    757 mW      0 mW    271 mW    508 mW    382 mW      8 mW    318 mW      2 mW      2 mW      0 mW
  17:04:41    116 mW    741 mW      0 mW    289 mW    538 mW    437 mW      9 mW    330 mW      2 mW      3 mW      0 mW
  17:04:42    156 mW    885 mW      0 mW    331 mW    681 mW    528 mW     12 mW    323 mW      3 mW      2 mW      0 mW
