attempt_idx,phase,idx_within_phase,attempt_pid,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,calibration,0,28253,26390355051041,26390362680666,26390362749625,68959,1142625,56625,6626250,7825500
0,calibration,1,28253,26390363040250,26390363531625,26390363543000,11375,36708,14625,579625,630958
0,calibration,2,28253,26390363723791,26390364116708,26390364127166,10458,19959,10458,506625,537042
0,calibration,3,28253,26390364313750,26390364692166,26390364705583,13417,33250,12750,485333,531333
0,calibration,4,28253,26390364871458,26390365274916,26390365285000,10084,15500,9375,517833,542708
0,calibration,5,28253,26390365435791,26390365834375,26390365846500,12125,13584,8416,509250,531250
0,calibration,6,28253,26390365997250,26390366448083,26390366457708,9625,18084,7458,539958,565500
0,calibration,7,28253,26390366586041,26390366696000,26390366702625,6625,13417,5042,184125,202584
0,calibration,8,28253,26390366817041,26390367124583,26390367134291,9708,16417,5417,390250,412084
0,calibration,9,28253,26390367253500,26390367362125,26390367368750,6625,13958,5167,170833,189958
0,measured,0,28253,26390373890958,26390374284708,26390374294833,10125,13500,5375,517833,536708
0,measured,1,28253,26390380198500,26390380387625,26390380395041,7416,11875,4583,294417,310875
0,measured,2,28253,26390386546916,26390386629666,26390386635958,6292,12166,4000,136084,152250
0,measured,3,28253,26390391636583,26390391728750,26390391735583,6833,12583,6375,136750,155708
0,measured,4,28253,26390396639000,26390396736000,26390396743208,7208,10708,6000,168250,184958
0,measured,5,28253,26390402039041,26390402114416,26390402120625,6209,10417,3166,131375,144958
0,measured,6,28253,26390406857458,26390406969666,26390406976458,6792,15333,3667,170541,189541
0,measured,7,28253,26390411550416,26390411620750,26390411627250,6500,8541,2834,143333,154708
0,measured,8,28253,26390416343541,26390416450875,26390416457291,6416,8416,2875,158250,169541
0,measured,9,28253,26390421152291,26390421222833,26390421229625,6792,7500,2583,124000,134083
0,measured,10,28253,26390426139791,26390426208791,26390426214958,6167,8416,2709,119375,130500
0,measured,11,28253,26390430917208,26390431023166,26390431030083,6917,7708,2792,200875,211375
0,measured,12,28253,26390435926791,26390436030208,26390436037041,6833,7916,2500,167334,177750
0,measured,13,28253,26390440717291,26390440790041,26390440796333,6292,8666,2709,135791,147166
0,measured,14,28253,26390445710375,26390445830208,26390445836750,6542,8125,2750,173875,184750
0,measured,15,28253,26390450916250,26390450983541,26390450989791,6250,8667,2417,139791,150875
0,measured,16,28253,26390455709083,26390455799833,26390455806750,6917,7834,2875,156541,167250
0,measured,17,28253,26390460287375,26390460352583,26390460358958,6375,7292,2292,116041,125625
0,measured,18,28253,26390465048791,26390465124041,26390465130541,6500,7666,2625,138042,148333
0,measured,19,28253,26390469631208,26390469697291,26390469703916,6625,7166,2375,122750,132291
0,measured,20,28253,26390474138750,26390474226208,26390474233125,6917,7167,2417,158875,168459
0,measured,21,28253,26390478649791,26390478729166,26390478735916,6750,6750,2125,146167,155042
0,measured,22,28253,26390483369875,26390483435500,26390483441791,6291,7042,2167,117541,126750
0,measured,23,28253,26390487835916,26390487908166,26390487914458,6292,6916,2542,139958,149416
0,measured,24,28253,26390492813375,26390492875791,26390492882166,6375,6792,2083,119750,128625
0,measured,25,28253,26390497624708,26390497701041,26390497708083,7042,6625,2250,145375,154250
0,measured,26,28253,26390502313833,26390502419875,26390502426500,6625,11417,2708,182959,197084
0,measured,27,28253,26390507127125,26390507192291,26390507198583,6292,5958,2000,146334,154292
0,measured,28,28253,26390512122291,26390512187916,26390512194250,6334,5917,2208,123083,131208
0,measured,29,28253,26390517388791,26390517455041,26390517461416,6375,6916,2750,124709,134375
0,measured,30,28253,26390522199750,26390522275208,26390522282375,7167,5542,1792,147208,154542
0,measured,31,28253,26390526949916,26390527053875,26390527058208,4333,6292,1916,166000,174208
0,measured,32,28253,26390531706083,26390531823291,26390531827875,4584,7167,2167,216875,226209
0,measured,33,28253,26390536515958,26390536590833,26390536594500,3667,7083,2750,125792,135625
0,measured,34,28253,26390540992083,26390541097666,26390541102166,4500,6625,2000,187666,196291
0,measured,35,28253,26390544936458,26390545007250,26390545010166,2916,5792,2000,122667,130459
0,measured,36,28253,26390549319500,26390549434333,26390549437916,3583,7042,3125,178791,188958
0,measured,37,28253,26390552996500,26390553060125,26390553063000,2875,6625,2292,116333,125250
0,measured,38,28253,26390556792000,26390556868791,26390556871375,2584,6791,2584,131083,140458
0,measured,39,28253,26390560521500,26390560619291,26390560622125,2834,5792,1833,171875,179500
0,measured,40,28253,26390564158041,26390564238250,26390564240625,2375,6833,2458,134917,144208
