# IOReport telemetry  interval=500ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/009-sub-floor-reproduction/raw/20260428T211252-ioreport.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:12:54    121 mW    402 mW      0 mW    252 mW    484 mW    371 mW      9 mW    313 mW      3 mW      2 mW      0 mW
  21:12:54    141 mW   3224 mW      0 mW    615 mW   1114 mW   1373 mW     10 mW    327 mW      1 mW      1 mW      0 mW
  21:12:55    130 mW   4526 mW      0 mW    682 mW   1225 mW   1610 mW     11 mW    324 mW      2 mW      3 mW      0 mW
  21:12:56    131 mW   2518 mW      0 mW    425 mW    756 mW    860 mW     10 mW    302 mW      3 mW      1 mW      0 mW
  21:12:56    146 mW    963 mW      0 mW    315 mW    606 mW    541 mW     10 mW    334 mW      1 mW      1 mW      0 mW
  21:12:57    128 mW   1243 mW      0 mW    323 mW    616 mW    551 mW     10 mW    323 mW      1 mW      3 mW      0 mW
  21:12:58    140 mW   1028 mW      0 mW    270 mW    527 mW    416 mW     11 mW    315 mW      3 mW      1 mW      0 mW
  21:12:58    125 mW   1049 mW      0 mW    329 mW    605 mW    577 mW     10 mW    328 mW      1 mW      3 mW      0 mW
  21:12:59    138 mW   1041 mW      0 mW    288 mW    537 mW    457 mW     10 mW    327 mW      3 mW      1 mW      0 mW
  21:13:00    140 mW   1087 mW      0 mW    338 mW    628 mW    575 mW     10 mW    323 mW      1 mW      1 mW      0 mW
  21:13:01    241 mW   1212 mW      0 mW    393 mW    786 mW    734 mW     16 mW    329 mW      1 mW      3 mW      0 mW
  21:13:01    197 mW   1818 mW      0 mW    402 mW    752 mW    798 mW     19 mW    305 mW      3 mW      1 mW      0 mW
  21:13:02    138 mW   1484 mW      0 mW    371 mW    660 mW    675 mW     12 mW    329 mW      1 mW      1 mW      0 mW
  21:13:03    134 mW    959 mW      0 mW    289 mW    578 mW    500 mW     10 mW    324 mW      1 mW      3 mW      0 mW
  21:13:03    151 mW   2145 mW      0 mW    437 mW    775 mW    807 mW     10 mW    324 mW      3 mW      1 mW      0 mW
  21:13:04    125 mW   1163 mW      0 mW    329 mW    620 mW    668 mW     10 mW    320 mW      1 mW      3 mW      0 mW
  21:13:05    130 mW    970 mW      0 mW    292 mW    589 mW    521 mW     10 mW    324 mW      1 mW      1 mW      0 mW
  21:13:05    142 mW   1014 mW      0 mW    293 mW    563 mW    491 mW     12 mW    321 mW      3 mW      1 mW      0 mW
  21:13:06    122 mW    966 mW      0 mW    267 mW    555 mW    463 mW      9 mW    323 mW      1 mW      3 mW      0 mW
  21:13:07    152 mW   1055 mW      0 mW    316 mW    594 mW    512 mW     12 mW    327 mW      3 mW      1 mW      0 mW
  21:13:07    131 mW   1516 mW      0 mW    347 mW    626 mW    571 mW     10 mW    319 mW      1 mW      1 mW      0 mW
  21:13:08    230 mW   1207 mW      0 mW    363 mW    731 mW    731 mW     17 mW    330 mW      2 mW      3 mW      0 mW
  21:13:09    198 mW   1700 mW      0 mW    340 mW    627 mW    656 mW     17 mW    306 mW      3 mW      1 mW      0 mW
  21:13:09    127 mW    975 mW      0 mW    304 mW    527 mW    502 mW     10 mW    325 mW      1 mW      1 mW      0 mW
