# IOReport telemetry  interval=1000ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/010-gpuph-residency/raw/20260428T212810.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/010-gpuph-residency/raw/20260428T212810-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:28:13    117 mW    565 mW      0 mW    283 mW    517 mW    279 mW      9 mW    318 mW      2 mW      2 mW      0 mW
  21:28:14    123 mW   1004 mW      0 mW    325 mW    606 mW    512 mW      9 mW    326 mW      2 mW      2 mW      0 mW
  21:28:15    116 mW   1052 mW      0 mW    308 mW    538 mW    459 mW      9 mW    317 mW      2 mW      2 mW      0 mW
  21:28:17    130 mW    958 mW      0 mW    301 mW    578 mW    436 mW     10 mW    327 mW      2 mW      2 mW      0 mW
  21:28:18    123 mW   1129 mW      0 mW    326 mW    612 mW    568 mW     10 mW    324 mW      2 mW      2 mW      0 mW
  21:28:19    121 mW    985 mW      0 mW    291 mW    567 mW    444 mW      9 mW    323 mW      2 mW      2 mW      0 mW
  21:28:20    123 mW   1080 mW      0 mW    331 mW    589 mW    435 mW     10 mW    320 mW      2 mW      2 mW      0 mW
  21:28:22    119 mW   1457 mW      0 mW    369 mW    615 mW    471 mW      9 mW    322 mW      2 mW      2 mW      0 mW
  21:28:23    120 mW   1282 mW      0 mW    296 mW    524 mW    386 mW      9 mW    323 mW      2 mW      2 mW      0 mW
  21:28:24    118 mW   1334 mW      0 mW    349 mW    568 mW    527 mW      9 mW    323 mW      2 mW      2 mW      0 mW
  21:28:25    131 mW   1379 mW      0 mW    343 mW    554 mW    442 mW     10 mW    319 mW      2 mW      2 mW      0 mW
  21:28:26    116 mW   1436 mW      0 mW    372 mW    640 mW    503 mW      9 mW    327 mW      2 mW      2 mW      0 mW
  21:28:28    115 mW   1359 mW      0 mW    362 mW    598 mW    517 mW      9 mW    322 mW      2 mW      2 mW      0 mW
  21:28:29    113 mW   1358 mW      0 mW    345 mW    567 mW    469 mW      8 mW    322 mW      2 mW      2 mW      0 mW
