# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T215024-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T215024-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:50:26    788 mW   1205 mW      0 mW    864 mW    834 mW    732 mW     65 mW    314 mW      2 mW      2 mW      0 mW
  21:50:26    869 mW   2575 mW      0 mW   1178 mW   1148 mW   1350 mW     80 mW    344 mW      2 mW      2 mW      0 mW
  21:50:27    847 mW   3795 mW      0 mW   1309 mW   1458 mW   1759 mW     75 mW    335 mW      2 mW      2 mW      0 mW
  21:50:27    803 mW   2511 mW      0 mW   1117 mW   1286 mW   1421 mW     70 mW    311 mW      2 mW      2 mW      0 mW
  21:50:27    746 mW   2272 mW      0 mW   1017 mW   1033 mW   1181 mW     65 mW    334 mW      2 mW      0 mW      0 mW
  21:50:28    854 mW   2487 mW      0 mW   1224 mW   1238 mW   1491 mW     75 mW    323 mW      2 mW      2 mW      0 mW
  21:50:28    853 mW   2452 mW      0 mW   1135 mW   1199 mW   1337 mW     73 mW    330 mW      0 mW      2 mW      0 mW
  21:50:29    850 mW   2340 mW      0 mW   1084 mW   1126 mW   1281 mW     74 mW    322 mW      2 mW      2 mW      0 mW
  21:50:29    761 mW   2182 mW      0 mW    985 mW   1012 mW   1033 mW     66 mW    339 mW      2 mW      2 mW      0 mW
  21:50:30    854 mW   2230 mW      0 mW   1080 mW   1093 mW   1305 mW     75 mW    326 mW      2 mW      2 mW      0 mW
  21:50:30    877 mW   2238 mW      0 mW   1024 mW   1031 mW   1133 mW     75 mW    331 mW      2 mW      2 mW      0 mW
  21:50:30    887 mW   2264 mW      0 mW   1140 mW   1192 mW   1315 mW     75 mW    329 mW      2 mW      2 mW      0 mW
  21:50:31    741 mW   2361 mW      0 mW   1052 mW   1093 mW   1146 mW     67 mW    331 mW      2 mW      0 mW      0 mW
  21:50:31    876 mW   2328 mW      0 mW   1047 mW   1096 mW   1119 mW     76 mW    332 mW      2 mW      2 mW      0 mW
