iso_ts,monotonic_ns,window_s,gpu_power_mw,cpu_power_mw,ane_power_mw,dram_power_mw,amcc_power_mw,dcs_power_mw,afr_power_mw,disp_power_mw,isp_power_mw,ave_power_mw,gpu_sram_power_mw,gpu_energy_nj,cpu_energy_nj,ane_energy_nj,dram_energy_nj,amcc_energy_nj,dcs_energy_nj,afr_energy_nj,disp_energy_nj,isp_energy_nj,ave_energy_nj,gpu_sram_energy_nj
2026-04-28T21:50:26.130831,28501137113416,0.401647,788.409,1205.037,0.0,863.942,834.065,731.985,64.733,313.708,2.49,2.49,0.0,316662274,484000000,0,347000000,335000000,294000000,26000000,126000000,1000000,1000000,0
2026-04-28T21:50:26.555216,28501561500291,0.424387,869.067,2575.478,0.0,1178.169,1147.537,1350.182,80.116,344.025,2.356,2.356,0.0,368820799,1093000000,0,500000000,487000000,573000000,34000000,146000000,1000000,1000000,0
2026-04-28T21:50:26.970190,28501976472500,0.414976,847.31,3795.4,0.0,1308.509,1457.915,1759.138,74.703,334.959,2.41,2.41,0.0,351613350,1575000000,0,543000000,605000000,730000000,31000000,139000000,1000000,1000000,0
2026-04-28T21:50:27.413456,28502419740875,0.443268,803.245,2510.898,0.0,1116.707,1285.905,1421.263,69.935,311.324,2.256,2.256,0.0,356052476,1113000000,0,495000000,570000000,630000000,31000000,138000000,1000000,1000000,0
2026-04-28T21:50:27.847071,28502853358208,0.433617,746.108,2271.59,0.0,1017.027,1033.17,1180.766,64.573,334.396,2.306,0.0,0.0,323525315,985000000,0,441000000,448000000,512000000,28000000,145000000,1000000,0,0
2026-04-28T21:50:28.286517,28503292807041,0.439448,853.735,2487.209,0.0,1224.262,1237.915,1490.505,75.094,323.132,2.276,2.276,0.0,375172441,1093000000,0,538000000,544000000,655000000,33000000,142000000,1000000,1000000,0
2026-04-28T21:50:28.726205,28503732497458,0.439688,852.875,2451.737,0.0,1134.895,1198.576,1337.311,72.779,329.779,0.0,2.274,0.0,374999071,1078000000,0,499000000,527000000,588000000,32000000,145000000,0,1000000,0
2026-04-28T21:50:29.172792,28504179084666,0.44659,850.343,2339.955,0.0,1083.769,1126.313,1280.818,73.893,322.444,2.239,2.239,0.0,379754317,1045000000,0,484000000,503000000,572000000,33000000,144000000,1000000,1000000,0
2026-04-28T21:50:29.609500,28504615794166,0.436709,761.372,2182.231,0.0,984.637,1012.116,1032.724,66.406,338.898,2.29,2.29,0.0,332498024,953000000,0,430000000,442000000,451000000,29000000,148000000,1000000,1000000,0
2026-04-28T21:50:30.048521,28505054815750,0.439023,853.909,2229.951,0.0,1079.67,1093.336,1305.17,75.167,325.723,2.278,2.278,0.0,374885772,979000000,0,474000000,480000000,573000000,33000000,143000000,1000000,1000000,0
2026-04-28T21:50:30.489933,28505496233083,0.441413,877.198,2238.267,0.0,1023.984,1030.781,1132.726,74.76,330.756,2.265,2.265,0.0,387206445,988000000,0,452000000,455000000,500000000,33000000,146000000,1000000,1000000,0
2026-04-28T21:50:30.930294,28505936594625,0.440363,886.867,2264.04,0.0,1139.968,1192.198,1314.824,74.938,329.274,2.271,2.271,0.0,390543394,997000000,0,502000000,525000000,579000000,33000000,145000000,1000000,1000000,0
2026-04-28T21:50:31.365632,28506371933208,0.435341,741.473,2361.37,0.0,1052.05,1093.397,1146.229,66.615,330.776,2.297,0.0,0.0,322793421,1028000000,0,458000000,476000000,499000000,29000000,144000000,1000000,0,0
2026-04-28T21:50:31.799101,28506805401625,0.433472,876.374,2327.718,0.0,1047.358,1095.804,1118.873,76.13,332.202,2.307,2.307,0.0,379883522,1009000000,0,454000000,475000000,485000000,33000000,144000000,1000000,1000000,0
2026-04-28T21:50:32.219854,28507226158041,0.420754,1639.51,4251.891,0.0,1421.258,1585.25,2074.847,125.964,339.866,0.0,2.377,0.0,689830268,1789000000,0,598000000,667000000,873000000,53000000,143000000,0,1000000,0
2026-04-28T21:50:32.639918,28507646222583,0.420067,1519.066,5046.817,0.0,1378.352,1647.357,2121.091,140.454,328.519,2.381,2.381,0.0,638108949,2120000000,0,579000000,692000000,891000000,59000000,138000000,1000000,1000000,0
