attempt_idx,phase,idx_within_phase,attempt_pid,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
0,calibration,0,30299,28264460793000,28264464372833,28264464573250,200417,443333,25708,3397375,3866416
0,calibration,1,30299,28264464776875,28264464873500,28264464880166,6666,22000,7375,127792,157167
0,calibration,2,30299,28264464956083,28264465031041,28264465037541,6500,10166,3417,122208,135791
0,calibration,3,30299,28264465117875,28264465193625,28264465199708,6083,16333,4250,119042,139625
0,calibration,4,30299,28264465273416,28264465340625,28264465347041,6416,9167,3125,111541,123833
0,calibration,5,30299,28264465410625,28264465480125,28264465486500,6375,8459,2708,118417,129584
0,calibration,6,30299,28264465565916,28264465641000,28264465647333,6333,12334,5250,116833,134417
0,calibration,7,30299,28264465718291,28264465794166,28264465800125,5959,8292,2833,136750,147875
0,calibration,8,30299,28264465877708,28264465944708,28264465994375,49667,8042,3167,165833,177042
0,calibration,9,30299,28264466075916,28264466143791,28264466150208,6417,10125,3583,128375,142083
0,measured,0,30299,28264470721208,28264470795541,28264470802041,6500,8958,2375,127750,139083
0,measured,1,30299,28264475021500,28264475073916,28264475170291,96375,8500,2291,196500,207291
0,measured,2,30299,28264479427583,28264479500333,28264479507208,6875,6709,2333,120125,129167
0,measured,3,30299,28264483666250,28264483723625,28264483749083,25458,6250,1959,125666,133875
0,measured,4,30299,28264487698291,28264487757333,28264487763791,6458,6167,1625,107833,115625
0,measured,5,30299,28264491837208,28264491966291,28264491972458,6167,7375,2209,197000,206584
0,measured,6,30299,28264496057083,28264496123125,28264496129625,6500,8833,2250,108250,119333
0,measured,7,30299,28264500099250,28264500178625,28264500185041,6416,7292,2500,137083,146875
0,measured,8,30299,28264504370541,28264504447416,28264504454416,7000,7125,2667,137375,147167
0,measured,9,30299,28264508577041,28264508627875,28264508637833,9958,6500,2375,105083,113958
0,measured,10,30299,28264512585333,28264512649625,28264512656375,6750,7375,2375,107209,116959
0,measured,11,30299,28264516780000,28264516832000,28264516842875,10875,6958,2292,115750,125000
0,measured,12,30299,28264520768791,28264520830041,28264520836541,6500,6458,2000,108625,117083
0,measured,13,30299,28264524940583,28264524999541,28264525073208,73667,7167,2333,195250,204750
0,measured,14,30299,28264529036916,28264529099666,28264529106291,6625,7125,2125,109417,118667
0,measured,15,30299,28264532971916,28264533024208,28264533031000,6792,7375,1875,91958,101208
0,measured,16,30299,28264536700708,28264536753500,28264536760000,6500,7708,1917,91833,101458
0,measured,17,30299,28264540541458,28264540591291,28264540597583,6292,7375,1792,87292,96459
0,measured,18,30299,28264544346833,28264544404625,28264544411291,6666,8500,2625,95083,106208
0,measured,19,30299,28264548360500,28264548412958,28264548419541,6583,7375,2291,91625,101291
0,measured,20,30299,28264552012625,28264552062250,28264552068583,6333,7000,2125,89333,98458
0,measured,21,30299,28264555454291,28264555504833,28264555511125,6292,7125,1750,87583,96458
0,measured,22,30299,28264559208291,28264559251166,28264559255541,4375,7333,2000,88500,97833
0,measured,23,30299,28264562690958,28264562740750,28264562747166,6416,7084,1750,88833,97667
0,measured,24,30299,28264566461791,28264566511083,28264566517250,6167,7458,1833,90334,99625
0,measured,25,30299,28264569848875,28264569898541,28264569902166,3625,7125,1917,88583,97625
0,measured,26,30299,28264572780000,28264572833958,28264572837916,3958,10292,1750,107042,119084
0,measured,27,30299,28264575757291,28264575797708,28264575801541,3833,5500,1791,80625,87916
0,measured,28,30299,28264578938833,28264578988583,28264578992250,3667,6917,2125,86333,95375
0,measured,29,30299,28264581848291,28264581897458,28264581901125,3667,6541,1917,89708,98166
0,measured,30,30299,28264584735625,28264584786250,28264584790208,3958,7083,2250,230875,240208
0,measured,31,30299,28264587586250,28264587635708,28264587638708,3000,7042,2083,85958,95083
0,measured,32,30299,28264590231708,28264590282333,28264590285166,2833,7083,2417,87625,97125
0,measured,33,30299,28264592882208,28264592929541,28264592932458,2917,6791,2125,91584,100500
0,measured,34,30299,28264595768583,28264595815833,28264595818875,3042,7042,2166,81542,90750
0,measured,35,30299,28264598460208,28264598506958,28264598510041,3083,6250,1834,85041,93125
0,measured,36,30299,28264601175958,28264601226750,28264601229833,3083,5917,2000,105125,113042
0,measured,37,30299,28264604216208,28264604263000,28264604266708,3708,5917,1875,83625,91417
0,measured,38,30299,28264607062958,28264607130000,28264607133833,3833,6417,2000,125625,134042
0,measured,39,30299,28264610157750,28264610207958,28264610213541,5583,7541,2084,86541,96166
0,measured,40,30299,28264612939625,28264612990250,28264612993875,3625,7083,2083,86792,95958
0,measured,41,30299,28264615754958,28264615803958,28264615807708,3750,7417,2625,88833,98875
0,measured,42,30299,28264618826791,28264618875750,28264618882333,6583,5916,1750,84917,92583
0,measured,43,30299,28264622599375,28264622653375,28264622660583,7208,7792,2291,101500,111583
0,measured,44,30299,28264625833291,28264625884000,28264625887916,3916,7375,2250,99125,108750
0,measured,45,30299,28264629318916,28264629368958,28264629375125,6167,6875,2042,87875,96792
0,measured,46,30299,28264632810625,28264632861375,28264632865000,3625,7000,2333,88625,97958
0,measured,47,30299,28264636070541,28264636122291,28264636128791,6500,6875,2042,89291,98208
0,measured,48,30299,28264639656375,28264639708625,28264639715208,6583,6542,1958,98708,107208
0,measured,49,30299,28264643323541,28264643374083,28264643380333,6250,6292,2125,90000,98417
0,measured,50,30299,28264646769083,28264646818875,28264646825416,6541,6042,1791,89209,97042
0,measured,51,30299,28264650590583,28264650628333,28264650633958,5625,5000,1708,88583,95291
0,measured,52,30299,28264654167875,28264654218416,28264654224958,6542,6084,1958,90417,98459
0,measured,53,30299,28264657952708,28264658035625,28264658041875,6250,6750,2500,139750,149000
0,measured,54,30299,28264661642291,28264661682250,28264661692083,9833,6250,1958,89625,97833
0,measured,55,30299,28264665325041,28264665376083,28264665382666,6583,7667,2458,85042,95167
0,measured,56,30299,28264668906916,28264668958250,28264668964750,6500,6750,2167,89875,98792
0,measured,57,30299,28264672613125,28264672666875,28264672673291,6416,6500,1875,89667,98042
0,measured,58,30299,28264676110666,28264676163416,28264676170083,6667,6916,2084,87875,96875
0,measured,59,30299,28264679640791,28264679693000,28264679699458,6458,8958,2167,86750,97875
0,measured,60,30299,28264683246375,28264683297625,28264683304125,6500,6917,2291,97500,106708
0,measured,61,30299,28264686814666,28264686864416,28264686870750,6334,6250,1917,88292,96459
0,measured,62,30299,28264690408666,28264690460583,28264690467250,6667,7042,2208,89667,98917
0,measured,63,30299,28264694045916,28264694099583,28264694106125,6542,6333,2167,86916,95416
0,measured,64,30299,28264697935208,28264697991333,28264697997625,6292,8875,2708,91833,103416
0,measured,65,30299,28264701725750,28264701780791,28264701787000,6209,8875,6333,86208,101416
0,measured,66,30299,28264705818958,28264705878416,28264705885083,6667,9375,2875,92583,104833
0,measured,67,30299,28264709402291,28264709453041,28264709459708,6667,6375,1833,87833,96041
0,measured,68,30299,28264712979250,28264713032041,28264713038291,6250,6792,2083,92458,101333
0,measured,69,30299,28264716748208,28264716803041,28264716809291,6250,8000,2417,90333,100750
0,measured,70,30299,28264720404916,28264720456375,28264720463041,6666,7708,2375,87917,98000
0,measured,71,30299,28264724229208,28264724286416,28264724292958,6542,8167,2167,96541,106875
0,measured,72,30299,28264727856875,28264727906666,28264727913083,6417,6875,1834,88833,97542
0,measured,73,30299,28264731602041,28264731654125,28264731660375,6250,6709,2458,93750,102917
0,measured,74,30299,28264735488250,28264735546250,28264735552708,6458,8750,3458,97375,109583
0,measured,75,30299,28264738975250,28264739021333,28264739300875,279542,8458,2875,358208,369541
0,measured,76,30299,28264742896875,28264742952166,28264742958541,6375,8083,2083,97459,107625
0,measured,77,30299,28264746933625,28264746985125,28264746991291,6166,6792,2000,92000,100792
0,measured,78,30299,28264750528166,28264750590250,28264750599708,9458,8583,3875,108917,121375
0,measured,79,30299,28264754186750,28264754240083,28264754246583,6500,7666,2292,89750,99708
0,measured,80,30299,28264757906833,28264757960875,28264757967375,6500,7708,2542,90500,100750
0,measured,81,30299,28264761659125,28264761710541,28264761716791,6250,7417,1875,89250,98542
0,measured,82,30299,28264765367041,28264765421125,28264765427750,6625,7709,2958,90042,100709
0,measured,83,30299,28264769162791,28264769215625,28264769222000,6375,7666,2459,89666,99791
1,calibration,0,30305,28271920319291,28271924738708,28271924746750,8042,525792,26625,3952333,4504750
1,calibration,1,30305,28271924975625,28271925080708,28271925087083,6375,30375,9666,133042,173083
1,calibration,2,30305,28271925178708,28271925263083,28271925269875,6792,12792,4333,133125,150250
1,calibration,3,30305,28271925344875,28271925431791,28271925438500,6709,13500,3167,133250,149917
1,calibration,4,30305,28271925524208,28271925614250,28271925620750,6500,15417,4791,133167,153375
1,calibration,5,30305,28271925707625,28271925788083,28271925794250,6167,15250,5167,119750,140167
1,calibration,6,30305,28271925866625,28271925947791,28271925954375,6584,9917,3250,132583,145750
1,calibration,7,30305,28271926030708,28271926113541,28271926120333,6792,8042,3125,141375,152542
1,calibration,8,30305,28271926198125,28271926282458,28271926288833,6375,8542,3208,148625,160375
1,calibration,9,30305,28271926371583,28271926429166,28271926435125,5959,8250,2750,319375,330375
1,measured,0,30305,28271931064291,28271931149250,28271931156041,6791,8333,2417,148917,159667
1,measured,1,30305,28271935457458,28271935529916,28271935536375,6459,9792,2791,129375,141958
1,measured,2,30305,28271940090375,28271940144750,28271940151208,6458,7417,2250,129583,139250
1,measured,3,30305,28271944494000,28271944568708,28271944575166,6458,8500,2875,125875,137250
1,measured,4,30305,28271948949375,28271949014291,28271949020791,6500,8459,2041,117750,128250
1,measured,5,30305,28271953259125,28271953323791,28271953330333,6542,8959,2291,109209,120459
1,measured,6,30305,28271957459666,28271957521583,28271957533500,11917,10500,1916,128292,140708
1,measured,7,30305,28271961662541,28271961726500,28271961732833,6333,7291,2417,108042,117750
1,measured,8,30305,28271965758250,28271965824416,28271965831041,6625,7291,2542,107542,117375
1,measured,9,30305,28271969921333,28271969985458,28271969991875,6417,7750,2375,104583,114708
1,measured,10,30305,28271973873250,28271973937041,28271973943375,6334,6250,2250,110542,119042
1,measured,11,30305,28271978015625,28271978090833,28271978097083,6250,9292,3042,118166,130500
1,measured,12,30305,28271982105000,28271982187958,28271982194458,6500,8250,2583,159250,170083
1,measured,13,30305,28271986112583,28271986172791,28271986179333,6542,6958,1959,104416,113333
1,measured,14,30305,28271990134041,28271990196583,28271990202875,6292,6292,2000,105791,114083
1,measured,15,30305,28271994197666,28271994262166,28271994268250,6084,7291,2375,108334,118000
1,measured,16,30305,28271998374583,28271998441750,28271998448291,6541,9042,2833,106833,118708
1,measured,17,30305,28272002618041,28272002682875,28272002689375,6500,8000,2375,106959,117334
1,measured,18,30305,28272006590166,28272006652625,28272006659291,6666,7917,2125,102833,112875
1,measured,19,30305,28272010578833,28272010641791,28272010648083,6292,6709,2166,112917,121792
1,measured,20,30305,28272014697083,28272014759583,28272014766083,6500,8292,2292,104208,114792
1,measured,21,30305,28272018803666,28272018867125,28272018873791,6666,8584,2291,105709,116584
1,measured,22,30305,28272022639916,28272022699458,28272022823583,124125,6792,2375,234000,243167
1,measured,23,30305,28272026971583,28272027036208,28272027042416,6208,8584,2708,107125,118417
1,measured,24,30305,28272031063416,28272031136666,28272031143250,6584,7667,2083,121125,130875
1,measured,25,30305,28272035294458,28272035359666,28272035366208,6542,8542,2458,112042,123042
1,measured,26,30305,28272039358125,28272039429583,28272039435958,6375,9458,2459,116500,128417
1,measured,27,30305,28272043532083,28272043594875,28272043601125,6250,6083,2167,104416,112666
1,measured,28,30305,28272047265666,28272047317791,28272047324333,6542,7209,2166,91250,100625
1,measured,29,30305,28272050894083,28272050945000,28272050951541,6541,6583,1958,92084,100625
1,measured,30,30305,28272054497333,28272054547541,28272054553750,6209,7042,2333,96875,106250
1,measured,31,30305,28272058360791,28272058422291,28272058428375,6084,7084,2125,110125,119334
1,measured,32,30305,28272062091166,28272062130625,28272062455166,324541,7917,2417,413958,424292
1,measured,33,30305,28272065957958,28272066012083,28272066018708,6625,6542,2500,94250,103292
1,measured,34,30305,28272069847625,28272069900958,28272069907416,6458,7584,2708,88750,99042
1,measured,35,30305,28272073286541,28272073329833,28272073505250,175417,6666,2250,258959,267875
1,measured,36,30305,28272077190541,28272077248833,28272077255208,6375,7541,6834,89750,104125
1,measured,37,30305,28272080965500,28272081015875,28272081022416,6541,6292,1916,91792,100000
1,measured,38,30305,28272084614791,28272084665458,28272084672541,7083,6416,1875,103334,111625
1,measured,39,30305,28272088170166,28272088221250,28272088227416,6166,6333,1958,91292,99583
1,measured,40,30305,28272092082416,28272092139333,28272092159625,20292,7750,2584,118458,128792
1,measured,41,30305,28272096025291,28272096083166,28272096089708,6542,9375,2834,89333,101542
1,measured,42,30305,28272099641250,28272099692833,28272099699416,6583,6708,2334,92125,101167
1,measured,43,30305,28272103341875,28272103395250,28272103401583,6333,8166,2500,90875,101541
1,measured,44,30305,28272106928041,28272106978208,28272106984958,6750,6166,2125,92250,100541
1,measured,45,30305,28272110548375,28272110602291,28272110608833,6542,8000,2375,85250,95625
1,measured,46,30305,28272114388041,28272114444583,28272114451500,6917,6542,2000,108166,116708
1,measured,47,30305,28272118022791,28272118081458,28272118087750,6292,9000,2875,96041,107916
1,measured,48,30305,28272121583166,28272121637083,28272121643458,6375,7083,2500,89000,98583
1,measured,49,30305,28272125632375,28272125684583,28272125691208,6625,6500,2375,92916,101791
1,measured,50,30305,28272129470958,28272129522375,28272129529125,6750,6709,2125,90583,99417
1,measured,51,30305,28272132984708,28272133041791,28272133048166,6375,8500,3000,94875,106375
1,measured,52,30305,28272136922000,28272136972708,28272136979208,6500,6208,1959,90541,98708
1,measured,53,30305,28272140529500,28272140580333,28272140586791,6458,6500,1875,83625,92000
1,measured,54,30305,28272144424958,28272144474708,28272144481041,6333,6125,2042,89625,97792
1,measured,55,30305,28272148043666,28272148094541,28272148100791,6250,7291,2209,87583,97083
1,measured,56,30305,28272151800875,28272151851791,28272151858333,6542,6083,2042,81167,89292
1,measured,57,30305,28272155020958,28272155068541,28272155074958,6417,5667,2000,74750,82417
1,measured,58,30305,28272158520125,28272158557916,28272158567083,9167,5750,2292,86583,94625
1,measured,59,30305,28272161887500,28272161940416,28272161946750,6334,7917,2500,82708,93125
1,measured,60,30305,28272165304166,28272165355625,28272165362250,6625,6500,2000,86708,95208
1,measured,61,30305,28272169066041,28272169117708,28272169124166,6458,7583,2417,92458,102458
