# IOReport telemetry  interval=100ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T214621-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T214621-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:46:22    835 mW   1737 mW      0 mW   1031 mW   1155 mW   1422 mW     71 mW    311 mW      0 mW      0 mW      0 mW
  21:46:22    919 mW   3329 mW      0 mW   1167 mW   1293 mW   1657 mW     82 mW    334 mW      4 mW      4 mW      0 mW
  21:46:22    752 mW   3349 mW      0 mW   1115 mW   1281 mW   1675 mW     66 mW    328 mW      0 mW      0 mW      0 mW
  21:46:23    895 mW   3368 mW      0 mW   1191 mW   1361 mW   1713 mW     74 mW    330 mW      4 mW      4 mW      0 mW
  21:46:23    855 mW   8195 mW      0 mW   1655 mW   1855 mW   2203 mW     76 mW    334 mW      4 mW      0 mW      0 mW
  21:46:23    881 mW   6553 mW      0 mW   1359 mW   1609 mW   1968 mW     76 mW    329 mW      0 mW      4 mW      0 mW
  21:46:23    866 mW   7094 mW      0 mW   1421 mW   1691 mW   2055 mW     76 mW    331 mW      4 mW      0 mW      0 mW
  21:46:24    875 mW   7898 mW      0 mW   1467 mW   1714 mW   2103 mW     75 mW    322 mW      0 mW      4 mW      0 mW
  21:46:24    921 mW   7616 mW      0 mW   1408 mW   1675 mW   2074 mW     75 mW    328 mW      4 mW      0 mW      0 mW
  21:46:24    709 mW   7616 mW      0 mW   1410 mW   1717 mW   2103 mW     68 mW    333 mW      0 mW      4 mW      0 mW
  21:46:24    900 mW   3756 mW      0 mW   1202 mW   1454 mW   1748 mW     73 mW    332 mW      4 mW      0 mW      0 mW
  21:46:25    876 mW   3248 mW      0 mW   1171 mW   1404 mW   1618 mW     78 mW    321 mW      0 mW      4 mW      0 mW
  21:46:25    910 mW   3945 mW      0 mW   1407 mW   1682 mW   1839 mW     78 mW    331 mW      4 mW      0 mW      0 mW
  21:46:25    917 mW   3030 mW      0 mW   1167 mW   1420 mW   1636 mW     76 mW    330 mW      0 mW      4 mW      0 mW
  21:46:25    947 mW   3441 mW      0 mW   1219 mW   1452 mW   1658 mW     83 mW    330 mW      4 mW      0 mW      0 mW
  21:46:26    860 mW   2858 mW      0 mW   1155 mW   1374 mW   1597 mW     76 mW    329 mW      0 mW      4 mW      0 mW
  21:46:26    729 mW   2900 mW      0 mW    996 mW   1179 mW   1410 mW     62 mW    326 mW      4 mW      4 mW      0 mW
  21:46:26    884 mW   2969 mW      0 mW   1106 mW   1205 mW   1433 mW     73 mW    331 mW      0 mW      0 mW      0 mW
  21:46:27    892 mW   3202 mW      0 mW   1154 mW   1272 mW   1445 mW     81 mW    335 mW      4 mW      4 mW      0 mW
  21:46:27    914 mW   2923 mW      0 mW   1178 mW   1290 mW   1611 mW     75 mW    332 mW      4 mW      0 mW      0 mW
  21:46:27    882 mW   2906 mW      0 mW   1142 mW   1356 mW   1577 mW     79 mW    322 mW      0 mW      4 mW      0 mW
  21:46:27    914 mW   3071 mW      0 mW   1193 mW   1433 mW   1687 mW     75 mW    333 mW      4 mW      0 mW      0 mW
  21:46:28    813 mW   3278 mW      0 mW   1222 mW   1499 mW   1728 mW     74 mW    329 mW      0 mW      4 mW      0 mW
