iso_ts,monotonic_ns,window_s,gpu_power_mw,cpu_power_mw,ane_power_mw,dram_power_mw,amcc_power_mw,dcs_power_mw,afr_power_mw,disp_power_mw,isp_power_mw,ave_power_mw,gpu_sram_power_mw,gpu_energy_nj,cpu_energy_nj,ane_energy_nj,dram_energy_nj,amcc_energy_nj,dcs_energy_nj,afr_energy_nj,disp_energy_nj,isp_energy_nj,ave_energy_nj,gpu_sram_energy_nj
2026-04-28T21:46:22.170251,28257175536375,0.225079,835.204,1737.167,0.0,1030.749,1155.15,1421.723,71.086,311.002,0.0,0.0,0.0,187987013,391000000,0,232000000,260000000,320000000,16000000,70000000,0,0,0
2026-04-28T21:46:22.439397,28257444681208,0.269148,918.699,3329.017,0.0,1166.642,1292.967,1657.078,81.739,334.388,3.715,3.715,0.0,247266457,896000000,0,314000000,348000000,446000000,22000000,90000000,1000000,1000000,0
2026-04-28T21:46:22.711097,28257716381000,0.271701,752.323,3349.272,0.0,1115.197,1280.82,1674.636,66.249,327.566,0.0,0.0,0.0,204406875,910000000,0,303000000,348000000,455000000,18000000,89000000,0,0,0
2026-04-28T21:46:22.980720,28257986006291,0.269624,895.262,3367.655,0.0,1190.548,1361.156,1713.498,74.177,330.09,3.709,3.709,0.0,241384007,908000000,0,321000000,367000000,462000000,20000000,89000000,1000000,1000000,0
2026-04-28T21:46:23.256263,28258261548458,0.275544,854.891,8194.69,0.0,1654.906,1854.511,2202.913,76.213,333.885,3.629,0.0,0.0,235560419,2258000000,0,456000000,511000000,607000000,21000000,92000000,1000000,0,0
2026-04-28T21:46:23.520434,28258525720791,0.264172,880.895,6552.554,0.0,1358.964,1608.802,1968.416,75.708,329.331,0.0,3.785,0.0,232707608,1731000000,0,359000000,425000000,520000000,20000000,87000000,0,1000000,0
2026-04-28T21:46:23.783630,28258788918541,0.263197,865.851,7093.543,0.0,1420.988,1690.748,2055.494,75.989,330.551,3.799,0.0,0.0,227889598,1867000000,0,374000000,445000000,541000000,20000000,87000000,1000000,0,0
2026-04-28T21:46:24.050913,28259056204125,0.267285,875.11,7897.944,0.0,1466.601,1713.528,2102.627,74.827,321.754,0.0,3.741,0.0,233903426,2111000000,0,392000000,458000000,562000000,20000000,86000000,0,1000000,0
2026-04-28T21:46:24.316551,28259321843708,0.265639,921.301,7615.589,0.0,1407.924,1675.204,2074.241,75.29,327.512,3.765,0.0,0.0,244733807,2023000000,0,374000000,445000000,551000000,20000000,87000000,1000000,0,0
2026-04-28T21:46:24.580997,28259586289750,0.264446,708.602,7615.923,0.0,1410.496,1716.797,2102.509,68.067,332.771,0.0,3.781,0.0,187386840,2014000000,0,373000000,454000000,556000000,18000000,88000000,0,1000000,0
2026-04-28T21:46:24.842953,28259848248250,0.261958,899.566,3756.326,0.0,1202.482,1454.431,1748.371,72.531,332.114,3.817,0.0,0.0,235648745,984000000,0,315000000,381000000,458000000,19000000,87000000,1000000,0,0
2026-04-28T21:46:25.113616,28260118911083,0.270663,876.32,3247.576,0.0,1171.197,1403.958,1618.246,77.587,321.432,0.0,3.695,0.0,237187781,879000000,0,317000000,380000000,438000000,21000000,87000000,0,1000000,0
2026-04-28T21:46:25.382286,28260387580166,0.268671,910.38,3945.343,0.0,1406.924,1682.354,1838.679,78.162,331.26,3.722,0.0,0.0,244593023,1060000000,0,378000000,452000000,494000000,21000000,89000000,1000000,0,0
2026-04-28T21:46:25.646284,28260651581333,0.263999,916.699,3030.314,0.0,1166.671,1420.459,1636.369,75.758,329.547,0.0,3.788,0.0,242007729,800000000,0,308000000,375000000,432000000,20000000,87000000,0,1000000,0
2026-04-28T21:46:25.912796,28260918092875,0.266514,946.782,3440.718,0.0,1219.447,1452.08,1658.448,82.547,330.189,3.752,0.0,0.0,252330742,917000000,0,325000000,387000000,442000000,22000000,88000000,1000000,0,0
2026-04-28T21:46:26.176960,28261182258083,0.264165,860.229,2858.065,0.0,1154.583,1374.143,1597.488,75.71,329.34,0.0,3.786,0.0,227242058,755000000,0,305000000,363000000,422000000,20000000,87000000,0,1000000,0
2026-04-28T21:46:26.450048,28261455346000,0.273089,728.682,2900.158,0.0,996.014,1179.105,1409.799,62.251,325.902,3.662,3.662,0.0,198994732,792000000,0,272000000,322000000,385000000,17000000,89000000,1000000,1000000,0
2026-04-28T21:46:26.722158,28261727459333,0.272111,883.806,2969.372,0.0,1106.165,1205.389,1433.237,73.499,330.747,0.0,0.0,0.0,240493627,808000000,0,301000000,328000000,390000000,20000000,90000000,0,0,0
2026-04-28T21:46:26.994168,28261999470250,0.272011,892.038,3202.081,0.0,1154.367,1272.009,1444.797,80.879,334.546,3.676,3.676,0.0,242643793,871000000,0,314000000,346000000,393000000,22000000,91000000,1000000,1000000,0
2026-04-28T21:46:27.262413,28262267716000,0.26824,914.411,2922.761,0.0,1178.052,1289.892,1610.501,74.56,331.793,3.728,0.0,0.0,245281202,784000000,0,316000000,346000000,432000000,20000000,89000000,1000000,0,0
2026-04-28T21:46:27.529413,28262534716333,0.267008,881.597,2906.275,0.0,1142.286,1355.763,1576.729,78.649,322.087,0.0,3.745,0.0,235393806,776000000,0,305000000,362000000,421000000,21000000,86000000,0,1000000,0
2026-04-28T21:46:27.796710,28262802014916,0.267298,913.989,3071.48,0.0,1193.425,1432.859,1687.256,74.823,332.962,3.741,0.0,0.0,244307401,821000000,0,319000000,383000000,451000000,20000000,89000000,1000000,0,0
2026-04-28T21:46:28.067603,28263072907791,0.270894,812.782,3278.035,0.0,1221.88,1498.741,1727.613,73.83,328.542,0.0,3.691,0.0,220177673,888000000,0,331000000,406000000,468000000,20000000,89000000,0,1000000,0
2026-04-28T21:46:28.340921,28263346227666,0.273319,836.587,2937.955,0.0,1097.617,1262.26,1533.005,69.516,325.626,3.659,0.0,0.0,228655302,803000000,0,300000000,345000000,419000000,19000000,89000000,1000000,0,0
2026-04-28T21:46:28.611894,28263617203875,0.270973,914.078,2845.298,0.0,1136.643,1369.138,1542.587,77.498,332.136,0.0,3.69,0.0,247690707,771000000,0,308000000,371000000,418000000,21000000,90000000,0,1000000,0
2026-04-28T21:46:28.879044,28263884354750,0.267152,895.92,3402.558,0.0,1186.591,1325.089,1654.489,82.35,333.144,3.743,0.0,0.0,239346772,909000000,0,317000000,354000000,442000000,22000000,89000000,1000000,0,0
2026-04-28T21:46:29.156532,28264161841875,0.277488,923.198,3153.284,0.0,1106.352,1355.011,1596.463,75.679,320.734,0.0,3.604,0.0,256176858,875000000,0,307000000,376000000,443000000,21000000,89000000,0,1000000,0
2026-04-28T21:46:29.428550,28264433863958,0.272019,953.903,2819.658,0.0,1135.951,1268.295,1577.097,80.877,334.536,3.676,0.0,0.0,259479646,767000000,0,309000000,345000000,429000000,22000000,91000000,1000000,0,0
2026-04-28T21:46:29.697619,28264702930083,0.269071,1075.476,3545.536,0.0,1248.742,1438.283,1843.381,85.479,334.485,0.0,3.716,0.0,289379141,954000000,0,336000000,387000000,496000000,23000000,90000000,0,1000000,0
2026-04-28T21:46:29.964299,28264969613000,0.266681,878.295,6310.917,0.0,1289.932,1563.667,1953.647,78.746,329.983,3.75,3.75,0.0,234224285,1683000000,0,344000000,417000000,521000000,21000000,88000000,1000000,1000000,0
2026-04-28T21:46:30.239234,28265244549750,0.274937,887.135,2989.777,0.0,1069.336,1302.117,1571.27,72.744,320.073,3.637,0.0,0.0,243906080,822000000,0,294000000,358000000,432000000,20000000,88000000,1000000,0,0
2026-04-28T21:46:30.504697,28265510014333,0.265464,930.622,3122.833,0.0,1235.572,1416.387,1661.241,82.874,339.029,0.0,3.767,0.0,247046675,829000000,0,328000000,376000000,441000000,22000000,90000000,0,1000000,0
2026-04-28T21:46:30.771190,28265776507916,0.266494,925.791,3088.252,0.0,1219.541,1388.4,1606.041,78.801,326.462,3.752,0.0,0.0,246717601,823000000,0,325000000,370000000,428000000,21000000,87000000,1000000,0,0
2026-04-28T21:46:31.040129,28266045446291,0.26894,916.716,2956.055,0.0,1178.704,1342.309,1550.535,78.084,323.493,0.0,3.718,0.0,246541067,795000000,0,317000000,361000000,417000000,21000000,87000000,0,1000000,0
2026-04-28T21:46:31.306410,28266311730416,0.266282,953.263,2861.623,0.0,1126.623,1273.084,1532.208,82.619,334.232,3.755,0.0,0.0,253837325,762000000,0,300000000,339000000,408000000,22000000,89000000,1000000,0,0
2026-04-28T21:46:31.576978,28266582297666,0.270569,918.963,3171.096,0.0,1167.909,1315.746,1522.717,77.614,321.545,0.0,3.696,0.0,248642805,858000000,0,316000000,356000000,412000000,21000000,87000000,0,1000000,0
2026-04-28T21:46:31.841646,28266846964375,0.26467,809.057,3022.629,0.0,1110.816,1299.731,1579.324,68.009,336.267,3.778,0.0,0.0,214133424,800000000,0,294000000,344000000,418000000,18000000,89000000,1000000,0,0
2026-04-28T21:46:32.109450,28267114772916,0.267804,849.062,7621.257,0.0,1362.939,1564.58,1799.827,74.682,324.865,0.0,3.734,0.0,227381925,2041000000,0,365000000,419000000,482000000,20000000,87000000,0,1000000,0
2026-04-28T21:46:32.378774,28267384099291,0.269325,889.493,3319.414,0.0,1229.0,1403.511,1763.671,77.973,323.03,3.713,0.0,0.0,239562458,894000000,0,331000000,378000000,475000000,21000000,87000000,1000000,0,0
2026-04-28T21:46:32.651348,28267656672833,0.272576,896.395,2872.59,0.0,1100.609,1265.7,1482.154,77.043,330.183,0.0,3.669,0.0,244336174,783000000,0,300000000,345000000,404000000,21000000,90000000,0,1000000,0
2026-04-28T21:46:32.935380,28267940705583,0.284033,943.028,2890.513,0.0,1109.028,1253.377,1510.39,80.977,313.344,3.521,0.0,0.0,267850741,821000000,0,315000000,356000000,429000000,23000000,89000000,1000000,0,0
2026-04-28T21:46:33.204881,28268210208791,0.269503,983.173,2901.64,0.0,1194.793,1417.425,1614.084,81.632,348.791,0.0,3.711,0.0,264967705,782000000,0,322000000,382000000,435000000,22000000,94000000,0,1000000,0
2026-04-28T21:46:33.477402,28268482731375,0.272523,796.546,2832.791,0.0,1060.462,1207.239,1460.429,73.388,322.909,3.669,3.669,0.0,217076794,772000000,0,289000000,329000000,398000000,20000000,88000000,1000000,1000000,0
2026-04-28T21:46:33.748787,28268754116000,0.271385,775.185,2999.429,0.0,1134.919,1326.529,1543.932,66.326,331.632,3.685,0.0,0.0,210373654,814000000,0,308000000,360000000,419000000,18000000,90000000,1000000,0,0
2026-04-28T21:46:34.018129,28269023461208,0.269344,921.939,3218.935,0.0,1210.349,1425.688,1637.313,81.68,330.433,0.0,3.713,0.0,248318375,867000000,0,326000000,384000000,441000000,22000000,89000000,0,1000000,0
2026-04-28T21:46:34.293852,28269299182958,0.275723,914.0,2767.269,0.0,1142.451,1389.075,1595.804,76.163,319.161,3.627,0.0,0.0,252010938,763000000,0,315000000,383000000,440000000,21000000,88000000,1000000,0,0
2026-04-28T21:46:34.565194,28269570526583,0.271344,893.137,3051.478,0.0,1179.315,1319.359,1525.739,81.078,335.368,0.0,3.685,0.0,242347332,828000000,0,320000000,358000000,414000000,22000000,91000000,0,1000000,0
2026-04-28T21:46:34.840030,28269845365875,0.274838,911.145,3103.652,0.0,1233.456,1371.72,1684.632,76.409,327.466,3.639,0.0,0.0,250416809,853000000,0,339000000,377000000,463000000,21000000,90000000,1000000,0,0
2026-04-28T21:46:35.105304,28270110638541,0.265275,883.633,2974.273,0.0,1187.447,1402.319,1654.887,79.163,335.501,0.0,3.77,0.0,234405784,789000000,0,315000000,372000000,439000000,21000000,89000000,0,1000000,0
