# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/012-gpuph-vs-powermetrics-mhz/raw/20260428T221203-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/012-gpuph-vs-powermetrics-mhz/raw/20260428T221203-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  22:12:04    136 mW   1314 mW      0 mW    546 mW    666 mW    700 mW      8 mW    317 mW      0 mW      3 mW      0 mW
  22:12:04    112 mW   2264 mW      0 mW    600 mW    761 mW    937 mW      9 mW    317 mW      2 mW      2 mW      0 mW
  22:12:05     89 mW   2170 mW      0 mW    608 mW    872 mW    948 mW      7 mW    331 mW      2 mW      2 mW      0 mW
  22:12:05    129 mW   2346 mW      0 mW    623 mW    835 mW   1026 mW      9 mW    331 mW      2 mW      2 mW      0 mW
  22:12:06    105 mW   2183 mW      0 mW    562 mW    798 mW    942 mW      7 mW    326 mW      2 mW      2 mW      0 mW
  22:12:06    134 mW   2414 mW      0 mW    577 mW    777 mW    933 mW     12 mW    328 mW      2 mW      2 mW      0 mW
  22:12:07    103 mW   3739 mW      0 mW    746 mW   1131 mW   1417 mW      7 mW    321 mW      2 mW      0 mW      0 mW
  22:12:07    146 mW   5524 mW      0 mW    883 mW   1488 mW   1719 mW     11 mW    322 mW      2 mW      2 mW      0 mW
  22:12:07    123 mW   2200 mW      0 mW    588 mW    847 mW    929 mW      9 mW    341 mW      0 mW      2 mW      0 mW
  22:12:08    108 mW   2167 mW      0 mW    526 mW    767 mW    869 mW      7 mW    333 mW      2 mW      2 mW      0 mW
  22:12:08    125 mW   2270 mW      0 mW    604 mW    891 mW   1036 mW      9 mW    320 mW      2 mW      2 mW      0 mW
  22:12:09    129 mW   2242 mW      0 mW    615 mW    829 mW   1043 mW     12 mW    326 mW      2 mW      2 mW      0 mW
  22:12:09    130 mW   2294 mW      0 mW    539 mW    796 mW    786 mW      9 mW    328 mW      2 mW      2 mW      0 mW
  22:12:10    103 mW   2159 mW      0 mW    550 mW    761 mW    952 mW      7 mW    324 mW      2 mW      0 mW      0 mW
  22:12:10    138 mW   2105 mW      0 mW    577 mW    793 mW    993 mW      9 mW    329 mW      2 mW      2 mW      0 mW
