# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/013-pwrctrl-recipe-sweep/raw/20260428T222216.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/013-pwrctrl-recipe-sweep/raw/20260428T222216-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  22:22:17    134 mW    722 mW      0 mW    410 mW    663 mW    684 mW     10 mW    310 mW      3 mW      0 mW      0 mW
  22:22:18    126 mW   1840 mW      0 mW    491 mW    777 mW    880 mW      9 mW    311 mW      0 mW      2 mW      0 mW
  22:22:18    143 mW   1888 mW      0 mW    509 mW    779 mW    847 mW      9 mW    335 mW      2 mW      2 mW      0 mW
  22:22:18    105 mW   2325 mW      0 mW    611 mW    918 mW    987 mW      9 mW    321 mW      2 mW      2 mW      0 mW
  22:22:19    125 mW   2496 mW      0 mW    571 mW    897 mW    925 mW      9 mW    317 mW      2 mW      2 mW      0 mW
  22:22:19    120 mW   2007 mW      0 mW    524 mW    754 mW    888 mW      9 mW    323 mW      2 mW      2 mW      0 mW
  22:22:20    102 mW   2231 mW      0 mW    553 mW    765 mW    898 mW      7 mW    312 mW      2 mW      2 mW      0 mW
  22:22:20    107 mW   1861 mW      0 mW    530 mW    682 mW    951 mW      9 mW    318 mW      2 mW      0 mW      0 mW
  22:22:21    138 mW   1887 mW      0 mW    505 mW    717 mW    918 mW     12 mW    323 mW      2 mW      2 mW      0 mW
  22:22:21    115 mW   1747 mW      0 mW    506 mW    826 mW   1008 mW      7 mW    324 mW      0 mW      2 mW      0 mW
  22:22:21    117 mW   1783 mW      0 mW    474 mW    714 mW    828 mW      9 mW    325 mW      2 mW      2 mW      0 mW
  22:22:22    107 mW   1902 mW      0 mW    481 mW    707 mW    883 mW      7 mW    315 mW      2 mW      2 mW      0 mW
  22:22:22    143 mW   1770 mW      0 mW    440 mW    648 mW    718 mW     12 mW    325 mW      2 mW      2 mW      0 mW
  22:22:23    109 mW   1925 mW      0 mW    467 mW    693 mW    769 mW      9 mW    322 mW      2 mW      2 mW      0 mW
  22:22:23    649 mW   3342 mW      0 mW    743 mW   1262 mW   1713 mW     45 mW    329 mW      2 mW      0 mW      0 mW
  22:22:24    489 mW   4306 mW      0 mW    772 mW   1359 mW   1829 mW     54 mW    318 mW      2 mW      2 mW      0 mW
  22:22:24    609 mW   4150 mW      0 mW    765 mW   1372 mW   1829 mW     60 mW    322 mW      0 mW      2 mW      0 mW
  22:22:24    375 mW   4621 mW      0 mW    806 mW   1396 mW   1872 mW     40 mW    323 mW      2 mW      2 mW      0 mW
  22:22:25    555 mW   4098 mW      0 mW    763 mW   1386 mW   1823 mW     42 mW    318 mW      2 mW      2 mW      0 mW
  22:22:25    465 mW   4047 mW      0 mW    750 mW   1351 mW   1814 mW     49 mW    320 mW      2 mW      2 mW      0 mW
  22:22:26    473 mW   4117 mW      0 mW    735 mW   1320 mW   1820 mW     46 mW    318 mW      2 mW      2 mW      0 mW
  22:22:26    462 mW   3772 mW      0 mW    659 mW   1230 mW   1731 mW     48 mW    310 mW      2 mW      0 mW      0 mW
  22:22:27    505 mW   4424 mW      0 mW    790 mW   1435 mW   1914 mW     49 mW    336 mW      2 mW      2 mW      0 mW
  22:22:27    651 mW   4164 mW      0 mW    729 mW   1359 mW   1802 mW     62 mW    317 mW      0 mW      2 mW      0 mW
  22:22:27    419 mW   4015 mW      0 mW    728 mW   1324 mW   1824 mW     44 mW    321 mW      2 mW      2 mW      0 mW
  22:22:28    533 mW   3994 mW      0 mW    730 mW   1312 mW   1811 mW     41 mW    324 mW      2 mW      2 mW      0 mW
  22:22:28    828 mW   3608 mW      0 mW    733 mW   1305 mW   1824 mW     72 mW    320 mW      2 mW      2 mW      0 mW
  22:22:29    394 mW   4871 mW      0 mW    753 mW   1330 mW   1830 mW     33 mW    323 mW      2 mW      2 mW      0 mW
  22:22:29    835 mW   3489 mW      0 mW    689 mW   1283 mW   1805 mW     72 mW    319 mW      2 mW      0 mW      0 mW
  22:22:30    883 mW   3701 mW      0 mW    726 mW   1311 mW   1831 mW     72 mW    326 mW      2 mW      2 mW      0 mW
  22:22:30   1086 mW   3152 mW      0 mW    647 mW   1278 mW   1770 mW     88 mW    320 mW      0 mW      2 mW      0 mW
  22:22:30    985 mW   3330 mW      0 mW    687 mW   1291 mW   1790 mW     87 mW    319 mW      2 mW      2 mW      0 mW
  22:22:31   1020 mW   3143 mW      0 mW    660 mW   1296 mW   1811 mW     81 mW    329 mW      2 mW      2 mW      0 mW
  22:22:31    973 mW   3241 mW      0 mW    666 mW   1291 mW   1797 mW     80 mW    320 mW      2 mW      2 mW      0 mW
  22:22:32    813 mW   4000 mW      0 mW    723 mW   1328 mW   1818 mW     71 mW    323 mW      2 mW      0 mW      0 mW
  22:22:32    934 mW   3345 mW      0 mW    742 mW   1361 mW   1805 mW     73 mW    317 mW      2 mW      2 mW      0 mW
  22:22:32    810 mW   3550 mW      0 mW    757 mW   1365 mW   1846 mW     67 mW    324 mW      0 mW      2 mW      0 mW
  22:22:33    559 mW   2975 mW      0 mW    639 mW   1256 mW   1741 mW     52 mW    324 mW      2 mW      2 mW      0 mW
  22:22:33    393 mW   2631 mW      0 mW    628 mW   1120 mW   1499 mW     29 mW    318 mW      2 mW      2 mW      0 mW
  22:22:34    380 mW   2379 mW      0 mW    518 mW    921 mW   1172 mW     30 mW    315 mW      2 mW      2 mW      0 mW
  22:22:34    364 mW   2250 mW      0 mW    493 mW    858 mW   1175 mW     28 mW    322 mW      2 mW      2 mW      0 mW
  22:22:35    371 mW   2420 mW      0 mW    526 mW    889 mW   1247 mW     30 mW    319 mW      2 mW      0 mW      0 mW
  22:22:35    379 mW   2523 mW      0 mW    593 mW   1033 mW   1369 mW     29 mW    328 mW      2 mW      2 mW      0 mW
  22:22:35    384 mW   2556 mW      0 mW    618 mW   1014 mW   1418 mW     30 mW    319 mW      0 mW      2 mW      0 mW
  22:22:36    357 mW   2395 mW      0 mW    550 mW    986 mW   1258 mW     28 mW    321 mW      2 mW      2 mW      0 mW
  22:22:36    357 mW   2469 mW      0 mW    624 mW    994 mW   1313 mW     30 mW    310 mW      2 mW      2 mW      0 mW
  22:22:37    380 mW   2388 mW      0 mW    494 mW    862 mW   1136 mW     27 mW    322 mW      2 mW      2 mW      0 mW
  22:22:37    390 mW   2893 mW      0 mW    665 mW   1055 mW   1410 mW     31 mW    337 mW      2 mW      2 mW      0 mW
  22:22:38    363 mW   2670 mW      0 mW    599 mW   1039 mW   1318 mW     29 mW    320 mW      2 mW      0 mW      0 mW
  22:22:38    359 mW   2120 mW      0 mW    466 mW    794 mW   1084 mW     27 mW    305 mW      2 mW      2 mW      0 mW
  22:22:38    377 mW   1944 mW      0 mW    540 mW    778 mW   1043 mW     32 mW    332 mW      0 mW      2 mW      0 mW
  22:22:39    346 mW   1646 mW      0 mW    404 mW    665 mW    847 mW     28 mW    322 mW      2 mW      2 mW      0 mW
  22:22:39    376 mW   1782 mW      0 mW    450 mW    799 mW    918 mW     28 mW    326 mW      2 mW      2 mW      0 mW
  22:22:40    342 mW   1704 mW      0 mW    404 mW    685 mW    824 mW     27 mW    308 mW      2 mW      2 mW      0 mW
  22:22:40    373 mW   1819 mW      0 mW    466 mW    773 mW    934 mW     30 mW    328 mW      2 mW      2 mW      0 mW
  22:22:41    375 mW   1759 mW      0 mW    469 mW    743 mW   1013 mW     30 mW    331 mW      2 mW      0 mW      0 mW
  22:22:41    386 mW   1720 mW      0 mW    478 mW    834 mW   1040 mW     30 mW    319 mW      2 mW      2 mW      0 mW
  22:22:42    363 mW   1854 mW      0 mW    441 mW    702 mW    900 mW     28 mW    326 mW      0 mW      2 mW      0 mW
  22:22:42    347 mW   1773 mW      0 mW    389 mW    652 mW    725 mW     29 mW    310 mW      2 mW      2 mW      0 mW
  22:22:42    373 mW   1744 mW      0 mW    473 mW    781 mW    995 mW     29 mW    319 mW      2 mW      2 mW      0 mW
  22:22:43    365 mW   1840 mW      0 mW    513 mW    806 mW    944 mW     29 mW    340 mW      2 mW      2 mW      0 mW
  22:22:43    637 mW   3150 mW      0 mW    662 mW   1213 mW   1620 mW     47 mW    325 mW      2 mW      2 mW      0 mW
  22:22:44    715 mW   3814 mW      0 mW    737 mW   1276 mW   1756 mW     68 mW    309 mW      2 mW      2 mW      0 mW
  22:22:44    571 mW   3784 mW      0 mW    705 mW   1299 mW   1850 mW     56 mW    334 mW      2 mW      0 mW      0 mW
  22:22:45    440 mW   3815 mW      0 mW    691 mW   1250 mW   1793 mW     48 mW    324 mW      2 mW      2 mW      0 mW
  22:22:45    411 mW   3734 mW      0 mW    663 mW   1217 mW   1758 mW     28 mW    319 mW      0 mW      2 mW      0 mW
  22:22:45    552 mW   3626 mW      0 mW    667 mW   1216 mW   1740 mW     46 mW    315 mW      2 mW      2 mW      0 mW
  22:22:46    653 mW   3785 mW      0 mW    697 mW   1286 mW   1830 mW     59 mW    331 mW      2 mW      2 mW      0 mW
  22:22:46    678 mW   3658 mW      0 mW    664 mW   1236 mW   1780 mW     61 mW    322 mW      2 mW      2 mW      0 mW
  22:22:47    653 mW   3851 mW      0 mW    693 mW   1261 mW   1790 mW     64 mW    324 mW      2 mW      0 mW      0 mW
  22:22:47    503 mW   4056 mW      0 mW    735 mW   1302 mW   1808 mW     49 mW    318 mW      2 mW      2 mW      0 mW
  22:22:48    405 mW   3736 mW      0 mW    701 mW   1242 mW   1790 mW     31 mW    326 mW      0 mW      2 mW      0 mW
  22:22:48    522 mW   3388 mW      0 mW    645 mW   1212 mW   1752 mW     38 mW    319 mW      2 mW      2 mW      0 mW
  22:22:48    994 mW   3392 mW      0 mW    677 mW   1265 mW   1802 mW     81 mW    323 mW      2 mW      2 mW      0 mW
