iso_ts,monotonic_ns,window_s,gpu_power_mw,cpu_power_mw,ane_power_mw,dram_power_mw,amcc_power_mw,dcs_power_mw,afr_power_mw,disp_power_mw,isp_power_mw,ave_power_mw,gpu_sram_power_mw,gpu_energy_nj,cpu_energy_nj,ane_energy_nj,dram_energy_nj,amcc_energy_nj,dcs_energy_nj,afr_energy_nj,disp_energy_nj,isp_energy_nj,ave_energy_nj,gpu_sram_energy_nj
2026-04-28T22:22:17.542765,29980325052625,0.387582,134.479,722.427,0.0,410.235,663.085,683.726,10.32,309.612,2.58,0.0,0.0,52121521,280000000,0,159000000,257000000,265000000,4000000,120000000,1000000,0,0
2026-04-28T22:22:17.986833,29980769122916,0.444076,125.863,1839.776,0.0,490.907,776.894,880.48,9.007,310.758,0.0,2.252,0.0,55892576,817000000,0,218000000,345000000,391000000,4000000,138000000,0,1000000,0
2026-04-28T22:22:18.413114,29981195406000,0.426284,143.333,1888.414,0.0,509.051,778.824,846.854,9.383,335.457,2.346,2.346,0.0,61100447,805000000,0,217000000,332000000,361000000,4000000,143000000,1000000,1000000,0
2026-04-28T22:22:18.836683,29981618976708,0.423567,104.805,2325.49,0.0,611.474,918.392,986.858,9.444,321.083,2.361,2.361,0.0,44391784,985000000,0,259000000,389000000,418000000,4000000,136000000,1000000,1000000,0
2026-04-28T22:22:19.269291,29982051586416,0.432616,125.417,2496.442,0.0,570.945,896.87,924.608,9.246,316.678,2.312,2.312,0.0,54257245,1080000000,0,247000000,388000000,400000000,4000000,137000000,1000000,1000000,0
2026-04-28T22:22:19.702793,29982485091041,0.433506,120.118,2006.895,0.0,523.638,754.316,888.109,9.227,322.949,2.307,2.307,0.0,52072029,870000000,0,227000000,327000000,385000000,4000000,140000000,1000000,1000000,0
2026-04-28T22:22:20.131719,29982914020833,0.428928,101.531,2231.143,0.0,552.54,764.697,897.586,6.994,312.407,2.331,2.331,0.0,43549556,957000000,0,237000000,328000000,385000000,3000000,134000000,1000000,1000000,0
2026-04-28T22:22:20.571379,29983353684625,0.439664,106.945,1860.514,0.0,529.951,682.34,950.727,9.098,318.425,2.274,0.0,0.0,47019833,818000000,0,233000000,300000000,418000000,4000000,140000000,1000000,0,0
2026-04-28T22:22:21.004902,29983787208833,0.433526,137.961,1886.855,0.0,505.16,717.374,918.054,11.533,322.934,2.307,2.307,0.0,59809419,818000000,0,219000000,311000000,398000000,5000000,140000000,1000000,1000000,0
2026-04-28T22:22:21.427453,29984209761666,0.422554,115.105,1746.522,0.0,506.444,825.93,1008.155,7.1,324.219,0.0,2.367,0.0,48638287,738000000,0,214000000,349000000,426000000,3000000,137000000,0,1000000,0
2026-04-28T22:22:21.849186,29984631498583,0.421736,117.222,1783.107,0.0,474.231,713.717,827.533,9.485,324.848,2.371,2.371,0.0,49436728,752000000,0,200000000,301000000,349000000,4000000,137000000,1000000,1000000,0
2026-04-28T22:22:22.287572,29985069887708,0.438389,106.926,1902.42,0.0,481.308,707.135,882.778,6.843,314.789,2.281,2.281,0.0,46875195,834000000,0,211000000,310000000,387000000,3000000,138000000,1000000,1000000,0
2026-04-28T22:22:22.715140,29985497460291,0.42757,142.826,1770.469,0.0,439.694,647.847,718.01,11.694,325.093,2.339,2.339,0.0,61068021,757000000,0,188000000,277000000,307000000,5000000,139000000,1000000,1000000,0
2026-04-28T22:22:23.149381,29985931701541,0.434246,108.527,1925.177,0.0,467.477,693.156,769.15,9.211,322.398,2.303,2.303,0.0,47127598,836000000,0,203000000,301000000,334000000,4000000,140000000,1000000,1000000,0
2026-04-28T22:22:23.574876,29986357199708,0.425497,649.417,3341.973,0.0,742.661,1262.053,1713.29,44.654,329.027,2.35,0.0,0.0,276324938,1422000000,0,316000000,537000000,729000000,19000000,140000000,1000000,0,0
2026-04-28T22:22:24.002451,29986784777416,0.427577,489.32,4305.66,0.0,771.791,1358.821,1828.912,53.792,318.072,2.339,2.339,0.0,209222012,1841000000,0,330000000,581000000,782000000,23000000,136000000,1000000,1000000,0
2026-04-28T22:22:24.433792,29987216119750,0.431345,608.947,4149.814,0.0,765.05,1372.453,1829.164,60.277,322.248,0.0,2.318,0.0,262665974,1790000000,0,330000000,592000000,789000000,26000000,139000000,0,1000000,0
2026-04-28T22:22:24.857978,29987640310708,0.424189,375.265,4620.581,0.0,806.244,1395.604,1871.807,40.076,322.969,2.357,2.357,0.0,159183495,1960000000,0,342000000,592000000,794000000,17000000,137000000,1000000,1000000,0
2026-04-28T22:22:25.285236,29988067570083,0.427261,554.661,4098.198,0.0,763.0,1385.57,1823.242,42.129,318.307,2.34,2.34,0.0,236984911,1751000000,0,326000000,592000000,779000000,18000000,136000000,1000000,1000000,0
2026-04-28T22:22:25.715888,29988498226708,0.430655,465.25,4047.324,0.0,750.021,1351.43,1813.517,48.763,320.442,2.322,2.322,0.0,200362033,1743000000,0,323000000,582000000,781000000,21000000,138000000,1000000,1000000,0
2026-04-28T22:22:26.146046,29988928387416,0.430161,473.377,4117.061,0.0,734.608,1320.435,1820.248,46.494,318.485,2.325,2.325,0.0,203628255,1771000000,0,316000000,568000000,783000000,20000000,137000000,1000000,1000000,0
2026-04-28T22:22:26.587464,29989369807750,0.44142,462.442,3771.915,0.0,659.236,1230.12,1730.777,47.574,310.362,2.265,0.0,0.0,204131141,1665000000,0,291000000,543000000,764000000,21000000,137000000,1000000,0,0
2026-04-28T22:22:27.012671,29989795017500,0.42521,504.57,4423.692,0.0,790.197,1434.584,1914.346,49.387,336.304,2.352,2.352,0.0,214548216,1881000000,0,336000000,610000000,814000000,21000000,143000000,1000000,1000000,0
2026-04-28T22:22:27.434908,29990217255916,0.422239,650.511,4163.517,0.0,729.444,1359.419,1802.296,61.576,317.356,0.0,2.368,0.0,274671297,1758000000,0,308000000,574000000,761000000,26000000,134000000,0,1000000,0
2026-04-28T22:22:27.864780,29990647131958,0.429875,419.401,4015.119,0.0,728.118,1323.64,1823.785,44.199,321.023,2.326,2.326,0.0,180290130,1726000000,0,313000000,569000000,784000000,19000000,138000000,1000000,1000000,0
2026-04-28T22:22:28.283951,29991066307250,0.419174,532.945,3993.566,0.0,730.007,1312.103,1810.703,40.556,324.447,2.386,2.386,0.0,223396630,1674000000,0,306000000,550000000,759000000,17000000,136000000,1000000,1000000,0
2026-04-28T22:22:28.712220,29991494576916,0.428272,828.312,3607.523,0.0,733.179,1305.246,1823.609,72.384,319.89,2.335,2.335,0.0,354742418,1545000000,0,314000000,559000000,781000000,31000000,137000000,1000000,1000000,0
2026-04-28T22:22:29.140057,29991922416208,0.42784,394.031,4870.98,0.0,752.618,1329.937,1830.124,32.723,322.551,2.337,2.337,0.0,168582127,2084000000,0,322000000,569000000,783000000,14000000,138000000,1000000,1000000,0
2026-04-28T22:22:29.569438,29992351804500,0.429385,834.643,3488.714,0.0,689.359,1283.232,1804.909,72.196,319.061,2.329,0.0,0.0,358382704,1498000000,0,296000000,551000000,775000000,31000000,137000000,1000000,0,0
2026-04-28T22:22:29.986598,29992768962625,0.417162,883.34,3701.202,0.0,726.337,1311.242,1831.424,71.915,326.013,2.397,2.397,0.0,368495726,1544000000,0,303000000,547000000,764000000,30000000,136000000,1000000,1000000,0
2026-04-28T22:22:30.405343,29993187712541,0.418748,1086.367,3152.253,0.0,647.167,1277.618,1769.56,88.359,320.001,0.0,2.388,0.0,454914244,1320000000,0,271000000,535000000,741000000,37000000,134000000,0,1000000,0
2026-04-28T22:22:30.832049,29993614419916,0.426709,985.33,3330.136,0.0,686.65,1291.277,1790.446,86.71,318.718,2.344,2.344,0.0,420449379,1421000000,0,293000000,551000000,764000000,37000000,136000000,1000000,1000000,0
2026-04-28T22:22:31.251679,29994034052500,0.419632,1020.186,3143.228,0.0,660.102,1296.373,1811.109,81.023,328.859,2.383,2.383,0.0,428102840,1319000000,0,277000000,544000000,760000000,34000000,138000000,1000000,1000000,0
2026-04-28T22:22:31.676816,29994459193625,0.425139,972.551,3241.292,0.0,665.664,1291.342,1797.059,79.974,319.895,2.352,2.352,0.0,413469417,1378000000,0,283000000,549000000,764000000,34000000,136000000,1000000,1000000,0
2026-04-28T22:22:32.101538,29994883917875,0.424726,812.722,4000.226,0.0,722.819,1327.915,1817.643,70.634,322.561,2.354,0.0,0.0,345184017,1699000000,0,307000000,564000000,772000000,30000000,137000000,1000000,0,0
2026-04-28T22:22:32.527575,29995309956583,0.42604,934.152,3344.755,0.0,741.714,1361.374,1804.994,72.763,316.872,2.347,2.347,0.0,397986292,1425000000,0,316000000,580000000,769000000,31000000,135000000,1000000,1000000,0
2026-04-28T22:22:32.943649,29995726033833,0.416077,810.457,3549.828,0.0,757.072,1365.133,1845.814,67.295,324.46,0.0,2.403,0.0,337212087,1477000000,0,315000000,568000000,768000000,28000000,135000000,0,1000000,0
2026-04-28T22:22:33.366490,29996148877916,0.422844,559.137,2975.095,0.0,638.534,1255.783,1740.596,52.029,323.997,2.365,2.365,0.0,236427422,1258000000,0,270000000,531000000,736000000,22000000,137000000,1000000,1000000,0
2026-04-28T22:22:33.785296,29996567696083,0.418809,392.835,2631.273,0.0,627.972,1119.843,1499.492,28.653,317.567,2.388,2.388,0.0,164522717,1102000000,0,263000000,469000000,628000000,12000000,133000000,1000000,1000000,0
2026-04-28T22:22:34.219582,29997001978000,0.43429,379.765,2378.598,0.0,518.088,921.045,1172.029,29.934,315.458,2.303,2.303,0.0,164927963,1033000000,0,225000000,400000000,509000000,13000000,137000000,1000000,1000000,0
2026-04-28T22:22:34.647524,29997429920625,0.427945,363.885,2250.29,0.0,493.054,857.587,1175.385,28.041,322.472,2.337,2.337,0.0,155722574,963000000,0,211000000,367000000,503000000,12000000,138000000,1000000,1000000,0
2026-04-28T22:22:35.077337,29997859739750,0.429815,371.364,2419.644,0.0,525.807,888.754,1247.047,30.246,318.742,2.327,0.0,0.0,159617884,1040000000,0,226000000,382000000,536000000,13000000,137000000,1000000,0,0
