cell_idx,method,n_amp,monotonic_ns_start,monotonic_ns_end,trial_count,p10,p50,p90,p99,min,max
0,internal-loop,1,53166360893666,53166943001500,5000,2167,7125,8000,15250,1792,234417
1,internal-loop,2,53167955522375,53168542880166,5000,2708,8125,8375,14042,2208,230458
2,internal-loop,4,53169555651875,53170182214083,5000,3041,9833,10666,21416,2458,218166
3,internal-loop,8,53171194882791,53171828621958,5000,5834,13958,14708,28917,3917,198333
4,internal-loop,16,53172841343416,53173443787083,5000,3416,5958,13875,16250,3166,198792
5,internal-loop,64,53174456750291,53175152271583,5000,8834,32791,33542,41667,7416,309833
6,internal-loop,256,53176165174125,53177232332166,5000,29041,110584,111417,128417,23958,366625
7,internal-loop,1024,53178245159916,53180570051000,5000,103958,421750,422417,440791,90625,625208
8,back-to-back,1,53181582201041,53182181770375,5000,2250,7125,7917,16625,1833,215417
9,back-to-back,2,53183194571875,53183855411125,5000,3500,10417,11292,25042,2666,234291
10,back-to-back,4,53184868438583,53185583134000,5000,10000,16959,18334,58708,5125,243083
11,back-to-back,8,53186596176416,53187392787291,5000,8333,29166,31666,48375,7375,381291
12,back-to-back,16,53188405493750,53189489826125,5000,15917,54625,58750,122584,13458,344333
13,back-to-back,64,53190502923333,53192607373000,5000,54834,119083,221125,336958,53375,703750
14,back-to-back,256,53193619127791,53198619312541,4056,218000,360292,881042,1070833,209958,1327833
15,back-to-back,1024,53199631236583,53204633525833,1054,890917,1418791,3543250,3775083,806500,3902250
