# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/014b-amplification-long-cells/raw/20260429T150438.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/014b-amplification-long-cells/raw/20260429T150438-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  15:04:39    166 mW    804 mW      0 mW    368 mW    624 mW    650 mW     13 mW    308 mW      3 mW      3 mW      0 mW
  15:04:40    151 mW   1667 mW      0 mW    391 mW    681 mW    829 mW     12 mW    326 mW      2 mW      0 mW      0 mW
  15:04:40    152 mW   1728 mW      0 mW    446 mW    842 mW    960 mW      9 mW    323 mW      2 mW      2 mW      0 mW
  15:04:40    165 mW   1687 mW      0 mW    450 mW    753 mW   1001 mW     14 mW    321 mW      2 mW      2 mW      0 mW
  15:04:41    131 mW   1552 mW      0 mW    394 mW    700 mW    831 mW      9 mW    324 mW      2 mW      2 mW      0 mW
  15:04:41    135 mW   1623 mW      0 mW    476 mW    844 mW    980 mW     12 mW    319 mW      2 mW      2 mW      0 mW
  15:04:42    150 mW   1624 mW      0 mW    401 mW    733 mW    874 mW      9 mW    323 mW      0 mW      2 mW      0 mW
  15:04:42    735 mW   3713 mW      0 mW    680 mW   1243 mW   1691 mW     54 mW    329 mW      2 mW      2 mW      0 mW
  15:04:43    279 mW   3528 mW      0 mW    558 mW   1031 mW   1413 mW     34 mW    318 mW      2 mW      0 mW      0 mW
  15:04:43    130 mW   1601 mW      0 mW    388 mW    701 mW    851 mW      9 mW    318 mW      2 mW      2 mW      0 mW
  15:04:43    174 mW   1758 mW      0 mW    454 mW    786 mW    951 mW     12 mW    327 mW      2 mW      2 mW      0 mW
  15:04:44    518 mW   4137 mW      0 mW    725 mW   1337 mW   1823 mW     42 mW    324 mW      2 mW      2 mW      0 mW
  15:04:44    248 mW   3041 mW      0 mW    522 mW    924 mW   1188 mW     32 mW    314 mW      2 mW      2 mW      0 mW
  15:04:45    197 mW   1821 mW      0 mW    427 mW    738 mW    857 mW     14 mW    327 mW      0 mW      2 mW      0 mW
  15:04:45    242 mW   2158 mW      0 mW    533 mW    995 mW   1306 mW     17 mW    328 mW      2 mW      2 mW      0 mW
  15:04:46    602 mW   4413 mW      0 mW    677 mW   1295 mW   1824 mW     43 mW    330 mW      2 mW      0 mW      0 mW
  15:04:46    211 mW   2768 mW      0 mW    490 mW    889 mW   1055 mW     33 mW    308 mW      2 mW      2 mW      0 mW
  15:04:46    141 mW   1722 mW      0 mW    427 mW    763 mW    853 mW     12 mW    321 mW      2 mW      2 mW      0 mW
  15:04:47    325 mW   2559 mW      0 mW    547 mW   1023 mW   1375 mW     21 mW    331 mW      2 mW      2 mW      0 mW
  15:04:47    480 mW   4589 mW      0 mW    722 mW   1330 mW   1838 mW     40 mW    328 mW      2 mW      2 mW      0 mW
