cell_idx,method,n_amp,monotonic_ns_start,monotonic_ns_end,trial_count,p10,p50,p90,p99,min,max
0,internal-loop,1,53951447223375,53952220309708,5000,15625,29750,58583,66209,15084,288166
1,internal-loop,2,53953232820458,53954143985791,5000,32959,37666,126667,136750,32666,344291
2,internal-loop,4,53955156634666,53956780301333,5000,65417,146791,252708,265917,64792,456417
3,internal-loop,8,53957795163041,53960224752958,5000,131000,270750,498208,518417,128208,691000
4,internal-loop,16,53961240937791,53964212975625,5000,255875,412916,564833,985500,254958,1102834
5,internal-loop,64,53965226044625,53970227592458,3625,1156375,1173584,1266000,1420834,1149916,4604292
6,internal-loop,256,53971238847250,53976240152666,867,5511958,5544209,5626500,5803875,5494292,12755333
7,internal-loop,1024,53977246739916,53982260542625,223,22066417,22185625,22395125,23505459,22019667,32051208
8,back-to-back,1,53983266561083,53984127402708,5000,15792,57041,59083,63167,15125,198041
9,back-to-back,2,53985140011208,53986133382250,5000,24333,95666,97584,100000,23834,301708
10,back-to-back,4,53987145994250,53988552419041,5000,41917,97708,179334,185209,41125,390875
11,back-to-back,8,53989565212583,53991199457333,5000,76917,87125,339458,348208,75916,554208
12,back-to-back,16,53992212785875,53994895797208,5000,147792,199833,663000,675792,145125,860250
13,back-to-back,64,53995912360333,54000914031666,3957,572375,770209,1385209,1489666,560417,2676667
14,back-to-back,256,54001924484458,54006927726458,1323,2330916,2861375,3358709,3757959,2223500,8550084
15,back-to-back,1024,54007935389083,54012943200541,390,9010792,9372125,9650625,9779833,8899958,20298209
