# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/015-memory-bound-amplification/raw/20260429T151743.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/015-memory-bound-amplification/raw/20260429T151743-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  15:17:44     90 mW    565 mW      0 mW    241 mW    469 mW    511 mW      8 mW    122 mW      0 mW      3 mW      0 mW
  15:17:45    120 mW   1624 mW      0 mW    373 mW    713 mW    865 mW      7 mW    148 mW      2 mW      0 mW      0 mW
  15:17:45     94 mW   1571 mW      0 mW    331 mW    664 mW    776 mW      7 mW    142 mW      2 mW      2 mW      0 mW
  15:17:46    101 mW   1467 mW      0 mW    297 mW    592 mW    726 mW      5 mW    180 mW      2 mW      2 mW      0 mW
  15:17:46     69 mW   1495 mW      0 mW    306 mW    579 mW    705 mW      7 mW    109 mW      2 mW      2 mW      0 mW
  15:17:46     93 mW   1417 mW      0 mW    261 mW    563 mW    654 mW      5 mW    129 mW      2 mW      2 mW      0 mW
  15:17:47     71 mW   1453 mW      0 mW    295 mW    605 mW    722 mW      5 mW    146 mW      2 mW      2 mW      0 mW
  15:17:47    637 mW   2817 mW      0 mW    523 mW   1131 mW   1521 mW     63 mW    150 mW      0 mW      2 mW      0 mW
  15:17:48    624 mW   3974 mW      0 mW    579 mW   1250 mW   1764 mW     91 mW    122 mW      2 mW      2 mW      0 mW
  15:17:48     83 mW   2068 mW      0 mW    297 mW    587 mW    752 mW      7 mW    133 mW      2 mW      0 mW      0 mW
  15:17:49     92 mW   1459 mW      0 mW    279 mW    572 mW    656 mW      7 mW    135 mW      2 mW      2 mW      0 mW
  15:17:49   1102 mW   2847 mW      0 mW    563 mW   1157 mW   1603 mW    130 mW    152 mW      2 mW      2 mW      0 mW
  15:17:49    686 mW   3371 mW      0 mW    540 mW   1209 mW   1687 mW     98 mW    141 mW      2 mW      2 mW      0 mW
  15:17:50    250 mW   3137 mW      0 mW    492 mW    960 mW   1265 mW     58 mW    151 mW      2 mW      2 mW      0 mW
  15:17:50    108 mW   1527 mW      0 mW    277 mW    564 mW    695 mW      7 mW    135 mW      0 mW      2 mW      0 mW
  15:17:51    133 mW   1600 mW      0 mW    344 mW    660 mW    763 mW     12 mW    168 mW      2 mW      0 mW      0 mW
  15:17:51    455 mW   2092 mW      0 mW    434 mW   1077 mW   1279 mW     60 mW    141 mW      2 mW      2 mW      0 mW
  15:17:52    703 mW   2579 mW      0 mW    483 mW   1152 mW   1427 mW    124 mW    151 mW      2 mW      2 mW      0 mW
  15:17:52    803 mW   3029 mW      0 mW    514 mW   1187 mW   1463 mW    149 mW    178 mW      2 mW      2 mW      0 mW
  15:17:52    329 mW   2622 mW      0 mW    447 mW   1007 mW   1247 mW     81 mW    163 mW      2 mW      2 mW      0 mW
  15:17:53     97 mW   1515 mW      0 mW    319 mW    614 mW    815 mW      7 mW    129 mW      2 mW      2 mW      0 mW
  15:17:53     81 mW   1417 mW      0 mW    298 mW    609 mW    804 mW      5 mW    128 mW      0 mW      2 mW      0 mW
  15:17:54    425 mW   1767 mW      0 mW    406 mW   1085 mW   1074 mW     76 mW    135 mW      2 mW      0 mW      0 mW
  15:17:54    553 mW   1978 mW      0 mW    417 mW   1076 mW   1148 mW    110 mW    163 mW      2 mW      2 mW      0 mW
  15:17:55    641 mW   2265 mW      0 mW    508 mW   1168 mW   1428 mW    160 mW    136 mW      2 mW      2 mW      0 mW
  15:17:55    576 mW   2191 mW      0 mW    456 mW   1164 mW   1224 mW    135 mW    166 mW      2 mW      2 mW      0 mW
  15:17:55    575 mW   2227 mW      0 mW    490 mW   1153 mW   1302 mW    135 mW    154 mW      2 mW      2 mW      0 mW
  15:17:56    383 mW   2142 mW      0 mW    451 mW   1057 mW   1188 mW    103 mW    132 mW      0 mW      2 mW      0 mW
  15:17:56     75 mW   1554 mW      0 mW    273 mW    424 mW    658 mW      5 mW    171 mW      2 mW      0 mW      0 mW
  15:17:57     82 mW   1536 mW      0 mW    299 mW    586 mW    714 mW      7 mW    132 mW      2 mW      2 mW      0 mW
  15:17:57    693 mW   1927 mW      0 mW    460 mW   1133 mW   1293 mW    148 mW    148 mW      2 mW      2 mW      0 mW
  15:17:58    702 mW   2098 mW      0 mW    463 mW   1168 mW   1279 mW    228 mW    133 mW      2 mW      2 mW      0 mW
  15:17:58    634 mW   2678 mW      0 mW    564 mW   1232 mW   1380 mW    174 mW    143 mW      2 mW      2 mW      0 mW
  15:17:58    813 mW   2190 mW      0 mW    490 mW   1190 mW   1368 mW    202 mW    180 mW      2 mW      2 mW      0 mW
  15:17:59    533 mW   2039 mW      0 mW    465 mW   1168 mW   1193 mW    162 mW    160 mW      0 mW      2 mW      0 mW
