iso_ts,monotonic_ns,window_s,gpu_power_mw,cpu_power_mw,ane_power_mw,dram_power_mw,amcc_power_mw,dcs_power_mw,afr_power_mw,disp_power_mw,isp_power_mw,ave_power_mw,gpu_sram_power_mw,gpu_energy_nj,cpu_energy_nj,ane_energy_nj,dram_energy_nj,amcc_energy_nj,dcs_energy_nj,afr_energy_nj,disp_energy_nj,isp_energy_nj,ave_energy_nj,gpu_sram_energy_nj
2026-04-29T15:17:44.760597,53948867776833,0.385612,89.601,565.336,0.0,241.175,469.384,510.877,7.78,121.884,0.0,2.593,0.0,34551265,218000000,0,93000000,181000000,197000000,3000000,47000000,0,1000000,0
2026-04-29T15:17:45.187252,53949294429083,0.426654,119.989,1624.266,0.0,372.667,712.521,864.869,7.031,147.661,2.344,0.0,0.0,51193914,693000000,0,159000000,304000000,369000000,3000000,63000000,1000000,0,0
2026-04-29T15:17:45.622573,53949729749541,0.43532,94.357,1571.26,0.0,330.791,663.88,776.441,6.891,142.424,2.297,2.297,0.0,41075473,684000000,0,144000000,289000000,338000000,3000000,62000000,1000000,1000000,0
2026-04-29T15:17:46.056687,53950163861666,0.434112,100.595,1467.363,0.0,297.158,592.013,725.619,4.607,179.677,2.304,2.304,0.0,43669524,637000000,0,129000000,257000000,315000000,2000000,78000000,1000000,1000000,0
2026-04-29T15:17:46.488200,53950595372375,0.431511,68.876,1494.748,0.0,305.902,579.36,704.501,6.952,108.92,2.317,2.317,0.0,29720862,645000000,0,132000000,250000000,304000000,3000000,47000000,1000000,1000000,0
2026-04-29T15:17:46.928588,53951035758708,0.440388,93.385,1416.934,0.0,261.134,563.14,653.969,4.541,129.431,2.271,2.271,0.0,41125686,624000000,0,115000000,248000000,288000000,2000000,57000000,1000000,1000000,0
2026-04-29T15:17:47.366424,53951473593291,0.437834,70.969,1452.605,0.0,294.632,605.252,721.734,4.568,146.174,2.284,2.284,0.0,31072644,636000000,0,129000000,265000000,316000000,2000000,64000000,1000000,1000000,0
2026-04-29T15:17:47.794494,53951901661250,0.428069,636.86,2817.305,0.0,523.281,1130.66,1520.784,63.074,149.509,0.0,2.336,0.0,272619935,1206000000,0,224000000,484000000,651000000,27000000,64000000,0,1000000,0
2026-04-29T15:17:48.212221,53952319386000,0.417724,623.644,3973.912,0.0,579.329,1249.628,1764.321,90.969,122.09,2.394,2.394,0.0,260511102,1660000000,0,242000000,522000000,737000000,38000000,51000000,1000000,1000000,0
2026-04-29T15:17:48.646998,53952754163375,0.434775,82.874,2067.738,0.0,296.705,586.511,752.114,6.9,133.402,2.3,0.0,0.0,36031454,899000000,0,129000000,255000000,327000000,3000000,58000000,1000000,0,0
