# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213756.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213756-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:37:57    130 mW   1145 mW      0 mW    469 mW    879 mW    548 mW     13 mW    209 mW      3 mW      3 mW      0 mW
  21:37:57    176 mW   1856 mW      0 mW    575 mW    998 mW    797 mW     15 mW    252 mW      2 mW      2 mW      0 mW
  21:37:58    108 mW   1672 mW      0 mW    513 mW    919 mW    697 mW     11 mW    222 mW      2 mW      2 mW      0 mW
  21:37:58    183 mW   1799 mW      0 mW    578 mW    983 mW    828 mW     15 mW    250 mW      2 mW      2 mW      0 mW
  21:37:59    250 mW   4190 mW      0 mW   1211 mW   2008 mW   1890 mW     22 mW    294 mW      2 mW      2 mW      0 mW
  21:37:59    164 mW   4773 mW      0 mW   1160 mW   2033 mW   2009 mW     13 mW    214 mW      0 mW      2 mW      0 mW
  21:38:00    215 mW   3784 mW      0 mW    854 mW   1457 mW   1228 mW     18 mW    304 mW      2 mW      0 mW      0 mW
  21:38:00    924 mW   4661 mW      0 mW    977 mW   1825 mW   1981 mW     67 mW    239 mW      2 mW      2 mW      0 mW
  21:38:01    291 mW   2957 mW      0 mW    654 mW   1187 mW   1039 mW     45 mW    286 mW      2 mW      2 mW      0 mW
  21:38:01    130 mW   1876 mW      0 mW    511 mW    945 mW    765 mW      9 mW    191 mW      2 mW      2 mW      0 mW
  21:38:01    420 mW   2853 mW      0 mW    910 mW   1578 mW   1663 mW     36 mW    310 mW      2 mW      2 mW      0 mW
  21:38:02    416 mW   4533 mW      0 mW    911 mW   1692 mW   1765 mW     43 mW    295 mW      2 mW      2 mW      0 mW
  21:38:02    196 mW   1973 mW      0 mW    640 mW   1181 mW   1029 mW     14 mW    234 mW      2 mW      2 mW      0 mW
  21:38:03    205 mW   2069 mW      0 mW    745 mW   1163 mW   1132 mW     21 mW    297 mW      0 mW      0 mW      0 mW
  21:38:03    788 mW   3636 mW      0 mW    868 mW   1612 mW   1761 mW     55 mW    233 mW      2 mW      2 mW      0 mW
  21:38:04    331 mW   3470 mW      0 mW    745 mW   1345 mW   1231 mW     37 mW    307 mW      2 mW      2 mW      0 mW
  21:38:04    257 mW   1882 mW      0 mW    600 mW   1091 mW    874 mW     20 mW    279 mW      2 mW      2 mW      0 mW
  21:38:05    489 mW   2438 mW      0 mW    811 mW   1494 mW   1386 mW     38 mW    320 mW      2 mW      2 mW      0 mW
  21:38:05    788 mW   4665 mW      0 mW    926 mW   1771 mW   1918 mW     61 mW    270 mW      2 mW      2 mW      0 mW
  21:38:05    202 mW   2362 mW      0 mW    670 mW   1178 mW   1040 mW     24 mW    288 mW      2 mW      2 mW      0 mW
  21:38:06    136 mW   1757 mW      0 mW    616 mW   1016 mW    953 mW     13 mW    290 mW      2 mW      2 mW      0 mW
  21:38:06    622 mW   3722 mW      0 mW    901 mW   1589 mW   1690 mW     43 mW    299 mW      2 mW      2 mW      0 mW
  21:38:07    454 mW   3915 mW      0 mW    834 mW   1508 mW   1464 mW     59 mW    307 mW      0 mW      2 mW      0 mW
  21:38:07    148 mW   1767 mW      0 mW    522 mW   1015 mW    820 mW     11 mW    178 mW      2 mW      0 mW      0 mW
  21:38:08    265 mW   2034 mW      0 mW    744 mW   1180 mW   1171 mW     21 mW    327 mW      2 mW      2 mW      0 mW
  21:38:08    689 mW   4735 mW      0 mW    996 mW   1753 mW   1887 mW     54 mW    219 mW      2 mW      2 mW      0 mW
  21:38:09    338 mW   3304 mW      0 mW    777 mW   1392 mW   1308 mW     41 mW    309 mW      2 mW      2 mW      0 mW
  21:38:09    126 mW   1931 mW      0 mW    536 mW    949 mW    823 mW     11 mW    211 mW      2 mW      2 mW      0 mW
  21:38:09    368 mW   2399 mW      0 mW    862 mW   1491 mW   1446 mW     29 mW    304 mW      2 mW      2 mW      0 mW
  21:38:10    617 mW   4355 mW      0 mW    973 mW   1809 mW   1937 mW     47 mW    288 mW      2 mW      2 mW      0 mW
  21:38:10    470 mW   3754 mW      0 mW    872 mW   1659 mW   1712 mW     49 mW    251 mW      2 mW      2 mW      0 mW
