cell_idx,sweep,m,n,k,n_amp,monotonic_ns_start,monotonic_ns_end,trial_count,p10,p50,p90,p99,min,max
0,square,8,8,8,1,67439941742166,67440507105333,5000,2083,7250,7583,9875,1834,231417
1,square,8,8,8,2,67441520080125,67442137311375,5000,2166,7250,8125,13333,1916,246416
2,square,8,8,8,4,67443149922458,67443726365291,5000,2458,8209,8542,9416,2041,334542
3,square,8,8,8,8,67444739466125,67445329796250,5000,2500,9375,9750,15833,2333,222833
4,square,8,8,8,16,67446342904833,67446951299041,5000,3250,11708,12625,15583,2833,302333
5,square,8,8,8,64,67447963548833,67448596704416,5000,6125,26083,26417,27208,5916,148041
6,square,8,8,8,256,67449609241458,67450490805333,5000,18416,45917,83792,92167,18167,431792
7,square,8,8,8,1024,67451503884583,67452898295625,5000,67542,80958,313250,314250,67375,554209
8,square,12,12,12,1,67453909315666,67454517616750,5000,2500,8375,9084,15500,2166,212875
9,square,12,12,12,2,67455530953083,67456099724666,5000,2209,4791,8292,10375,2000,188125
10,square,12,12,12,4,67457112713708,67457706302000,5000,2542,9167,9542,14333,2333,313792
11,square,12,12,12,8,67458720119916,67459320444291,5000,3125,10750,11250,17458,2666,223500
12,square,12,12,12,16,67460334022000,67460931896333,5000,3666,14166,14500,17916,3375,168667
13,square,12,12,12,64,67461944736541,67462638235625,5000,7792,33459,34125,35875,7541,258500
14,square,12,12,12,256,67463651539083,67464531773500,5000,25167,36833,114917,119666,24583,407375
15,square,12,12,12,1024,67465544704083,67467202023333,5000,90541,103791,424417,431208,89125,623584
16,square,16,16,16,1,67468215521416,67468808655458,5000,2500,8333,8750,11166,2166,261125
17,square,16,16,16,2,67469817783500,67470417710125,5000,2708,9708,10042,18375,2458,228833
18,square,16,16,16,4,67471431026166,67472027211750,5000,3000,5208,11625,13625,2791,185084
19,square,16,16,16,8,67473037918500,67473642775291,5000,3666,12833,14625,17792,3417,187666
20,square,16,16,16,16,67474656528500,67475259095208,5000,4958,9000,20708,23458,4708,263000
21,square,16,16,16,64,67476271330000,67476982993416,5000,12791,31042,57292,61459,12459,277667
22,square,16,16,16,256,67477996403250,67479080867083,5000,43750,57875,202292,204500,42333,431792
23,square,16,16,16,1024,67480092408375,67482271756000,5000,168083,192042,433833,784625,162708,932250
24,square,24,24,24,1,67483285280666,67483859338500,5000,2708,9625,9958,11792,2500,159667
25,square,24,24,24,2,67484867949708,67485467829916,5000,3000,10917,11333,26000,2750,269708
26,square,24,24,24,4,67486481283916,67487048641291,5000,3500,4667,13625,15750,3250,197917
27,square,24,24,24,8,67488060223500,67488671707125,5000,4458,17583,18042,23333,4166,275250
28,square,24,24,24,16,67489685735250,67490298255166,5000,6334,10291,27042,28167,6083,264583
29,square,24,24,24,64,67491311386666,67492072268333,5000,17875,21292,81167,82250,17583,336792
30,square,24,24,24,256,67493083212791,67494308380875,5000,66166,79000,306667,308958,65584,444875
31,square,24,24,24,1024,67495320857416,67497955709041,5000,257166,295875,519792,658417,256167,1415292
32,square,32,32,32,1,67498967697291,67499558654041,5000,3042,10958,11292,14917,2792,194583
33,square,32,32,32,2,67500572332041,67501141119708,5000,3375,5125,13000,13916,3166,229875
34,square,32,32,32,4,67502149920875,67502747804750,5000,4292,16542,16875,27208,4041,322000
35,square,32,32,32,8,67503761597708,67504393721125,5000,5541,22541,23084,32541,5291,281417
36,square,32,32,32,16,67505405120541,67506049015500,5000,8416,15666,36292,37459,8125,247625
37,square,32,32,32,64,67507062586791,67507911029916,5000,25250,37042,115292,116041,24959,266708
38,square,32,32,32,256,67508921465458,67510477459958,5000,93250,106375,432958,443083,92833,695750
39,square,32,32,32,1024,67511491174500,67514678554750,5000,364750,486708,562458,623375,364125,1708250
40,square,48,48,48,1,67515691757625,67516273756166,5000,3291,12041,12375,22292,3042,184875
41,square,48,48,48,2,67517287439875,67517926043708,5000,4084,15541,16375,17042,3791,300542
42,square,48,48,48,4,67518939651208,67519561807625,5000,5458,10041,22458,24583,5125,230458
43,square,48,48,48,8,67520575482625,67521238938125,5000,8208,34042,35542,38458,7833,277584
44,square,48,48,48,16,67522251036208,67523032461416,5000,13875,34083,61625,65667,13375,290416
45,square,48,48,48,64,67524045211916,67525207840125,5000,46833,69542,216375,226667,46125,457416
46,square,48,48,48,256,67526220836375,67528355142916,5000,184459,221542,470584,859958,183166,897583
47,square,48,48,48,1024,67529368671458,67533892691958,5000,729292,730667,732500,746375,727041,3441042
48,square,64,64,64,1,67534906398500,67535511955166,5000,4125,14667,15042,16875,3875,257458
49,square,64,64,64,2,67536525591333,67537194392666,5000,4917,18125,18750,27708,4666,372291
50,square,64,64,64,4,67538208297958,67538851169083,5000,6416,13875,25167,26125,6083,277208
51,square,64,64,64,8,67539864294083,67540538423375,5000,9125,21208,38209,43500,8875,281667
52,square,64,64,64,16,67541549982041,67542341217458,5000,14750,27750,64333,70167,14458,341000
53,square,64,64,64,64,67543354882333,67544533663000,5000,48166,63667,220584,226750,47792,451666
54,square,64,64,64,256,67545544188958,67547774621916,5000,182750,208917,465083,849584,182292,1016083
55,square,64,64,64,1024,67548788870416,67553201243166,5000,719583,720000,720833,735875,718875,3401084
56,square,96,96,96,1,67554217144333,67554855107208,5000,4417,15834,16333,19750,4166,253208
57,square,96,96,96,2,67555868948958,67556507278958,5000,6125,10500,23333,35125,5666,247458
58,square,96,96,96,4,67557520961333,67558170960500,5000,8541,15417,35666,41542,8167,330000
59,square,96,96,96,8,67559182527333,67559932399875,5000,14000,33125,61208,77584,13417,309375
60,square,96,96,96,16,67560946205583,67561822237541,5000,24625,29167,111708,115167,24125,318083
61,square,96,96,96,64,67562835588000,67564399060708,5000,88875,100750,411875,430041,87583,666000
62,square,96,96,96,256,67565412659416,67568042732875,5000,347583,373000,518167,595083,345583,1626542
63,square,96,96,96,1024,67569055947166,67574057490583,3268,1362625,1365125,1371000,1410041,1359292,6476250
64,square,128,128,128,1,67575066555375,67575701324208,5000,6459,23083,23459,35625,6000,256250
65,square,128,128,128,2,67576715204125,67577394054000,5000,8375,32375,33000,59458,8083,238334
66,square,128,128,128,4,67578407831708,67579171762375,5000,12541,29250,52417,60083,12167,274167
67,square,128,128,128,8,67580183969750,67581021055958,5000,20500,39084,90375,98208,20167,318667
68,square,128,128,128,16,67582030914083,67583116232666,5000,37125,48500,167875,201333,36708,384417
69,square,128,128,128,64,67584130269458,67586168452208,5000,133208,152833,617375,634500,130208,1009792
70,square,128,128,128,256,67587182319333,67590816595958,5000,496792,534166,597708,743792,495041,2522625
71,square,128,128,128,1024,67591832421625,67596833337916,2322,1965125,1967459,1999750,2043042,1963042,9346041
72,square,192,192,192,1,67597842176500,67598569896666,5000,10208,41833,42625,52625,9875,251542
73,square,192,192,192,2,67599583584250,67600413421208,5000,17041,32583,75500,88458,16666,441000
74,square,192,192,192,4,67601427231000,67602378135583,5000,30125,39458,137375,145500,29792,381875
75,square,192,192,192,8,67603392023666,67604693600458,5000,57458,76125,264833,275041,57000,573416
76,square,192,192,192,16,67605709170750,67607564730250,5000,111750,120208,518500,540458,111291,747667
77,square,192,192,192,64,67608577435583,67611962698458,5000,437709,500166,584125,867125,436917,2061875
78,square,192,192,192,256,67612976571875,67617977492166,2622,1721958,1723041,1759500,1788458,1720500,8352416
79,square,192,192,192,1024,67618987710833,67623991041458,704,6876000,6916583,6954250,7022666,6871667,16439166
80,square,256,256,256,1,67624997405791,67625867636833,5000,19916,34292,84875,98458,19583,338416
81,square,256,256,256,2,67626881529000,67627899613208,5000,34125,49250,152541,179083,33750,309917
82,square,256,256,256,4,67628913647833,67630322671583,5000,65291,75667,299041,328334,64916,479917
83,square,256,256,256,8,67631336724375,67633269367125,5000,125083,149584,577417,609541,124750,983083
84,square,256,256,256,16,67634281559875,67636855676583,5000,245833,294666,508208,627167,245375,1393458
85,square,256,256,256,64,67637871685583,67642872727916,4399,969750,970209,973583,997167,969208,4751042
86,square,256,256,256,256,67643884843000,67648888232541,1221,3874417,3885583,3956917,4026250,3873000,13879084
87,square,256,256,256,1024,67649896646125,67654908361166,309,15404334,16082500,16437792,16634291,15179125,24719208
88,square,384,384,384,1,67655914562333,67657157344083,5000,52458,62584,238792,264708,52083,481250
89,square,384,384,384,2,67658174581625,67659984153291,5000,101208,119917,466500,489084,100792,716333
90,square,384,384,384,4,67661003049500,67663332031291,5000,191750,230792,486333,887000,190625,1138542
91,square,384,384,384,8,67664348551166,67667384870958,5000,378209,380750,563500,746583,376708,2061000
92,square,384,384,384,16,67668402590958,67673203872791,5000,749041,751833,901333,998459,745750,3501167
93,square,384,384,384,64,67674221002333,67679223718125,1461,3040417,3210916,3479000,3692416,2971083,13233292
94,square,384,384,384,256,67680230236541,67685242359958,338,13343375,14989208,15303375,16105791,12473125,20123375
95,square,512,512,512,1,67686253082666,67688231241625,5000,124667,144667,556041,576083,121708,1033750
96,square,512,512,512,2,67689242605041,67691820136708,5000,238167,315042,592583,610708,236959,1172042
97,square,512,512,512,4,67692840998583,67696463491250,5000,548792,551125,567666,698417,545583,2474667
98,square,512,512,512,8,67697483743875,67702484256083,4304,936250,1000917,1060959,1125125,924792,4353834
99,square,512,512,512,16,67703502609791,67708504463250,2143,2003292,2195500,2246167,2311750,1863167,8695209
100,square,512,512,512,64,67709519819416,67714520116750,548,8735083,8984167,9183750,9415417,7450833,21034041
101,square,512,512,512,256,67715529558333,67720543624666,136,35273500,36948791,37987292,39397625,29913125,44326500
102,square,768,768,768,1,67721554015333,67724767346625,5000,386667,497625,571583,653750,386000,1819167
103,square,768,768,768,2,67725786153625,67730787539500,4809,827125,900792,903333,943375,772583,3700667
104,square,768,768,768,4,67731801954083,67736803778083,2556,1705542,1801458,1843500,1896875,1501167,7260000
105,square,768,768,768,8,67737810299583,67742813183458,1324,3503791,3630500,3718791,3786167,3007500,14542375
106,square,768,768,768,16,67743826519541,67748833222208,673,7039208,7278917,7476125,7556125,6032041,20105792
107,square,768,768,768,64,67749842927416,67754862627916,172,28279500,29055208,29942333,30471875,24674209,33295583
108,square,1024,1024,1024,1,67755868110125,67760868282208,4027,1000083,1085417,1092209,1154041,935167,4713416
109,square,1024,1024,1024,2,67761886574958,67766887823125,2065,2148709,2237541,2450583,2520666,1858500,8808375
110,square,1024,1024,1024,4,67767904179666,67772907885541,1021,4327625,4676208,5127834,5405500,4318000,11143708
111,square,1024,1024,1024,8,67773917150875,67778922892583,504,8483625,9876500,10669458,11597291,7488542,19953667
112,square,1024,1024,1024,16,67779929055416,67784935203541,249,16528291,20291375,21995042,23465417,15209208,24690917
113,square,1536,1536,1536,1,67785944872833,67790947169000,1147,3305791,4290459,4661459,4936875,3091791,11172542
114,square,1536,1536,1536,2,67791956092083,67796959114708,548,6694917,9412541,9928958,10681458,6147584,19741792
115,square,1536,1536,1536,4,67797970347625,67802971784791,277,12865416,19265166,19670708,20954875,11914125,21902292
116,square,1536,1536,1536,8,67803978912916,67809014113958,136,28216667,39151000,40457250,44969209,23943792,44999916
117,square,2048,2048,2048,1,67810024453250,67815033136666,404,8082083,13150333,13820083,15983875,7506625,17862750
118,square,2048,2048,2048,2,67816037388083,67821053134833,198,16368125,27342959,28331167,30280333,14703625,30448458
119,square,2048,2048,2048,4,67822060339583,67827061882083,93,34516125,57041209,64592791,69492333,29437333,70350375
120,square,2048,2048,2048,8,67828062467833,67833124878583,47,71318375,117103709,125772833,130512125,59075500,130512125
121,ksweep_128,128,128,2,1,67834129369541,67834693294416,5000,2208,7625,7834,16791,2041,275167
122,ksweep_128,128,128,2,2,67835709520083,67836296481833,5000,2292,7667,7875,78583,2042,293416
123,ksweep_128,128,128,2,4,67837308023583,67837874473916,5000,2292,7750,7959,9875,2042,343334
124,ksweep_128,128,128,2,8,67838892637583,67839481839958,5000,2334,7958,8333,24667,2166,266375
125,ksweep_128,128,128,2,16,67840501038041,67841086010416,5000,2416,8417,8666,22667,2250,268292
126,ksweep_128,128,128,2,64,67842105136541,67842729277041,5000,3166,11542,11750,20125,2916,246750
127,ksweep_128,128,128,2,256,67843748410333,67844360018750,5000,5666,7916,23709,34750,5459,285417
128,ksweep_128,128,128,2,1024,67845379261583,67846173425458,5000,15917,23375,71792,73458,15708,300292
129,ksweep_128,128,128,4,1,67847189941375,67847754569250,5000,2208,4041,7834,10041,2042,313292
130,ksweep_128,128,128,4,2,67848765322750,67849358838708,5000,2250,7709,7958,31583,2083,265167
131,ksweep_128,128,128,4,4,67850377789958,67850945456125,5000,2292,8041,8250,12208,2125,224667
132,ksweep_128,128,128,4,8,67851954951458,67852563932166,5000,2625,9209,9458,20125,2458,238208
133,ksweep_128,128,128,4,16,67853577178666,67854189581083,5000,2750,9833,10084,50250,2541,286417
134,ksweep_128,128,128,4,64,67855208733375,67855817823625,5000,4166,9542,16750,31541,3917,252750
135,ksweep_128,128,128,4,256,67856836708875,67857576794250,5000,10042,44209,44542,64959,9875,355667
136,ksweep_128,128,128,4,1024,67858590898166,67859640529791,5000,33333,49209,153208,183333,33083,439625
137,ksweep_128,128,128,16,1,67860658762791,67861233957541,5000,2667,5417,9459,18834,2458,251416
138,ksweep_128,128,128,16,2,67862252953375,67862832391916,5000,2916,10416,10709,12666,2750,236375
