# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213959.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213959-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:40:00    190 mW    763 mW      0 mW    431 mW    645 mW    663 mW     21 mW    307 mW      3 mW      3 mW      0 mW
  21:40:00    102 mW   1367 mW      0 mW    336 mW    592 mW    640 mW      9 mW    189 mW      0 mW      2 mW      0 mW
  21:40:01    178 mW   1682 mW      0 mW    505 mW    847 mW    779 mW     16 mW    324 mW      2 mW      2 mW      0 mW
  21:40:01    151 mW   2564 mW      0 mW    673 mW   1002 mW   1256 mW     15 mW    276 mW      2 mW      2 mW      0 mW
  21:40:01    146 mW   3733 mW      0 mW    614 mW    997 mW   1002 mW     14 mW    255 mW      2 mW      2 mW      0 mW
  21:40:02    116 mW   1326 mW      0 mW    362 mW    691 mW    668 mW     13 mW    320 mW      2 mW      2 mW      0 mW
  21:40:02    107 mW   1253 mW      0 mW    274 mW    653 mW    563 mW      9 mW    214 mW      2 mW      0 mW      0 mW
  21:40:03    835 mW   4073 mW      0 mW    773 mW   1323 mW   1688 mW     62 mW    332 mW      2 mW      2 mW      0 mW
  21:40:03    298 mW   2483 mW      0 mW    347 mW    755 mW    914 mW     40 mW    174 mW      2 mW      2 mW      0 mW
  21:40:04    140 mW   1201 mW      0 mW    334 mW    658 mW    624 mW     15 mW    315 mW      0 mW      2 mW      0 mW
  21:40:04    216 mW   1354 mW      0 mW    301 mW    707 mW    624 mW     16 mW    212 mW      2 mW      2 mW      0 mW
  21:40:04    915 mW   3961 mW      0 mW    731 mW   1387 mW   1835 mW     71 mW    327 mW      2 mW      2 mW      0 mW
  21:40:05    111 mW   1753 mW      0 mW    361 mW    755 mW    848 mW     27 mW    263 mW      2 mW      2 mW      0 mW
  21:40:05    136 mW   1129 mW      0 mW    287 mW    642 mW    549 mW     11 mW    239 mW      2 mW      2 mW      0 mW
  21:40:06    732 mW   2849 mW      0 mW    661 mW   1257 mW   1627 mW     57 mW    351 mW      2 mW      2 mW      0 mW
  21:40:06    390 mW   2908 mW      0 mW    462 mW   1016 mW   1364 mW     46 mW    176 mW      2 mW      0 mW      0 mW
  21:40:07    141 mW   1312 mW      0 mW    374 mW    725 mW    718 mW     18 mW    335 mW      2 mW      2 mW      0 mW
  21:40:07    119 mW   1170 mW      0 mW    267 mW    626 mW    535 mW      7 mW    174 mW      2 mW      2 mW      0 mW
  21:40:08    841 mW   3489 mW      0 mW    701 mW   1360 mW   1765 mW     66 mW    337 mW      0 mW      2 mW      0 mW
  21:40:08    403 mW   2223 mW      0 mW    354 mW    704 mW    832 mW     41 mW    199 mW      2 mW      2 mW      0 mW
  21:40:09    168 mW   1297 mW      0 mW    408 mW    804 mW    717 mW     18 mW    314 mW      2 mW      2 mW      0 mW
  21:40:09    377 mW   2112 mW      0 mW    486 mW   1087 mW   1337 mW     26 mW    272 mW      2 mW      2 mW      0 mW
  21:40:09    760 mW   3698 mW      0 mW    621 mW   1242 mW   1690 mW     84 mW    244 mW      2 mW      2 mW      0 mW
  21:40:10    154 mW   1415 mW      0 mW    383 mW    795 mW    799 mW     18 mW    326 mW      2 mW      2 mW      0 mW
  21:40:10    113 mW   1090 mW      0 mW    232 mW    583 mW    531 mW      9 mW    176 mW      2 mW      0 mW      0 mW
  21:40:11    803 mW   2860 mW      0 mW    651 mW   1225 mW   1594 mW     61 mW    345 mW      2 mW      2 mW      0 mW
  21:40:11    483 mW   2795 mW      0 mW    453 mW    943 mW   1226 mW     57 mW    174 mW      2 mW      2 mW      0 mW
  21:40:12    144 mW   1240 mW      0 mW    355 mW    739 mW    679 mW     13 mW    339 mW      0 mW      2 mW      0 mW
  21:40:12    148 mW   1196 mW      0 mW    286 mW    645 mW    584 mW     12 mW    240 mW      2 mW      2 mW      0 mW
  21:40:12    868 mW   3291 mW      0 mW    694 mW   1271 mW   1599 mW     65 mW    331 mW      2 mW      2 mW      0 mW
  21:40:13    799 mW   3306 mW      0 mW    638 mW   1274 mW   1701 mW     82 mW    286 mW      2 mW      2 mW      0 mW
  21:40:13    170 mW   1323 mW      0 mW    317 mW    693 mW    684 mW     13 mW    265 mW      2 mW      2 mW      0 mW
  21:40:14    123 mW   1296 mW      0 mW    350 mW    686 mW    646 mW     16 mW    325 mW      2 mW      2 mW      0 mW
  21:40:14    965 mW   1597 mW      0 mW    419 mW   1052 mW   1136 mW     60 mW    198 mW      2 mW      0 mW      0 mW
  21:40:15   1042 mW   2359 mW      0 mW    552 mW   1210 mW   1375 mW     94 mW    320 mW      2 mW      2 mW      0 mW
  21:40:15   1392 mW   2266 mW      0 mW    495 mW   1147 mW   1382 mW    100 mW    176 mW      0 mW      2 mW      0 mW
  21:40:16    469 mW   2373 mW      0 mW    455 mW    895 mW    978 mW     60 mW    326 mW      2 mW      2 mW      0 mW
