# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  06:57:08    413 mW   1368 mW      0 mW    763 mW    859 mW    971 mW     43 mW    305 mW      3 mW      3 mW      0 mW
  06:57:08    274 mW   2538 mW      0 mW    813 mW    928 mW   1327 mW     32 mW    330 mW      2 mW      0 mW      0 mW
  06:57:09    695 mW   3599 mW      0 mW   1221 mW   1383 mW   1720 mW     71 mW    336 mW      2 mW      2 mW      0 mW
  06:57:09    491 mW   2552 mW      0 mW    901 mW   1081 mW   1227 mW     48 mW    324 mW      2 mW      2 mW      0 mW
  06:57:09    424 mW   2603 mW      0 mW    843 mW    953 mW   1133 mW     45 mW    317 mW      2 mW      2 mW      0 mW
  06:57:10    391 mW   2772 mW      0 mW    889 mW   1016 mW   1225 mW     45 mW    329 mW      2 mW      2 mW      0 mW
  06:57:10    405 mW   2930 mW      0 mW    808 mW    918 mW    944 mW     42 mW    314 mW      0 mW      2 mW      0 mW
  06:57:11   1497 mW   6738 mW      0 mW   1250 mW   1509 mW   2036 mW    129 mW    327 mW      2 mW      2 mW      0 mW
  06:57:11    699 mW   6485 mW      0 mW   1201 mW   1574 mW   2069 mW     73 mW    333 mW      2 mW      2 mW      0 mW
  06:57:12    288 mW   2803 mW      0 mW    753 mW    986 mW   1243 mW     36 mW    270 mW      2 mW      0 mW      0 mW
  06:57:12    300 mW   1792 mW      0 mW    584 mW    831 mW    950 mW     30 mW    219 mW      2 mW      2 mW      0 mW
  06:57:13   1807 mW   5900 mW      0 mW   1178 mW   1426 mW   1874 mW    144 mW    336 mW      2 mW      2 mW      0 mW
  06:57:13   1026 mW   6915 mW      0 mW   1263 mW   1644 mW   2098 mW    103 mW    332 mW      2 mW      2 mW      0 mW
  06:57:13    487 mW   3925 mW      0 mW    970 mW   1195 mW   1404 mW     62 mW    319 mW      0 mW      2 mW      0 mW
  06:57:14    314 mW   2755 mW      0 mW    706 mW    849 mW    990 mW     34 mW    321 mW      2 mW      2 mW      0 mW
  06:57:14   1858 mW   6806 mW      0 mW   1208 mW   1419 mW   1837 mW    140 mW    334 mW      2 mW      2 mW      0 mW
  06:57:15   1225 mW   6609 mW      0 mW   1212 mW   1593 mW   2071 mW    125 mW    331 mW      2 mW      2 mW      0 mW
  06:57:15    447 mW   3653 mW      0 mW    888 mW   1125 mW   1289 mW     57 mW    315 mW      2 mW      0 mW      0 mW
  06:57:16    279 mW   2261 mW      0 mW    662 mW    792 mW    973 mW     29 mW    293 mW      2 mW      2 mW      0 mW
  06:57:16   1599 mW   4737 mW      0 mW    998 mW   1264 mW   1705 mW    130 mW    334 mW      2 mW      2 mW      0 mW
  06:57:16   1044 mW   5692 mW      0 mW   1113 mW   1505 mW   2012 mW    108 mW    326 mW      2 mW      2 mW      0 mW
  06:57:17    484 mW   3081 mW      0 mW    725 mW    956 mW   1019 mW     58 mW    305 mW      0 mW      2 mW      0 mW
  06:57:17    248 mW   2313 mW      0 mW    647 mW    763 mW    949 mW     32 mW    300 mW      2 mW      2 mW      0 mW
  06:57:18   1520 mW   4376 mW      0 mW    977 mW   1273 mW   1727 mW    121 mW    322 mW      2 mW      2 mW      0 mW
  06:57:18   1048 mW   6223 mW      0 mW   1118 mW   1511 mW   2014 mW    112 mW    328 mW      2 mW      0 mW      0 mW
  06:57:19    464 mW   3580 mW      0 mW    851 mW   1053 mW   1198 mW     59 mW    284 mW      2 mW      2 mW      0 mW
  06:57:19    257 mW   3289 mW      0 mW    786 mW    968 mW   1218 mW     33 mW    301 mW      2 mW      2 mW      0 mW
  06:57:19   1467 mW   4426 mW      0 mW    981 mW   1315 mW   1710 mW    122 mW    310 mW      2 mW      2 mW      0 mW
  06:57:20   1059 mW   6144 mW      0 mW   1168 mW   1561 mW   2042 mW    107 mW    329 mW      0 mW      2 mW      0 mW
  06:57:20    482 mW   3544 mW      0 mW    896 mW   1116 mW   1367 mW     60 mW    320 mW      2 mW      2 mW      0 mW
  06:57:21    277 mW   2553 mW      0 mW    807 mW   1011 mW   1322 mW     35 mW    312 mW      2 mW      2 mW      0 mW
  06:57:21    932 mW   4288 mW      0 mW    989 mW   1332 mW   1728 mW     82 mW    331 mW      2 mW      0 mW      0 mW
  06:57:22    982 mW   6158 mW      0 mW   1170 mW   1555 mW   2042 mW    106 mW    331 mW      2 mW      2 mW      0 mW
  06:57:22    548 mW   3744 mW      0 mW    910 mW   1131 mW   1429 mW     67 mW    320 mW      2 mW      2 mW      0 mW
  06:57:22    423 mW   3063 mW      0 mW    907 mW    994 mW   1250 mW     48 mW    315 mW      2 mW      2 mW      0 mW
  06:57:23    722 mW   4542 mW      0 mW   1157 mW   1409 mW   1924 mW     69 mW    333 mW      0 mW      2 mW      0 mW
  06:57:23   1150 mW   6742 mW      0 mW   1218 mW   1568 mW   2018 mW    105 mW    320 mW      2 mW      2 mW      0 mW
  06:57:24    519 mW   3587 mW      0 mW    836 mW   1084 mW   1267 mW     76 mW    308 mW      2 mW      2 mW      0 mW
  06:57:24    412 mW   2365 mW      0 mW    758 mW    837 mW    949 mW     45 mW    306 mW      2 mW      0 mW      0 mW
  06:57:25    372 mW   3834 mW      0 mW    887 mW   1197 mW   1580 mW     40 mW    207 mW      2 mW      2 mW      0 mW
  06:57:25   1211 mW   5092 mW      0 mW   1027 mW   1464 mW   1950 mW    106 mW    325 mW      2 mW      2 mW      0 mW
  06:57:25    655 mW   3461 mW      0 mW    818 mW   1122 mW   1390 mW     89 mW    302 mW      2 mW      2 mW      0 mW
