cell_idx,sweep,m,n,k,monotonic_ns_start,monotonic_ns_end,trial_count,p10,p50,p90,p99,min,max
0,square,8,8,8,274780751228291,274781439491250,5000,3000,9000,10708,17000,2625,1883125
1,square,12,12,12,274782452790000,274783117211583,5000,3167,6542,11500,13667,3000,715875
2,square,16,16,16,274784130137083,274784803504541,5000,5167,5708,18042,19417,4875,675750
3,square,24,24,24,274785814738833,274786501761250,5000,5500,6125,20000,21125,5250,153042
4,square,32,32,32,274787514663625,274788220206083,5000,5333,7000,18833,19667,4875,705042
5,square,48,48,48,274789233482250,274789968571208,5000,6125,10375,22750,24458,5667,279000
6,square,64,64,64,274790980027666,274791691393500,5000,5167,5708,19750,20958,4875,64000
7,square,96,96,96,274792704939541,274793414563291,5000,7000,7250,26500,28125,6583,67000
8,square,128,128,128,274794427527750,274795134941875,5000,7250,7750,28583,29750,6917,93375
9,square,192,192,192,274796148438625,274796908810250,5000,9417,10875,37375,37958,9125,113125
10,square,256,256,256,274797922037625,274798747257833,5000,11375,11917,46042,48000,11125,231792
11,square,384,384,384,274799760563875,274800663909291,5000,21125,21708,94083,95875,20292,105750
12,square,512,512,512,274801677141125,274802639736583,5000,32250,32792,146375,148375,31667,477125
13,square,768,768,768,274803653250458,274805128367166,5000,93000,93583,233750,427958,92375,432042
14,square,1024,1024,1024,274806141743541,274808074224375,5000,207500,208167,222458,256750,206500,966167
15,square,1536,1536,1536,274809084937916,274813558310666,5000,675292,676375,677500,682542,673125,899167
16,square,2048,2048,2048,274814572338791,274819589493666,2637,1566750,1615375,1872417,1927667,1563625,2057208
17,ksweep_128,128,128,2,274820599396041,274821277967041,5000,3458,6833,11875,12542,3125,128875
18,ksweep_128,128,128,4,274822291874916,274822994363375,5000,3375,3750,11875,13500,3125,65125
19,ksweep_128,128,128,16,274824008444000,274824686187916,5000,3625,4000,12875,13500,3375,76125
20,ksweep_128,128,128,64,274825700251250,274826367260666,5000,3875,4167,13750,14625,3625,15125
21,ksweep_128,128,128,256,274827381199250,274828117180583,5000,7167,8500,27125,28542,6833,685875
22,ksweep_128,128,128,1024,274829129377958,274830019317000,5000,20167,20625,78625,83417,19833,85125
23,ksweep_128,128,128,4096,274831033483791,274832078805375,5000,32000,35750,133125,137375,31292,329083
24,ksweep_512,512,512,2,274833092835000,274833796080041,5000,4500,4833,17125,18250,4250,35875
25,ksweep_512,512,512,4,274834810245416,274835516152208,5000,4500,5125,17000,17917,4250,226125
26,ksweep_512,512,512,16,274836530062875,274837271971458,5000,5208,11708,20458,21125,4875,111208
27,ksweep_512,512,512,64,274838285987083,274839041400375,5000,7375,7833,30500,31542,7042,691667
28,ksweep_512,512,512,256,274840055371833,274840864768708,5000,17667,18125,78625,79875,17292,175250
29,ksweep_512,512,512,1024,274841879108333,274843152686750,5000,59375,59875,150333,274625,58750,303417
30,ksweep_512,512,512,4096,274844167055083,274846170932500,5000,227667,228833,229750,320833,226375,1055542
31,membound,8,4096,4096,274847183590916,274848956451083,5000,192750,195250,198750,240083,189042,434750
32,membound,4,8192,4096,274849970366583,274852566249125,5000,343417,345208,352125,375208,342000,804875
33,membound,2,8192,4096,274853580464250,274856170010791,5000,341875,343500,348875,363208,340333,754958
