# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T165356.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T165356-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  16:53:57    192 mW    683 mW      0 mW    404 mW    602 mW    713 mW     12 mW    429 mW      2 mW      2 mW      0 mW
  16:53:57    212 mW   1684 mW      0 mW    538 mW    842 mW   1090 mW     12 mW    462 mW      2 mW      0 mW      0 mW
  16:53:58    171 mW   1713 mW      0 mW    514 mW    839 mW   1040 mW      9 mW    443 mW      2 mW      2 mW      0 mW
  16:53:58    158 mW   1819 mW      0 mW    535 mW    816 mW   1017 mW     12 mW    451 mW      2 mW      2 mW      0 mW
  16:53:59    226 mW   2291 mW      0 mW    621 mW    944 mW   1191 mW     13 mW    433 mW      2 mW      2 mW      0 mW
  16:53:59    160 mW   3695 mW      0 mW    667 mW    974 mW   1301 mW      9 mW    474 mW      2 mW      2 mW      0 mW
  16:54:00    191 mW   2571 mW      0 mW    566 mW    816 mW   1060 mW     11 mW    432 mW      2 mW      2 mW      0 mW
  16:54:00   1261 mW   6379 mW      0 mW    917 mW   1431 mW   1902 mW     82 mW    480 mW      2 mW      2 mW      0 mW
  16:54:01    575 mW   3807 mW      0 mW    693 mW   1071 mW   1482 mW     56 mW    426 mW      0 mW      2 mW      0 mW
  16:54:01    327 mW   2836 mW      0 mW    746 mW   1068 mW   1339 mW     19 mW    513 mW      2 mW      2 mW      0 mW
  16:54:01    222 mW   2057 mW      0 mW    544 mW    835 mW   1104 mW     12 mW    491 mW      2 mW      0 mW      0 mW
  16:54:02   1200 mW   5076 mW      0 mW    783 mW   1350 mW   1790 mW     92 mW    432 mW      2 mW      2 mW      0 mW
  16:54:02    416 mW   3242 mW      0 mW    611 mW    938 mW   1269 mW     39 mW    435 mW      2 mW      2 mW      0 mW
  16:54:03    215 mW   1761 mW      0 mW    548 mW    810 mW   1100 mW     11 mW    463 mW      2 mW      2 mW      0 mW
  16:54:03    797 mW   3200 mW      0 mW    715 mW   1166 mW   1487 mW     56 mW    449 mW      2 mW      2 mW      0 mW
  16:54:04   1686 mW   4618 mW      0 mW    729 mW   1297 mW   1856 mW    126 mW    447 mW      2 mW      2 mW      0 mW
  16:54:04     94 mW   2438 mW      0 mW    448 mW    730 mW    931 mW     18 mW    428 mW      0 mW      2 mW      0 mW
  16:54:05    105 mW   1519 mW      0 mW    403 mW    620 mW    822 mW      4 mW    432 mW      2 mW      2 mW      0 mW
  16:54:05   1056 mW   3192 mW      0 mW    695 mW   1172 mW   1622 mW     73 mW    473 mW      2 mW      2 mW      0 mW
  16:54:05   1091 mW   4157 mW      0 mW    659 mW   1232 mW   1793 mW     97 mW    478 mW      2 mW      0 mW      0 mW
  16:54:06     38 mW   1300 mW      0 mW    307 mW    534 mW    659 mW      2 mW    429 mW      2 mW      2 mW      0 mW
  16:54:06     34 mW   1179 mW      0 mW    331 mW    538 mW    666 mW      2 mW    496 mW      2 mW      2 mW      0 mW
  16:54:07    878 mW   2959 mW      0 mW    546 mW   1064 mW   1517 mW     63 mW    442 mW      2 mW      2 mW      0 mW
  16:54:07    743 mW   3378 mW      0 mW    546 mW    987 mW   1431 mW     73 mW    451 mW      2 mW      2 mW      0 mW
  16:54:08     52 mW   1148 mW      0 mW    293 mW    504 mW    608 mW      2 mW    419 mW      2 mW      2 mW      0 mW
  16:54:08     73 mW   1101 mW      0 mW    303 mW    571 mW    602 mW      4 mW    461 mW      2 mW      2 mW      0 mW
  16:54:09   1114 mW   3658 mW      0 mW    645 mW   1256 mW   1830 mW     84 mW    463 mW      2 mW      2 mW      0 mW
  16:54:09    423 mW   2788 mW      0 mW    458 mW    830 mW   1169 mW     50 mW    426 mW      0 mW      2 mW      0 mW
  16:54:10     63 mW   1119 mW      0 mW    291 mW    502 mW    565 mW      2 mW    454 mW      2 mW      2 mW      0 mW
  16:54:10    262 mW   1286 mW      0 mW    318 mW    593 mW    646 mW     16 mW    438 mW      2 mW      2 mW      0 mW
  16:54:10   1617 mW   4072 mW      0 mW    644 mW   1268 mW   1848 mW    131 mW    459 mW      2 mW      0 mW      0 mW
  16:54:11    242 mW   2443 mW      0 mW    387 mW    641 mW    831 mW     32 mW    417 mW      2 mW      2 mW      0 mW
  16:54:11      0 mW   1072 mW      0 mW    280 mW    492 mW    575 mW      0 mW    448 mW      2 mW      2 mW      0 mW
  16:54:12    728 mW   1912 mW      0 mW    459 mW    875 mW   1181 mW     53 mW    456 mW      2 mW      2 mW      0 mW
  16:54:12   1707 mW   4101 mW      0 mW    656 mW   1298 mW   1892 mW    148 mW    471 mW      2 mW      2 mW      0 mW
  16:54:13     81 mW   1865 mW      0 mW    332 mW    577 mW    790 mW     19 mW    402 mW      2 mW      2 mW      0 mW
  16:54:13     47 mW   1110 mW      0 mW    319 mW    572 mW    665 mW      4 mW    443 mW      2 mW      2 mW      0 mW
  16:54:14    922 mW   2488 mW      0 mW    517 mW   1035 mW   1466 mW     75 mW    460 mW      2 mW      2 mW      0 mW
  16:54:14   1352 mW   3734 mW      0 mW    603 mW   1153 mW   1652 mW    136 mW    440 mW      2 mW      2 mW      0 mW
  16:54:15     51 mW   1163 mW      0 mW    318 mW    535 mW    705 mW      2 mW    447 mW      0 mW      2 mW      0 mW
  16:54:15     18 mW   1056 mW      0 mW    257 mW    484 mW    519 mW      0 mW    447 mW      2 mW      2 mW      0 mW
  16:54:15   1344 mW   3068 mW      0 mW    585 mW   1151 mW   1586 mW    113 mW    442 mW      2 mW      2 mW      0 mW
  16:54:16   1096 mW   3345 mW      0 mW    568 mW   1067 mW   1517 mW    136 mW    455 mW      2 mW      0 mW      0 mW
  16:54:16     35 mW   1125 mW      0 mW    302 mW    532 mW    661 mW      2 mW    434 mW      2 mW      2 mW      0 mW
  16:54:17    110 mW   1110 mW      0 mW    302 mW    527 mW    594 mW      4 mW    459 mW      2 mW      2 mW      0 mW
  16:54:17   1723 mW   2919 mW      0 mW    568 mW   1203 mW   1616 mW    166 mW    447 mW      2 mW      2 mW      0 mW
  16:54:18   1658 mW   3395 mW      0 mW    589 mW   1084 mW   1516 mW    198 mW    476 mW      2 mW      2 mW      0 mW
  16:54:18     53 mW   1249 mW      0 mW    334 mW    588 mW    676 mW      2 mW    458 mW      2 mW      2 mW      0 mW
  16:54:19    118 mW   1119 mW      0 mW    300 mW    532 mW    638 mW      2 mW    449 mW      2 mW      2 mW      0 mW
  16:54:19   2674 mW   2793 mW      0 mW    615 mW   1260 mW   1612 mW    303 mW    445 mW      2 mW      2 mW      0 mW
  16:54:20   3912 mW   3693 mW      0 mW    650 mW   1298 mW   1782 mW    533 mW    441 mW      0 mW      2 mW      0 mW
  16:54:20     56 mW   1631 mW      0 mW    332 mW    657 mW    666 mW     20 mW    435 mW      2 mW      2 mW      0 mW
  16:54:20     12 mW   1103 mW      0 mW    280 mW    493 mW    528 mW      2 mW    446 mW      2 mW      0 mW      0 mW
  16:54:21   5226 mW   2298 mW      0 mW    566 mW   1199 mW   1541 mW    571 mW    463 mW      2 mW      2 mW      0 mW
  16:54:21   6419 mW   3329 mW      0 mW    606 mW   1314 mW   1764 mW    857 mW    441 mW      2 mW      2 mW      0 mW
  16:54:22   1759 mW   2461 mW      0 mW    418 mW    771 mW   1006 mW    312 mW    418 mW      2 mW      2 mW      0 mW
  16:54:22     66 mW   1122 mW      0 mW    314 mW    568 mW    656 mW      2 mW    453 mW      2 mW      2 mW      0 mW
  16:54:23   1539 mW   1213 mW      0 mW    329 mW    708 mW    665 mW    115 mW    468 mW      2 mW      2 mW      0 mW
  16:54:23  12377 mW   2476 mW      0 mW    603 mW   1369 mW   1717 mW   1616 mW    445 mW      0 mW      2 mW      0 mW
  16:54:24  13873 mW   2744 mW      0 mW    663 mW   1379 mW   1756 mW   1803 mW    436 mW      2 mW      2 mW      0 mW
  16:54:24  12546 mW   2709 mW      0 mW    661 mW   1384 mW   1742 mW   1659 mW    443 mW      2 mW      0 mW      0 mW
  16:54:24   2027 mW   1784 mW      0 mW    315 mW    582 mW    696 mW    406 mW    404 mW      2 mW      2 mW      0 mW
  16:54:25     28 mW   1085 mW      0 mW    336 mW    578 mW    548 mW      2 mW    448 mW      2 mW      2 mW      0 mW
  16:54:25  14288 mW   1496 mW      0 mW    618 mW   1184 mW   1471 mW   1683 mW    455 mW      2 mW      2 mW      0 mW
  16:54:26  27508 mW   2515 mW      0 mW    878 mW   1573 mW   1988 mW   3525 mW    472 mW      2 mW      2 mW      0 mW
  16:54:26  24192 mW   2306 mW      0 mW    785 mW   1404 mW   1774 mW   3148 mW    424 mW      2 mW      2 mW      0 mW
  16:54:27  25205 mW   2821 mW      0 mW    899 mW   1537 mW   1932 mW   3349 mW    451 mW      2 mW      2 mW      0 mW
  16:54:27  16036 mW   2351 mW      0 mW    728 mW   1251 mW   1592 mW   2548 mW    416 mW      0 mW      2 mW      0 mW
